
Balances trimestrales de criminalidad - 2018. 3º Trimestre
Indicadores de seguridad 2018 - 3er Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-septiembre 2017,Enero-septiembre 2018,Variación % 2018/2017,
    2.-Homicidios dolosos y asesinatos en grado tentativa,1.0,2.0,100.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,189.0,217.0,14.8,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,65.0,74.0,13.8,
    5.1.-Agresión sexual con penetración,4.0,7.0,75.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,61.0,67.0,9.8,
    6.-Robos con violencia e intimidación,163.0,124.0,-23.9,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1157.0,1125.0,-2.8,
    7.1.-Robos con fuerza en domicilios,640.0,708.0,10.6,
    8.-Hurtos,3795.0,3552.0,-6.4,
    9.-Sustracciones de vehículos,175.0,99.0,-43.4,
    10.-Tráfico de drogas,45.0,65.0,44.4,
    TOTAL INFRACCIONES PENALES,13257.0,13172.0,-0.6,
CASTILLA Y LEÓN,
    1.-Homicidios dolosos y asesinatos consumados,12.0,9.0,-25.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,16.0,23.0,43.8,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,501.0,541.0,8.0,
    4.-Secuestro,1.0,0.0,-100.0,
    5.-Delitos contra la libertad e indemnidad sexual,276.0,342.0,23.9,
    5.1.-Agresión sexual con penetración,25.0,43.0,72.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,251.0,299.0,19.1,
    6.-Robos con violencia e intimidación,550.0,534.0,-2.9,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,3734.0,3836.0,2.7,
    7.1.-Robos con fuerza en domicilios,2217.0,2583.0,16.5,
    8.-Hurtos,15597.0,14614.0,-6.3,
    9.-Sustracciones de vehículos,510.0,427.0,-16.3,
    10.-Tráfico de drogas,258.0,298.0,15.5,
    TOTAL INFRACCIONES PENALES,53397.0,55024.0,3.0,
CASTILLA - LA MANCHA,
    1.-Homicidios dolosos y asesinatos consumados,11.0,8.0,-27.3,
    2.-Homicidios dolosos y asesinatos en grado tentativa,27.0,23.0,-14.8,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,428.0,446.0,4.2,
    4.-Secuestro,1.0,2.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,285.0,381.0,33.7,
    5.1.-Agresión sexual con penetración,26.0,39.0,50.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,259.0,342.0,32.0,
    6.-Robos con violencia e intimidación,781.0,711.0,-9.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,5688.0,5551.0,-2.4,
    7.1.-Robos con fuerza en domicilios,4016.0,4130.0,2.8,
    8.-Hurtos,11486.0,10990.0,-4.3,
    9.-Sustracciones de vehículos,941.0,464.0,-50.7,
    10.-Tráfico de drogas,307.0,323.0,5.2,
    TOTAL INFRACCIONES PENALES,47810.0,50287.0,5.2,
CATALUÑA,
    1.-Homicidios dolosos y asesinatos consumados,54.0,36.0,-33.3,
    2.-Homicidios dolosos y asesinatos en grado tentativa,112.0,125.0,11.6,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,2369.0,2463.0,4.0,
    4.-Secuestro,9.0,3.0,-66.7,
    5.-Delitos contra la libertad e indemnidad sexual,1728.0,1973.0,14.2,
    5.1.-Agresión sexual con penetración,300.0,354.0,18.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1428.0,1619.0,13.4,
    6.-Robos con violencia e intimidación,15117.0,16139.0,6.8,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,22358.0,25454.0,13.8,
    7.1.-Robos con fuerza en domicilios,16612.0,19114.0,15.1,
    8.-Hurtos,129105.0,145267.0,12.5,
    9.-Sustracciones de vehículos,6550.0,6737.0,2.9,
    10.-Tráfico de drogas,1836.0,1849.0,0.7,
    TOTAL INFRACCIONES PENALES,310761.0,351163.0,13.0,
COMUNITAT VALENCIANA,
    1.-Homicidios dolosos y asesinatos consumados,25.0,19.0,-24.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,53.0,75.0,41.5,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,1397.0,1516.0,8.5,
    4.-Secuestro,4.0,2.0,-50.0,
    5.-Delitos contra la libertad e indemnidad sexual,1024.0,1211.0,18.3,
    5.1.-Agresión sexual con penetración,90.0,131.0,45.6,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,934.0,1080.0,15.6,
    6.-Robos con violencia e intimidación,4103.0,3895.0,-5.1,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,16091.0,16424.0,2.1,
    7.1.-Robos con fuerza en domicilios,12558.0,13046.0,3.9,
    8.-Hurtos,56772.0,53971.0,-4.9,
    9.-Sustracciones de vehículos,3011.0,2369.0,-21.3,
    10.-Tráfico de drogas,1263.0,1385.0,9.7,
    TOTAL INFRACCIONES PENALES,171807.0,175064.0,1.9,
