
Balances trimestrales de criminalidad - 2019. 3º Trimestre
Indicadores de seguridad 2019 - 3er Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-septiembre 2018,Enero-septiembre 2019,Variación % 2019/2018,
    6.-Robos con violencia e intimidación,971.0,1075.0,10.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,3139.0,2737.0,-12.8,
    7.1.-Robos con fuerza en domicilios,2336.0,2012.0,-13.9,
    8.-Hurtos,21807.0,21222.0,-2.7,
    9.-Sustracciones de vehículos,1157.0,1077.0,-6.9,
    10.-Tráfico de drogas,430.0,543.0,26.3,
    Resto de infracciones penales,27510.0,32041.0,16.5,
    TOTAL INFRACCIONES PENALES,56131.0,59973.0,6.8,
CANARIAS,
    1.-Homicidios dolosos y asesinatos consumados,23.0,16.0,-30.4,
    2.-Homicidios dolosos y asesinatos en grado tentativa,27.0,34.0,25.9,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,793.0,884.0,11.5,
    4.-Secuestro,2.0,0.0,-100.0,
    5.-Delitos contra la libertad e indemnidad sexual,555.0,697.0,25.6,
    5.1.-Agresión sexual con penetración,70.0,55.0,-21.4,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,485.0,642.0,32.4,
    6.-Robos con violencia e intimidación,1096.0,1132.0,3.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,3908.0,3101.0,-20.6,
    7.1.-Robos con fuerza en domicilios,2542.0,2081.0,-18.1,
    8.-Hurtos,20542.0,19372.0,-5.7,
    9.-Sustracciones de vehículos,973.0,930.0,-4.4,
    10.-Tráfico de drogas,507.0,450.0,-11.2,
    Resto de infracciones penales,38611.0,45147.0,16.9,
    TOTAL INFRACCIONES PENALES,67037.0,71763.0,7.0,
CANTABRIA,
    1.-Homicidios dolosos y asesinatos consumados,2.0,4.0,100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,2.0,6.0,200.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,217.0,220.0,1.4,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,74.0,84.0,13.5,
    5.1.-Agresión sexual con penetración,7.0,7.0,0.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,67.0,77.0,14.9,
    6.-Robos con violencia e intimidación,121.0,140.0,15.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1130.0,1183.0,4.7,
    7.1.-Robos con fuerza en domicilios,713.0,754.0,5.8,
    8.-Hurtos,3568.0,3757.0,5.3,
    9.-Sustracciones de vehículos,98.0,92.0,-6.1,
    10.-Tráfico de drogas,65.0,61.0,-6.2,
    Resto de infracciones penales,7919.0,8181.0,3.3,
    TOTAL INFRACCIONES PENALES,13196.0,13728.0,4.0,
CASTILLA Y LEÓN,
    1.-Homicidios dolosos y asesinatos consumados,9.0,7.0,-22.2,
    2.-Homicidios dolosos y asesinatos en grado tentativa,23.0,25.0,8.7,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,545.0,547.0,0.4,
    4.-Secuestro,0.0,2.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,339.0,388.0,14.5,
    5.1.-Agresión sexual con penetración,43.0,34.0,-20.9,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,296.0,354.0,19.6,
    6.-Robos con violencia e intimidación,533.0,505.0,-5.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,3856.0,3526.0,-8.6,
    7.1.-Robos con fuerza en domicilios,2595.0,2206.0,-15.0,
    8.-Hurtos,14633.0,14131.0,-3.4,
    9.-Sustracciones de vehículos,412.0,421.0,2.2,
    10.-Tráfico de drogas,299.0,328.0,9.7,
    Resto de infracciones penales,34516.0,36922.0,7.0,
    TOTAL INFRACCIONES PENALES,55165.0,56802.0,3.0,
CASTILLA - LA MANCHA,
    1.-Homicidios dolosos y asesinatos consumados,8.0,11.0,37.5,
    2.-Homicidios dolosos y asesinatos en grado tentativa,23.0,23.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,448.0,504.0,12.5,
    4.-Secuestro,2.0,0.0,-100.0,
    5.-Delitos contra la libertad e indemnidad sexual,381.0,406.0,6.6,
    5.1.-Agresión sexual con penetración,39.0,35.0,-10.3,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,342.0,371.0,8.5,
    6.-Robos con violencia e intimidación,706.0,767.0,8.6,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,5562.0,4763.0,-14.4,
    7.1.-Robos con fuerza en domicilios,4138.0,3463.0,-16.3,
    8.-Hurtos,11033.0,10449.0,-5.3,
    9.-Sustracciones de vehículos,463.0,472.0,1.9,
    10.-Tráfico de drogas,323.0,337.0,4.3,
    Resto de infracciones penales,31565.0,34988.0,10.8,
    TOTAL INFRACCIONES PENALES,50514.0,52720.0,4.4,
CATALUÑA,
    1.-Homicidios dolosos y asesinatos consumados,36.0,42.0,16.7,
    2.-Homicidios dolosos y asesinatos en grado tentativa,125.0,141.0,12.8,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,2463.0,2523.0,2.4,
    4.-Secuestro,3.0,6.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,1973.0,2288.0,16.0,
    5.1.-Agresión sexual con penetración,354.0,419.0,18.4,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1619.0,1869.0,15.4,
    6.-Robos con violencia e intimidación,16139.0,19372.0,20.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,25453.0,24963.0,-1.9,
    7.1.-Robos con fuerza en domicilios,19096.0,17207.0,-9.9,
    8.-Hurtos,145267.0,147390.0,1.5,
    9.-Sustracciones de vehículos,6737.0,7117.0,5.6,
    10.-Tráfico de drogas,1849.0,1998.0,8.1,
    Resto de infracciones penales,151226.0,160492.0,6.1,
    TOTAL INFRACCIONES PENALES,351271.0,366332.0,4.3,
COMUNITAT VALENCIANA,
    1.-Homicidios dolosos y asesinatos consumados,19.0,31.0,63.2,
    2.-Homicidios dolosos y asesinatos en grado tentativa,75.0,82.0,9.3,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,1520.0,1675.0,10.2,
    4.-Secuestro,2.0,5.0,150.0,
    5.-Delitos contra la libertad e indemnidad sexual,1208.0,1335.0,10.5,
    5.1.-Agresión sexual con penetración,131.0,139.0,6.1,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1077.0,1196.0,11.0,
    6.-Robos con violencia e intimidación,3850.0,3702.0,-3.8,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,16455.0,14769.0,-10.2,
    7.1.-Robos con fuerza en domicilios,13067.0,11437.0,-12.5,
    8.-Hurtos,54047.0,52273.0,-3.3,
    9.-Sustracciones de vehículos,2348.0,2467.0,5.1,
    10.-Tráfico de drogas,1385.0,1498.0,8.2,
    Resto de infracciones penales,94236.0,98377.0,4.4,
    TOTAL INFRACCIONES PENALES,175145.0,176214.0,0.6,
EXTREMADURA,
    1.-Homicidios dolosos y asesinatos consumados,2.0,3.0,50.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,10.0,6.0,-40.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,273.0,226.0,-17.2,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,165.0,157.0,-4.8,
    5.1.-Agresión sexual con penetración,16.0,14.0,-12.5,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,149.0,143.0,-4.0,
    6.-Robos con violencia e intimidación,194.0,239.0,23.2,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1475.0,1147.0,-22.2,
    7.1.-Robos con fuerza en domicilios,864.0,706.0,-18.3,
    8.-Hurtos,4932.0,4800.0,-2.7,
    9.-Sustracciones de vehículos,118.0,112.0,-5.1,
    10.-Tráfico de drogas,174.0,215.0,23.6,
    Resto de infracciones penales,12465.0,13414.0,7.6,
    TOTAL INFRACCIONES PENALES,19808.0,20319.0,2.6,
GALICIA,
    1.-Homicidios dolosos y asesinatos consumados,6.0,14.0,133.3,
    2.-Homicidios dolosos y asesinatos en grado tentativa,14.0,16.0,14.3,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,721.0,737.0,2.2,
    4.-Secuestro,1.0,1.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,393.0,495.0,26.0,
    5.1.-Agresión sexual con penetración,45.0,79.0,75.6,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,348.0,416.0,19.5,
    6.-Robos con violencia e intimidación,718.0,707.0,-1.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,4163.0,3587.0,-13.8,
    7.1.-Robos con fuerza en domicilios,2634.0,2093.0,-20.5,
    8.-Hurtos,15158.0,14378.0,-5.1,
    9.-Sustracciones de vehículos,428.0,442.0,3.3,
    10.-Tráfico de drogas,322.0,373.0,15.8,
    Resto de infracciones penales,36394.0,39613.0,8.8,
    TOTAL INFRACCIONES PENALES,58318.0,60363.0,3.5,
MADRID (COMUNIDAD DE),
    1.-Homicidios dolosos y asesinatos consumados,27.0,21.0,-22.2,
    2.-Homicidios dolosos y asesinatos en grado tentativa,52.0,58.0,11.5,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,1564.0,1809.0,15.7,
    4.-Secuestro,8.0,15.0,87.5,
    5.-Delitos contra la libertad e indemnidad sexual,1457.0,1646.0,13.0,
    5.1.-Agresión sexual con penetración,180.0,173.0,-3.9,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1277.0,1473.0,15.3,
    6.-Robos con violencia e intimidación,10168.0,11155.0,9.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,14159.0,13686.0,-3.3,
    7.1.-Robos con fuerza en domicilios,9502.0,8643.0,-9.0,
    8.-Hurtos,110043.0,112253.0,2.0,
    9.-Sustracciones de vehículos,6446.0,6068.0,-5.9,
    10.-Tráfico de drogas,1436.0,1852.0,29.0,
    Resto de infracciones penales,138209.0,151678.0,9.7,
    TOTAL INFRACCIONES PENALES,283569.0,300241.0,5.9,
MURCIA (REGIÓN DE),
    1.-Homicidios dolosos y asesinatos consumados,11.0,9.0,-18.2,
    2.-Homicidios dolosos y asesinatos en grado tentativa,16.0,18.0,12.5,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,446.0,568.0,27.4,
    4.-Secuestro,2.0,2.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,350.0,401.0,14.6,
    5.1.-Agresión sexual con penetración,37.0,32.0,-13.5,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,313.0,369.0,17.9,
    6.-Robos con violencia e intimidación,1100.0,1140.0,3.6,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,4926.0,4599.0,-6.6,
    7.1.-Robos con fuerza en domicilios,4142.0,3689.0,-10.9,
    8.-Hurtos,11224.0,11533.0,2.8,
    9.-Sustracciones de vehículos,724.0,664.0,-8.3,
    10.-Tráfico de drogas,226.0,257.0,13.7,
    Resto de infracciones penales,22054.0,23655.0,7.3,
    TOTAL INFRACCIONES PENALES,41079.0,42846.0,4.3,
NAVARRA (COMUNIDAD FORAL DE),
    1.-Homicidios dolosos y asesinatos consumados,9.0,4.0,-55.6,
    2.-Homicidios dolosos y asesinatos en grado tentativa,12.0,11.0,-8.3,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,292.0,317.0,8.6,
    4.-Secuestro,2.0,0.0,-100.0,
    5.-Delitos contra la libertad e indemnidad sexual,209.0,188.0,-10.0,
    5.1.-Agresión sexual con penetración,30.0,22.0,-26.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,179.0,166.0,-7.3,
    6.-Robos con violencia e intimidación,208.0,242.0,16.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1027.0,1137.0,10.7,
    7.1.-Robos con fuerza en domicilios,676.0,732.0,8.3,
    8.-Hurtos,6044.0,6767.0,12.0,
    9.-Sustracciones de vehículos,131.0,134.0,2.3,
    10.-Tráfico de drogas,104.0,132.0,26.9,
    Resto de infracciones penales,12393.0,13208.0,6.6,
    TOTAL INFRACCIONES PENALES,20431.0,22140.0,8.4,
PAÍS VASCO,
    1.-Homicidios dolosos y asesinatos consumados,6.0,9.0,50.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,29.0,20.0,-31.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,813.0,856.0,5.3,
    4.-Secuestro,2.0,6.0,200.0,
    5.-Delitos contra la libertad e indemnidad sexual,494.0,480.0,-2.8,
    5.1.-Agresión sexual con penetración,84.0,87.0,3.6,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,410.0,393.0,-4.1,
    6.-Robos con violencia e intimidación,1295.0,1202.0,-7.2,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,5854.0,6056.0,3.5,
    7.1.-Robos con fuerza en domicilios,3289.0,3767.0,14.5,
    8.-Hurtos,21393.0,22770.0,6.4,
    9.-Sustracciones de vehículos,665.0,689.0,3.6,
    10.-Tráfico de drogas,292.0,320.0,9.6,
    Resto de infracciones penales,35478.0,37867.0,6.7,
    TOTAL INFRACCIONES PENALES,66321.0,70275.0,6.0,
RIOJA (LA),
    1.-Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,2.0,4.0,100.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,100.0,109.0,9.0,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,44.0,67.0,52.3,
    5.1.-Agresión sexual con penetración,6.0,5.0,-16.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,38.0,62.0,63.2,
    6.-Robos con violencia e intimidación,60.0,68.0,13.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,443.0,412.0,-7.0,
    7.1.-Robos con fuerza en domicilios,341.0,323.0,-5.3,
    8.-Hurtos,1781.0,1800.0,1.1,
    9.-Sustracciones de vehículos,61.0,47.0,-23.0,
    10.-Tráfico de drogas,56.0,84.0,50.0,
    Resto de infracciones penales,3591.0,3981.0,10.9,
    TOTAL INFRACCIONES PENALES,6139.0,6572.0,7.1,
CIUDAD AUTÓNOMA DE CEUTA,
    1.-Homicidios dolosos y asesinatos consumados,1.0,4.0,300.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,15.0,100.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,42.0,31.0,-26.2,
    4.-Secuestro,0.0,1.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,39.0,17.0,-56.4,
    5.1.-Agresión sexual con penetración,4.0,1.0,-75.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,35.0,16.0,-54.3,
    6.-Robos con violencia e intimidación,106.0,108.0,1.9,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,70.0,46.0,-34.3,
    7.1.-Robos con fuerza en domicilios,50.0,30.0,-40.0,
    8.-Hurtos,639.0,651.0,1.9,
    9.-Sustracciones de vehículos,195.0,113.0,-42.1,
    10.-Tráfico de drogas,132.0,184.0,39.4,
    Resto de infracciones penales,2300.0,2360.0,2.6,
    TOTAL INFRACCIONES PENALES,3524.0,3530.0,0.2,
CIUDAD AUTÓNOMA DE MELILLA,
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,1.0,5.0,400.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,102.0,110.0,7.8,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,22.0,26.0,18.2,
    5.1.-Agresión sexual con penetración,0.0,3.0,100.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,22.0,23.0,4.5,
    6.-Robos con violencia e intimidación,252.0,268.0,6.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,100.0,78.0,-22.0,
    7.1.-Robos con fuerza en domicilios,66.0,52.0,-21.2,
    8.-Hurtos,925.0,909.0,-1.7,
    9.-Sustracciones de vehículos,56.0,61.0,8.9,
    10.-Tráfico de drogas,34.0,49.0,44.1,
    Resto de infracciones penales,2441.0,2743.0,12.4,
    TOTAL INFRACCIONES PENALES,3933.0,4249.0,8.0,
EN EL EXTRANJERO,
    1.-Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,1.0,100.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,0.0,4.0,100.0,
    4.-Secuestro,5.0,3.0,-40.0,
    5.-Delitos contra la libertad e indemnidad sexual,33.0,51.0,54.5,
    5.1.-Agresión sexual con penetración,4.0,12.0,200.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,29.0,39.0,34.5,
    6.-Robos con violencia e intimidación,200.0,206.0,3.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,33.0,15.0,-54.5,
    7.1.-Robos con fuerza en domicilios,22.0,12.0,-45.5,
    8.-Hurtos,2291.0,2363.0,3.1,
    9.-Sustracciones de vehículos,70.0,79.0,12.9,
    10.-Tráfico de drogas,11.0,6.0,-45.5,
    Resto de infracciones penales,8334.0,8432.0,1.2,
    TOTAL INFRACCIONES PENALES,10977.0,11161.0,1.7,
Notas:
(*) Se computan datos provenientes de las Fuerzas y Cuerpos de  Seguridad del Estado, policías autonómicas y policías locales que  proporcionan datos al Sistema Estadístico de Criminalidad.            
                                      
 (**) Indicadores estadísticos de criminalidad utilizados por la  Oficina Estadística Europea (EUROSTAT).
Fuente: Ministerio del Interior
