
Balances trimestrales de criminalidad - 2019. 3º Trimestre
Indicadores de seguridad 2019 - 3er Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-septiembre 2018,Enero-septiembre 2019,Variación % 2019/2018,
TOTAL NACIONAL,
    1.-Homicidios dolosos y asesinatos consumados,228.0,249.0,9.2,
    2.-Homicidios dolosos y asesinatos en grado tentativa,582.0,629.0,8.1,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,13797.0,15018.0,8.8,
    4.-Secuestro,54.0,72.0,33.3,
    5.-Delitos contra la libertad e indemnidad sexual,10416.0,11587.0,11.2,
    5.1.-Agresión sexual con penetración,1304.0,1410.0,8.1,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,9112.0,10177.0,11.7,
    6.-Robos con violencia e intimidación,43818.0,48504.0,10.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,112169.0,105259.0,-6.2,
    7.1.-Robos con fuerza en domicilios,80040.0,72376.0,-9.6,
    8.-Hurtos,530148.0,529155.0,-0.2,
    9.-Sustracciones de vehículos,26637.0,26283.0,-1.3,
    10.-Tráfico de drogas,10835.0,12349.0,14.0,
    Resto de infracciones penales,834148.0,897751.0,7.6,
    TOTAL INFRACCIONES PENALES,1582832.0,1646856.0,4.0,
ANDALUCÍA,
    1.-Homicidios dolosos y asesinatos consumados,54.0,59.0,9.3,
    2.-Homicidios dolosos y asesinatos en grado tentativa,135.0,113.0,-16.3,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,2211.0,2547.0,15.2,
    4.-Secuestro,21.0,26.0,23.8,
    5.-Delitos contra la libertad e indemnidad sexual,1803.0,1891.0,4.9,
    5.1.-Agresión sexual con penetración,152.0,192.0,26.3,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1651.0,1699.0,2.9,
    6.-Robos con violencia e intimidación,5250.0,5424.0,3.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,17514.0,16572.0,-5.4,
    7.1.-Robos con fuerza en domicilios,12066.0,11340.0,-6.0,
    8.-Hurtos,71950.0,69661.0,-3.2,
    9.-Sustracciones de vehículos,5180.0,4988.0,-3.7,
    10.-Tráfico de drogas,2856.0,3241.0,13.5,
    Resto de infracciones penales,145270.0,151240.0,4.1,
    TOTAL INFRACCIONES PENALES,252244.0,255762.0,1.4,
ARAGÓN,
    1.-Homicidios dolosos y asesinatos consumados,3.0,5.0,66.7,
    2.-Homicidios dolosos y asesinatos en grado tentativa,5.0,7.0,40.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,359.0,404.0,12.5,
    4.-Secuestro,0.0,2.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,255.0,235.0,-7.8,
    5.1.-Agresión sexual con penetración,26.0,19.0,-26.9,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,229.0,216.0,-5.7,
    6.-Robos con violencia e intimidación,597.0,779.0,30.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1803.0,1774.0,-1.6,
    7.1.-Robos con fuerza en domicilios,1286.0,1189.0,-7.5,
    8.-Hurtos,7465.0,7515.0,0.7,
    9.-Sustracciones de vehículos,212.0,161.0,-24.1,
    10.-Tráfico de drogas,236.0,261.0,10.6,
    Resto de infracciones penales,17793.0,20297.0,14.1,
    TOTAL INFRACCIONES PENALES,28728.0,31440.0,9.4,
ASTURIAS (PRINCIPADO DE),
    1.-Homicidios dolosos y asesinatos consumados,7.0,5.0,-28.6,
    2.-Homicidios dolosos y asesinatos en grado tentativa,8.0,10.0,25.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,258.0,299.0,15.9,
    4.-Secuestro,3.0,0.0,-100.0,
    5.-Delitos contra la libertad e indemnidad sexual,163.0,146.0,-10.4,
    5.1.-Agresión sexual con penetración,14.0,8.0,-42.9,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,149.0,138.0,-7.4,
    6.-Robos con violencia e intimidación,254.0,273.0,7.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1099.0,1108.0,0.8,
    7.1.-Robos con fuerza en domicilios,615.0,640.0,4.1,
    8.-Hurtos,5406.0,5161.0,-4.5,
    9.-Sustracciones de vehículos,163.0,149.0,-8.6,
    10.-Tráfico de drogas,98.0,160.0,63.3,
    Resto de infracciones penales,11843.0,13115.0,10.7,
    TOTAL INFRACCIONES PENALES,19302.0,20426.0,5.8,
BALEARS (ILLES),
    1.-Homicidios dolosos y asesinatos consumados,4.0,4.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,23.0,34.0,47.8,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,630.0,648.0,2.9,
    4.-Secuestro,1.0,3.0,200.0,
    5.-Delitos contra la libertad e indemnidad sexual,459.0,589.0,28.3,
    5.1.-Agresión sexual con penetración,62.0,74.0,19.4,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,397.0,515.0,29.7,
