
Balances trimestrales de criminalidad - 2018. 2º Trimestre
Indicadores de seguridad 2018 - 2º Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-junio 2017,Enero-junio 2018,Variación % 2018/2017,
    2.-Homicidios dolosos y asesinatos en grado tentativa,1.0,2.0,100.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,104.0,124.0,19.2,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,40.0,43.0,7.5,
    5.1.-Agresión sexual con penetración,2.0,2.0,0.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,38.0,41.0,7.9,
    6.-Robos con violencia e intimidación,99.0,76.0,-23.2,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,765.0,779.0,1.8,
    7.1.-Robos con fuerza en domicilios,416.0,487.0,17.1,
    8.-Hurtos,2283.0,2216.0,-2.9,
    9.-Sustracciones de vehículos,128.0,74.0,-42.2,
    10.-Tráfico de drogas,23.0,40.0,73.9,
    TOTAL INFRACCIONES PENALES,8396.0,8301.0,-1.1,
CASTILLA Y LEÓN,
    1.-Homicidios dolosos y asesinatos consumados,5.0,5.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,9.0,11.0,22.2,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,298.0,346.0,16.1,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,170.0,187.0,10.0,
    5.1.-Agresión sexual con penetración,15.0,20.0,33.3,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,155.0,167.0,7.7,
    6.-Robos con violencia e intimidación,377.0,350.0,-7.2,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,2624.0,2618.0,-0.2,
    7.1.-Robos con fuerza en domicilios,1500.0,1791.0,19.4,
    8.-Hurtos,10309.0,9445.0,-8.4,
    9.-Sustracciones de vehículos,372.0,273.0,-26.6,
    10.-Tráfico de drogas,130.0,178.0,36.9,
    TOTAL INFRACCIONES PENALES,35302.0,35360.0,0.2,
CASTILLA - LA MANCHA,
    1.-Homicidios dolosos y asesinatos consumados,11.0,5.0,-54.5,
    2.-Homicidios dolosos y asesinatos en grado tentativa,19.0,14.0,-26.3,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,267.0,271.0,1.5,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,176.0,233.0,32.4,
    5.1.-Agresión sexual con penetración,17.0,23.0,35.3,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,159.0,210.0,32.1,
    6.-Robos con violencia e intimidación,505.0,436.0,-13.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,4112.0,3975.0,-3.3,
    7.1.-Robos con fuerza en domicilios,2884.0,2978.0,3.3,
    8.-Hurtos,7512.0,7258.0,-3.4,
    9.-Sustracciones de vehículos,721.0,315.0,-56.3,
    10.-Tráfico de drogas,179.0,196.0,9.5,
    TOTAL INFRACCIONES PENALES,32020.0,33057.0,3.2,
CATALUÑA,
    1.-Homicidios dolosos y asesinatos consumados,23.0,22.0,-4.3,
    2.-Homicidios dolosos y asesinatos en grado tentativa,68.0,81.0,19.1,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,1483.0,1523.0,2.7,
    4.-Secuestro,6.0,3.0,-50.0,
    5.-Delitos contra la libertad e indemnidad sexual,1095.0,1270.0,16.0,
    5.1.-Agresión sexual con penetración,168.0,228.0,35.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,927.0,1042.0,12.4,
    6.-Robos con violencia e intimidación,9953.0,10190.0,2.4,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,14597.0,16734.0,14.6,
    7.1.-Robos con fuerza en domicilios,10834.0,12686.0,17.1,
    8.-Hurtos,79968.0,91550.0,14.5,
    9.-Sustracciones de vehículos,4256.0,4286.0,0.7,
    10.-Tráfico de drogas,1232.0,1249.0,1.4,
    TOTAL INFRACCIONES PENALES,200086.0,225508.0,12.7,
COMUNITAT VALENCIANA,
    1.-Homicidios dolosos y asesinatos consumados,20.0,10.0,-50.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,31.0,47.0,51.6,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,839.0,873.0,4.1,
    4.-Secuestro,2.0,1.0,-50.0,
    5.-Delitos contra la libertad e indemnidad sexual,648.0,709.0,9.4,
    5.1.-Agresión sexual con penetración,54.0,74.0,37.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,594.0,635.0,6.9,
    6.-Robos con violencia e intimidación,2687.0,2443.0,-9.1,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,10981.0,10907.0,-0.7,
    7.1.-Robos con fuerza en domicilios,8452.0,8679.0,2.7,
    8.-Hurtos,35429.0,32642.0,-7.9,
    9.-Sustracciones de vehículos,2048.0,1509.0,-26.3,
    10.-Tráfico de drogas,767.0,865.0,12.8,
    TOTAL INFRACCIONES PENALES,110531.0,110046.0,-0.4,
EXTREMADURA,
    1.-Homicidios dolosos y asesinatos consumados,5.0,2.0,-60.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,6.0,4.0,-33.3,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,180.0,158.0,-12.2,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,67.0,108.0,61.2,
    5.1.-Agresión sexual con penetración,4.0,10.0,150.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,63.0,98.0,55.6,
    6.-Robos con violencia e intimidación,140.0,126.0,-10.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1120.0,1103.0,-1.5,
    7.1.-Robos con fuerza en domicilios,661.0,648.0,-2.0,
    8.-Hurtos,3609.0,3337.0,-7.5,
    9.-Sustracciones de vehículos,197.0,82.0,-58.4,
    10.-Tráfico de drogas,79.0,86.0,8.9,
    TOTAL INFRACCIONES PENALES,13230.0,12919.0,-2.4,
GALICIA,
    1.-Homicidios dolosos y asesinatos consumados,8.0,4.0,-50.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,16.0,9.0,-43.8,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,441.0,443.0,0.5,
    4.-Secuestro,3.0,1.0,-66.7,
    5.-Delitos contra la libertad e indemnidad sexual,250.0,242.0,-3.2,
    5.1.-Agresión sexual con penetración,26.0,29.0,11.5,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,224.0,213.0,-4.9,
    6.-Robos con violencia e intimidación,487.0,454.0,-6.8,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,2817.0,2832.0,0.5,
    7.1.-Robos con fuerza en domicilios,1683.0,1798.0,6.8,
    8.-Hurtos,9640.0,9331.0,-3.2,
    9.-Sustracciones de vehículos,461.0,282.0,-38.8,
    10.-Tráfico de drogas,179.0,202.0,12.8,
    TOTAL INFRACCIONES PENALES,35832.0,36595.0,2.1,
MADRID (COMUNIDAD DE),
    1.-Homicidios dolosos y asesinatos consumados,20.0,16.0,-20.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,52.0,40.0,-23.1,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,991.0,960.0,-3.1,
    4.-Secuestro,2.0,6.0,200.0,
    5.-Delitos contra la libertad e indemnidad sexual,893.0,929.0,4.0,
    5.1.-Agresión sexual con penetración,103.0,113.0,9.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,790.0,816.0,3.3,
    6.-Robos con violencia e intimidación,8219.0,6946.0,-15.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,9443.0,9500.0,0.6,
    7.1.-Robos con fuerza en domicilios,5904.0,6251.0,5.9,
    8.-Hurtos,79751.0,77736.0,-2.5,
    9.-Sustracciones de vehículos,5723.0,4580.0,-20.0,
    10.-Tráfico de drogas,810.0,939.0,15.9,
    TOTAL INFRACCIONES PENALES,191967.0,194540.0,1.3,
MURCIA (REGIÓN DE),
    1.-Homicidios dolosos y asesinatos consumados,9.0,8.0,-11.1,
    2.-Homicidios dolosos y asesinatos en grado tentativa,19.0,10.0,-47.4,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,282.0,285.0,1.1,
    4.-Secuestro,0.0,2.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,181.0,217.0,19.9,
    5.1.-Agresión sexual con penetración,15.0,26.0,73.3,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,166.0,191.0,15.1,
    6.-Robos con violencia e intimidación,697.0,691.0,-0.9,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,3342.0,3241.0,-3.0,
    7.1.-Robos con fuerza en domicilios,2745.0,2716.0,-1.1,
    8.-Hurtos,7376.0,7367.0,-0.1,
    9.-Sustracciones de vehículos,711.0,500.0,-29.7,
    10.-Tráfico de drogas,158.0,151.0,-4.4,
    TOTAL INFRACCIONES PENALES,25784.0,26527.0,2.9,
NAVARRA (COMUNIDAD FORAL DE),
    1.-Homicidios dolosos y asesinatos consumados,1.0,2.0,100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,7.0,4.0,-42.9,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,175.0,184.0,5.1,
    4.-Secuestro,1.0,2.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,126.0,131.0,4.0,
    5.1.-Agresión sexual con penetración,20.0,22.0,10.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,106.0,109.0,2.8,
    6.-Robos con violencia e intimidación,189.0,101.0,-46.6,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,776.0,698.0,-10.1,
    7.1.-Robos con fuerza en domicilios,479.0,457.0,-4.6,
    8.-Hurtos,3252.0,2947.0,-9.4,
    9.-Sustracciones de vehículos,87.0,79.0,-9.2,
    10.-Tráfico de drogas,60.0,55.0,-8.3,
    TOTAL INFRACCIONES PENALES,11667.0,12155.0,4.2,
PAÍS VASCO,
