
Balance de criminalidad. 2021 - 4º Trimestre - CCAA
Indicadores de seguridad 2021 - 4º Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-diciembre 2020,Enero-diciembre 2021,Variación % 2021/2020,
    9.-Sustracciones de vehículos,1012.0,983.0,-2.9,
    10.-Tráfico de drogas,573.0,531.0,-7.3,
    Resto de infracciones penales,58852.0,55746.0,-5.3,
    TOTAL INFRACCIONES PENALES,83635.0,81232.0,-2.9,
CANTABRIA,
    1.-Homicidios dolosos y asesinatos consumados,1.0,4.0,300.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,3.0,11.0,266.7,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,233.0,298.0,27.9,
    4.-Secuestro,1.0,1.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,89.0,130.0,46.1,
    5.1.-Agresión sexual con penetración,11.0,17.0,54.5,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,78.0,113.0,44.9,
    6.-Robos con violencia e intimidación,178.0,194.0,9.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1374.0,1633.0,18.9,
    7.1.-Robos con fuerza en domicilios,858.0,1167.0,36.0,
    8.-Hurtos,3236.0,3820.0,18.0,
    9.-Sustracciones de vehículos,100.0,140.0,40.0,
    10.-Tráfico de drogas,96.0,96.0,0.0,
    Resto de infracciones penales,11274.0,13567.0,20.3,
    TOTAL INFRACCIONES PENALES,16585.0,19894.0,20.0,
CASTILLA Y LEÓN,
    1.-Homicidios dolosos y asesinatos consumados,16.0,13.0,-18.8,
    2.-Homicidios dolosos y asesinatos en grado tentativa,28.0,25.0,-10.7,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,569.0,745.0,30.9,
    4.-Secuestro,2.0,2.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,415.0,527.0,27.0,
    5.1.-Agresión sexual con penetración,43.0,64.0,48.8,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,372.0,463.0,24.5,
    6.-Robos con violencia e intimidación,542.0,625.0,15.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,3355.0,3799.0,13.2,
    7.1.-Robos con fuerza en domicilios,2117.0,2523.0,19.2,
    8.-Hurtos,11414.0,13785.0,20.8,
    9.-Sustracciones de vehículos,400.0,466.0,16.5,
    10.-Tráfico de drogas,502.0,492.0,-2.0,
    Resto de infracciones penales,47782.0,53529.0,12.0,
    TOTAL INFRACCIONES PENALES,65025.0,74008.0,13.8,
CASTILLA - LA MANCHA,
    1.-Homicidios dolosos y asesinatos consumados,17.0,10.0,-41.2,
    2.-Homicidios dolosos y asesinatos en grado tentativa,35.0,68.0,94.3,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,592.0,773.0,30.6,
    4.-Secuestro,5.0,2.0,-60.0,
    5.-Delitos contra la libertad e indemnidad sexual,452.0,563.0,24.6,
    5.1.-Agresión sexual con penetración,40.0,63.0,57.5,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,412.0,500.0,21.4,
    6.-Robos con violencia e intimidación,754.0,882.0,17.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,4733.0,4417.0,-6.7,
    7.1.-Robos con fuerza en domicilios,3473.0,3086.0,-11.1,
    8.-Hurtos,9588.0,10970.0,14.4,
    9.-Sustracciones de vehículos,488.0,521.0,6.8,
    10.-Tráfico de drogas,552.0,570.0,3.3,
    Resto de infracciones penales,44692.0,48636.0,8.8,
    TOTAL INFRACCIONES PENALES,61908.0,67412.0,8.9,
CATALUÑA,
    1.-Homicidios dolosos y asesinatos consumados,48.0,54.0,12.5,
