
Balance de criminalidad. 2022 - 3er Trimestre - CCAA
Indicadores de seguridad 2022 - 3er Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-septiembre 2021,Enero-septiembre 2022,Variación % 2022/2021,
    10.-Tráfico de drogas,416.0,590.0,41.8,
    Resto de infracciones penales,41338.0,46276.0,11.9,
    TOTAL INFRACCIONES PENALES,59378.0,71053.0,19.7,
CANTABRIA,
    1.-Homicidios dolosos y asesinatos consumados,1.0,1.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,11.0,8.0,-27.3,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,204.0,294.0,44.1,
    4.-Secuestro,1.0,0.0,-100.0,
    5.-Delitos contra la libertad e indemnidad sexual,103.0,130.0,26.2,
    5.1.-Agresión sexual con penetración,15.0,17.0,13.3,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,88.0,113.0,28.4,
    6.-Robos con violencia e intimidación,137.0,186.0,35.8,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1057.0,1222.0,15.6,
    7.1.-Robos con fuerza en domicilios,748.0,870.0,16.3,
    8.-Hurtos,2731.0,3784.0,38.6,
    9.-Sustracciones de vehículos,95.0,66.0,-30.5,
    10.-Tráfico de drogas,76.0,68.0,-10.5,
    Resto de infracciones penales,9760.0,12344.0,26.5,
    TOTAL INFRACCIONES PENALES,14176.0,18103.0,27.7,
CASTILLA Y LEÓN,
    1.-Homicidios dolosos y asesinatos consumados,13.0,13.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,19.0,27.0,42.1,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,495.0,798.0,61.2,
    4.-Secuestro,2.0,2.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,382.0,463.0,21.2,
    5.1.-Agresión sexual con penetración,42.0,42.0,0.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,340.0,421.0,23.8,
    6.-Robos con violencia e intimidación,443.0,536.0,21.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,2695.0,3159.0,17.2,
    7.1.-Robos con fuerza en domicilios,1758.0,2113.0,20.2,
    8.-Hurtos,9484.0,12658.0,33.5,
    9.-Sustracciones de vehículos,314.0,393.0,25.2,
    10.-Tráfico de drogas,386.0,353.0,-8.5,
    Resto de infracciones penales,39136.0,46540.0,18.9,
    TOTAL INFRACCIONES PENALES,53369.0,64942.0,21.7,
CASTILLA - LA MANCHA,
    1.-Homicidios dolosos y asesinatos consumados,7.0,14.0,100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,44.0,35.0,-20.5,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,557.0,752.0,35.0,
    4.-Secuestro,1.0,0.0,-100.0,
    5.-Delitos contra la libertad e indemnidad sexual,415.0,476.0,14.7,
    5.1.-Agresión sexual con penetración,54.0,61.0,13.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,361.0,415.0,15.0,
    6.-Robos con violencia e intimidación,658.0,667.0,1.4,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,3145.0,3618.0,15.0,
    7.1.-Robos con fuerza en domicilios,2217.0,2468.0,11.3,
    8.-Hurtos,7709.0,10721.0,39.1,
    9.-Sustracciones de vehículos,380.0,496.0,30.5,
    10.-Tráfico de drogas,429.0,410.0,-4.4,
    Resto de infracciones penales,35893.0,43808.0,22.1,
    TOTAL INFRACCIONES PENALES,49238.0,60997.0,23.9,
CATALUÑA,
    1.-Homicidios dolosos y asesinatos consumados,40.0,39.0,-2.5,
    2.-Homicidios dolosos y asesinatos en grado tentativa,158.0,154.0,-2.5,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,2250.0,3070.0,36.4,
    4.-Secuestro,9.0,7.0,-22.2,
    5.-Delitos contra la libertad e indemnidad sexual,2458.0,2839.0,15.5,
    5.1.-Agresión sexual con penetración,462.0,545.0,18.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1996.0,2294.0,14.9,
    6.-Robos con violencia e intimidación,14599.0,18513.0,26.8,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,16098.0,20469.0,27.2,
    7.1.-Robos con fuerza en domicilios,11765.0,14726.0,25.2,
    8.-Hurtos,83898.0,120531.0,43.7,
    9.-Sustracciones de vehículos,4339.0,5366.0,23.7,
    10.-Tráfico de drogas,2951.0,3015.0,2.2,
    Resto de infracciones penales,155789.0,180615.0,15.9,
    TOTAL INFRACCIONES PENALES,282589.0,354618.0,25.5,
COMUNITAT VALENCIANA,
    1.-Homicidios dolosos y asesinatos consumados,22.0,32.0,45.5,
    2.-Homicidios dolosos y asesinatos en grado tentativa,86.0,86.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,1703.0,2507.0,47.2,
    4.-Secuestro,4.0,9.0,125.0,
    5.-Delitos contra la libertad e indemnidad sexual,1621.0,1874.0,15.6,
    5.1.-Agresión sexual con penetración,170.0,243.0,42.9,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1451.0,1631.0,12.4,
    6.-Robos con violencia e intimidación,3204.0,4220.0,31.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,11493.0,13048.0,13.5,
    7.1.-Robos con fuerza en domicilios,9259.0,10626.0,14.8,
    8.-Hurtos,42056.0,53326.0,26.8,
    9.-Sustracciones de vehículos,1829.0,2345.0,28.2,
    10.-Tráfico de drogas,1499.0,1488.0,-0.7,
    Resto de infracciones penales,101444.0,116092.0,14.4,
    TOTAL INFRACCIONES PENALES,164961.0,195027.0,18.2,
EXTREMADURA,
    1.-Homicidios dolosos y asesinatos consumados,2.0,0.0,-100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,13.0,6.0,-53.8,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,209.0,287.0,37.3,
    4.-Secuestro,0.0,1.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,164.0,229.0,39.6,
    5.1.-Agresión sexual con penetración,21.0,23.0,9.5,
