
Balances trimestrales de criminalidad - 2018. 4º Trimestre
Indicadores de seguridad 2018 - 4º Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-diciembre 2017,Enero-diciembre 2018,Variación % 2018/2017,
    9.-Sustracciones de vehículos,1797.0,1374.0,-23.5,
    10.-Tráfico de drogas,597.0,623.0,4.4,
    Resto de infracciones penales,50312.0,52905.0,5.2,
    TOTAL INFRACCIONES PENALES,91359.0,90566.0,-0.9,
CANTABRIA,
    1.-Homicidios dolosos y asesinatos consumados,3.0,2.0,-33.3,
    2.-Homicidios dolosos y asesinatos en grado tentativa,4.0,3.0,-25.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,245.0,275.0,12.2,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,84.0,102.0,21.4,
    5.1.-Agresión sexual con penetración,8.0,8.0,0.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,76.0,94.0,23.7,
    6.-Robos con violencia e intimidación,214.0,180.0,-15.9,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1639.0,1574.0,-4.0,
    7.1.-Robos con fuerza en domicilios,939.0,974.0,3.7,
    8.-Hurtos,4983.0,4654.0,-6.6,
    9.-Sustracciones de vehículos,207.0,124.0,-40.1,
    10.-Tráfico de drogas,63.0,87.0,38.1,
    Resto de infracciones penales,9998.0,10654.0,6.6,
    TOTAL INFRACCIONES PENALES,17440.0,17655.0,1.2,
CASTILLA Y LEÓN,
    1.-Homicidios dolosos y asesinatos consumados,13.0,11.0,-15.4,
    2.-Homicidios dolosos y asesinatos en grado tentativa,17.0,23.0,35.3,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,647.0,719.0,11.1,
    4.-Secuestro,2.0,2.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,368.0,443.0,20.4,
    5.1.-Agresión sexual con penetración,31.0,52.0,67.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,337.0,391.0,16.0,
    6.-Robos con violencia e intimidación,726.0,710.0,-2.2,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,5184.0,5342.0,3.0,
    7.1.-Robos con fuerza en domicilios,3154.0,3557.0,12.8,
    8.-Hurtos,21070.0,19701.0,-6.5,
    9.-Sustracciones de vehículos,659.0,587.0,-10.9,
    10.-Tráfico de drogas,334.0,408.0,22.2,
    Resto de infracciones penales,42854.0,46798.0,9.2,
    TOTAL INFRACCIONES PENALES,71874.0,74744.0,4.0,
CASTILLA - LA MANCHA,
    1.-Homicidios dolosos y asesinatos consumados,12.0,8.0,-33.3,
    2.-Homicidios dolosos y asesinatos en grado tentativa,34.0,29.0,-14.7,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,573.0,582.0,1.6,
    4.-Secuestro,2.0,5.0,150.0,
    5.-Delitos contra la libertad e indemnidad sexual,371.0,489.0,31.8,
    5.1.-Agresión sexual con penetración,34.0,52.0,52.9,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,337.0,437.0,29.7,
    6.-Robos con violencia e intimidación,1026.0,973.0,-5.2,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,7769.0,7401.0,-4.7,
    7.1.-Robos con fuerza en domicilios,5500.0,5501.0,0.0,
    8.-Hurtos,15200.0,14451.0,-4.9,
    9.-Sustracciones de vehículos,1105.0,669.0,-39.5,
    10.-Tráfico de drogas,426.0,439.0,3.1,
    Resto de infracciones penales,37488.0,43069.0,14.9,
    TOTAL INFRACCIONES PENALES,64006.0,68115.0,6.4,
CATALUÑA,
    1.-Homicidios dolosos y asesinatos consumados,65.0,45.0,-30.8,
    2.-Homicidios dolosos y asesinatos en grado tentativa,144.0,168.0,16.7,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,3686.0,3225.0,-12.5,
    4.-Secuestro,10.0,5.0,-50.0,
    5.-Delitos contra la libertad e indemnidad sexual,2212.0,2598.0,17.5,
    5.1.-Agresión sexual con penetración,394.0,468.0,18.8,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1818.0,2130.0,17.2,
    6.-Robos con violencia e intimidación,20615.0,22506.0,9.2,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,31199.0,34485.0,10.5,
    7.1.-Robos con fuerza en domicilios,23313.0,25814.0,10.7,
    8.-Hurtos,173684.0,192054.0,10.6,
    9.-Sustracciones de vehículos,8855.0,9194.0,3.8,
    10.-Tráfico de drogas,2269.0,2452.0,8.1,
    Resto de infracciones penales,179547.0,204657.0,14.0,
    TOTAL INFRACCIONES PENALES,422286.0,471389.0,11.6,
COMUNITAT VALENCIANA,
    1.-Homicidios dolosos y asesinatos consumados,41.0,25.0,-39.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,65.0,93.0,43.1,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,1833.0,1966.0,7.3,
    4.-Secuestro,4.0,6.0,50.0,
    5.-Delitos contra la libertad e indemnidad sexual,1348.0,1584.0,17.5,
    5.1.-Agresión sexual con penetración,120.0,168.0,40.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1228.0,1416.0,15.3,
    6.-Robos con violencia e intimidación,5393.0,5121.0,-5.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,21565.0,21846.0,1.3,
    7.1.-Robos con fuerza en domicilios,16928.0,17419.0,2.9,
    8.-Hurtos,73922.0,70098.0,-5.2,
    9.-Sustracciones de vehículos,3918.0,3303.0,-15.7,
    10.-Tráfico de drogas,1592.0,1759.0,10.5,
    Resto de infracciones penales,117421.0,125780.0,7.1,
    TOTAL INFRACCIONES PENALES,227102.0,231581.0,2.0,
EXTREMADURA,
    1.-Homicidios dolosos y asesinatos consumados,8.0,4.0,-50.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,16.0,13.0,-18.8,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,375.0,348.0,-7.2,
    4.-Secuestro,1.0,0.0,-100.0,
    5.-Delitos contra la libertad e indemnidad sexual,153.0,214.0,39.9,
    5.1.-Agresión sexual con penetración,10.0,21.0,110.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,143.0,193.0,35.0,
    6.-Robos con violencia e intimidación,277.0,252.0,-9.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,2192.0,2012.0,-8.2,
