
Balances trimestrales de criminalidad - 2017. 4º Trimestre
Indicadores de seguridad 2017 - 4º Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-diciembre 2016,Enero-diciembre 2017,Variación % 2017/2016,
    1.-Homicidios dolosos y asesinatos consumados,0.0,3.0,100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,8.0,4.0,-50.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,238.0,245.0,2.9,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,69.0,84.0,21.7,
    5.1.-Agresión sexual con penetración,6.0,8.0,33.3,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,63.0,76.0,20.6,
    6.-Robos con violencia e intimidación,214.0,214.0,0.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1663.0,1639.0,-1.4,
    7.1.-Robos con fuerza en domicilios,982.0,939.0,-4.4,
    8.-Hurtos,5108.0,4983.0,-2.4,
    9.-Sustracciones de vehículos,245.0,207.0,-15.5,
    10.-Tráfico de drogas,92.0,63.0,-31.5,
    TOTAL INFRACCIONES PENALES,17002.0,17440.0,2.6,
CASTILLA Y LEÓN,
    1.-Homicidios dolosos y asesinatos consumados,11.0,13.0,18.2,
    2.-Homicidios dolosos y asesinatos en grado tentativa,17.0,17.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,621.0,647.0,4.2,
    4.-Secuestro,1.0,2.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,289.0,368.0,27.3,
    5.1.-Agresión sexual con penetración,26.0,31.0,19.2,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,263.0,337.0,28.1,
    6.-Robos con violencia e intimidación,847.0,726.0,-14.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,5772.0,5184.0,-10.2,
    7.1.-Robos con fuerza en domicilios,3521.0,3154.0,-10.4,
    8.-Hurtos,22480.0,21070.0,-6.3,
    9.-Sustracciones de vehículos,901.0,659.0,-26.9,
    10.-Tráfico de drogas,352.0,334.0,-5.1,
    TOTAL INFRACCIONES PENALES,72037.0,71874.0,-0.2,
CASTILLA - LA MANCHA,
    1.-Homicidios dolosos y asesinatos consumados,11.0,12.0,9.1,
    2.-Homicidios dolosos y asesinatos en grado tentativa,27.0,34.0,25.9,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,582.0,573.0,-1.5,
    4.-Secuestro,2.0,2.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,348.0,371.0,6.6,
    5.1.-Agresión sexual con penetración,38.0,34.0,-10.5,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,310.0,337.0,8.7,
    6.-Robos con violencia e intimidación,1006.0,1026.0,2.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,8285.0,7769.0,-6.2,
    7.1.-Robos con fuerza en domicilios,5937.0,5500.0,-7.4,
    8.-Hurtos,15746.0,15200.0,-3.5,
    9.-Sustracciones de vehículos,1511.0,1105.0,-26.9,
    10.-Tráfico de drogas,361.0,426.0,18.0,
    TOTAL INFRACCIONES PENALES,63579.0,64006.0,0.7,
CATALUÑA,
    1.-Homicidios dolosos y asesinatos consumados,54.0,65.0,20.4,
    2.-Homicidios dolosos y asesinatos en grado tentativa,142.0,144.0,1.4,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,2966.0,3686.0,24.3,
    4.-Secuestro,7.0,10.0,42.9,
    5.-Delitos contra la libertad e indemnidad sexual,2249.0,2212.0,-1.6,
    5.1.-Agresión sexual con penetración,336.0,394.0,17.3,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1913.0,1818.0,-5.0,
    6.-Robos con violencia e intimidación,20152.0,20615.0,2.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,31502.0,31199.0,-1.0,
    7.1.-Robos con fuerza en domicilios,23655.0,23317.0,-1.4,
    8.-Hurtos,162942.0,173684.0,6.6,
    9.-Sustracciones de vehículos,7976.0,8855.0,11.0,
    10.-Tráfico de drogas,2183.0,2269.0,3.9,
    TOTAL INFRACCIONES PENALES,403928.0,422286.0,4.5,
COMUNITAT VALENCIANA,
    1.-Homicidios dolosos y asesinatos consumados,30.0,41.0,36.7,
    2.-Homicidios dolosos y asesinatos en grado tentativa,95.0,65.0,-31.6,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,1776.0,1833.0,3.2,
    4.-Secuestro,7.0,4.0,-42.9,
    5.-Delitos contra la libertad e indemnidad sexual,1343.0,1348.0,0.4,
    5.1.-Agresión sexual con penetración,130.0,120.0,-7.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1213.0,1228.0,1.2,
    6.-Robos con violencia e intimidación,5917.0,5393.0,-8.9,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,24177.0,21565.0,-10.8,
    7.1.-Robos con fuerza en domicilios,19096.0,16928.0,-11.4,
    8.-Hurtos,77169.0,73922.0,-4.2,
    9.-Sustracciones de vehículos,4390.0,3918.0,-10.8,
    10.-Tráfico de drogas,1654.0,1592.0,-3.7,
    TOTAL INFRACCIONES PENALES,230209.0,227102.0,-1.3,
EXTREMADURA,
    1.-Homicidios dolosos y asesinatos consumados,7.0,8.0,14.3,
    2.-Homicidios dolosos y asesinatos en grado tentativa,10.0,16.0,60.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,367.0,375.0,2.2,
    4.-Secuestro,1.0,1.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,157.0,153.0,-2.5,
    5.1.-Agresión sexual con penetración,16.0,10.0,-37.5,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,141.0,143.0,1.4,
    6.-Robos con violencia e intimidación,302.0,277.0,-8.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,2343.0,2192.0,-6.4,
    7.1.-Robos con fuerza en domicilios,1337.0,1288.0,-3.7,
    8.-Hurtos,7456.0,7245.0,-2.8,
    9.-Sustracciones de vehículos,416.0,336.0,-19.2,
    10.-Tráfico de drogas,198.0,201.0,1.5,
    TOTAL INFRACCIONES PENALES,26286.0,26411.0,0.5,
GALICIA,
    1.-Homicidios dolosos y asesinatos consumados,12.0,13.0,8.3,
    2.-Homicidios dolosos y asesinatos en grado tentativa,23.0,27.0,17.4,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,884.0,844.0,-4.5,
    4.-Secuestro,3.0,4.0,33.3,
    5.-Delitos contra la libertad e indemnidad sexual,434.0,459.0,5.8,
    5.1.-Agresión sexual con penetración,40.0,44.0,10.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,394.0,415.0,5.3,
    6.-Robos con violencia e intimidación,1086.0,1057.0,-2.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,6095.0,5438.0,-10.8,
    7.1.-Robos con fuerza en domicilios,3684.0,3402.0,-7.7,
    8.-Hurtos,21326.0,20320.0,-4.7,
    9.-Sustracciones de vehículos,1032.0,794.0,-23.1,
    10.-Tráfico de drogas,345.0,371.0,7.5,
    TOTAL INFRACCIONES PENALES,74405.0,74174.0,-0.3,
MADRID (COMUNIDAD DE),
    1.-Homicidios dolosos y asesinatos consumados,33.0,39.0,18.2,
    2.-Homicidios dolosos y asesinatos en grado tentativa,84.0,86.0,2.4,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,2038.0,2124.0,4.2,
    4.-Secuestro,12.0,7.0,-41.7,
    5.-Delitos contra la libertad e indemnidad sexual,1551.0,1776.0,14.5,
    5.1.-Agresión sexual con penetración,205.0,221.0,7.8,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1346.0,1555.0,15.5,
    6.-Robos con violencia e intimidación,16992.0,16314.0,-4.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,23290.0,19310.0,-17.1,
    7.1.-Robos con fuerza en domicilios,15783.0,12562.0,-20.4,
    8.-Hurtos,150409.0,156329.0,3.9,
    9.-Sustracciones de vehículos,10504.0,10715.0,2.0,
    10.-Tráfico de drogas,1463.0,1608.0,9.9,
    TOTAL INFRACCIONES PENALES,373402.0,381242.0,2.1,
MURCIA (REGIÓN DE),
    1.-Homicidios dolosos y asesinatos consumados,12.0,14.0,16.7,
    2.-Homicidios dolosos y asesinatos en grado tentativa,22.0,31.0,40.9,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,592.0,604.0,2.0,
    4.-Secuestro,1.0,0.0,-100.0,
    5.-Delitos contra la libertad e indemnidad sexual,379.0,391.0,3.2,
    5.1.-Agresión sexual con penetración,33.0,41.0,24.2,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,346.0,350.0,1.2,
    6.-Robos con violencia e intimidación,1495.0,1458.0,-2.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,6568.0,6956.0,5.9,
    7.1.-Robos con fuerza en domicilios,5370.0,5826.0,8.5,
    8.-Hurtos,15735.0,15261.0,-3.0,
    9.-Sustracciones de vehículos,1352.0,1293.0,-4.4,
    10.-Tráfico de drogas,264.0,293.0,11.0,
    TOTAL INFRACCIONES PENALES,51309.0,52690.0,2.7,
NAVARRA (COMUNIDAD FORAL DE),
    1.-Homicidios dolosos y asesinatos consumados,1.0,8.0,700.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,6.0,21.0,250.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,384.0,388.0,1.0,
    4.-Secuestro,4.0,1.0,-75.0,
    5.-Delitos contra la libertad e indemnidad sexual,219.0,232.0,5.9,
    5.1.-Agresión sexual con penetración,40.0,29.0,-27.5,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,179.0,203.0,13.4,
    6.-Robos con violencia e intimidación,424.0,432.0,1.9,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1528.0,1519.0,-0.6,
    7.1.-Robos con fuerza en domicilios,1029.0,955.0,-7.2,
    8.-Hurtos,8259.0,7572.0,-8.3,
    9.-Sustracciones de vehículos,214.0,169.0,-21.0,
    10.-Tráfico de drogas,200.0,134.0,-33.0,
    TOTAL INFRACCIONES PENALES,25704.0,24828.0,-3.4,
PAÍS VASCO,
    1.-Homicidios dolosos y asesinatos consumados,6.0,5.0,-16.7,
    2.-Homicidios dolosos y asesinatos en grado tentativa,31.0,36.0,16.1,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,1088.0,1049.0,-3.6,
    4.-Secuestro,29.0,9.0,-69.0,
    5.-Delitos contra la libertad e indemnidad sexual,394.0,500.0,26.9,
    5.1.-Agresión sexual con penetración,46.0,76.0,65.2,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,348.0,424.0,21.8,
    6.-Robos con violencia e intimidación,1993.0,1787.0,-10.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,7772.0,7264.0,-6.5,
    7.1.-Robos con fuerza en domicilios,4117.0,4058.0,-1.4,
    8.-Hurtos,28944.0,27873.0,-3.7,
    9.-Sustracciones de vehículos,985.0,900.0,-8.6,
    10.-Tráfico de drogas,321.0,332.0,3.4,
    TOTAL INFRACCIONES PENALES,82809.0,83687.0,1.1,
RIOJA (LA),
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,3.0,6.0,100.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,118.0,128.0,8.5,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,48.0,57.0,18.8,
    5.1.-Agresión sexual con penetración,7.0,7.0,0.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,41.0,50.0,22.0,
    6.-Robos con violencia e intimidación,119.0,104.0,-12.6,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,649.0,722.0,11.2,
    7.1.-Robos con fuerza en domicilios,494.0,587.0,18.8,
    8.-Hurtos,2791.0,2563.0,-8.2,
    9.-Sustracciones de vehículos,99.0,89.0,-10.1,
    10.-Tráfico de drogas,63.0,80.0,27.0,
    TOTAL INFRACCIONES PENALES,7997.0,7877.0,-1.5,
CIUDAD AUTÓNOMA DE CEUTA,
    1.-Homicidios dolosos y asesinatos consumados,4.0,1.0,-75.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,10.0,7.0,-30.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,36.0,58.0,61.1,
    4.-Secuestro,0.0,1.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,39.0,25.0,-35.9,
    5.1.-Agresión sexual con penetración,3.0,5.0,66.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,36.0,20.0,-44.4,
    6.-Robos con violencia e intimidación,197.0,131.0,-33.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,99.0,83.0,-16.2,
    7.1.-Robos con fuerza en domicilios,67.0,57.0,-14.9,
    8.-Hurtos,950.0,810.0,-14.7,
    9.-Sustracciones de vehículos,387.0,216.0,-44.2,
    10.-Tráfico de drogas,257.0,227.0,-11.7,
    TOTAL INFRACCIONES PENALES,4633.0,4503.0,-2.8,
CIUDAD AUTÓNOMA DE MELILLA,
    1.-Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,8.0,8.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,139.0,117.0,-15.8,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,51.0,29.0,-43.1,
    5.1.-Agresión sexual con penetración,2.0,0.0,-100.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,49.0,29.0,-40.8,
    6.-Robos con violencia e intimidación,377.0,356.0,-5.6,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,196.0,142.0,-27.6,
    7.1.-Robos con fuerza en domicilios,159.0,99.0,-37.7,
    8.-Hurtos,1312.0,1154.0,-12.0,
    9.-Sustracciones de vehículos,105.0,113.0,7.6,
    10.-Tráfico de drogas,82.0,64.0,-22.0,
    TOTAL INFRACCIONES PENALES,4832.0,4744.0,-1.8,
FUERA DE ESPAÑA,
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,2.0,4.0,100.0,
    4.-Secuestro,9.0,9.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,32.0,61.0,90.6,
    5.1.-Agresión sexual con penetración,4.0,12.0,200.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,28.0,49.0,75.0,
    6.-Robos con violencia e intimidación,236.0,246.0,4.2,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,38.0,31.0,-18.4,
    7.1.-Robos con fuerza en domicilios,26.0,20.0,-23.1,
    8.-Hurtos,2882.0,3091.0,7.3,
    9.-Sustracciones de vehículos,93.0,95.0,2.2,
    10.-Tráfico de drogas,14.0,12.0,-14.3,
    TOTAL INFRACCIONES PENALES,18541.0,21544.0,16.2,
Notas:
NOTAS.-         
         
 (1) Se incluyen las víctimas mortales del atentado terrorista en  Barcelona de agosto de 2017.        
         
 (2) Se computan datos provenientes de las Fuerzas y Cuerpos de  Seguridad del Estado, policías autonómicas y policías locales que  proporcionan datos al Sistema Estadístico de Criminalidad.            
                
 (3) Indicadores estadísticos de criminalidad utilizados por la  Oficina Estadística Europea (EUROSTAT).               
         
 (4) Los datos del año 2017 están pendientes de consolidar.
Fuente: Ministerio del Interior
