
Balances trimestrales de criminalidad - 2017. 4º Trimestre
Indicadores de seguridad 2017 - 4º Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-diciembre 2016,Enero-diciembre 2017,Variación % 2017/2016,
TOTAL NACIONAL,
    1.-Homicidios dolosos y asesinatos consumados,294.0,308.0,4.8,
    2.-Homicidios dolosos y asesinatos en grado tentativa,813.0,799.0,-1.7,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,17331.0,18086.0,4.4,
    4.-Secuestro,94.0,69.0,-26.6,
    5.-Delitos contra la libertad e indemnidad sexual,10844.0,11692.0,7.8,
    5.1.-Agresión sexual con penetración,1249.0,1382.0,10.6,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,9595.0,10310.0,7.5,
    6.-Robos con violencia e intimidación,62952.0,61763.0,-1.9,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,160853.0,149651.0,-7.0,
    7.1.-Robos con fuerza en domicilios,113299.0,105099.0,-7.2,
    8.-Hurtos,711507.0,712398.0,0.1,
    9.-Sustracciones de vehículos,43335.0,42519.0,-1.9,
    10.-Tráfico de drogas,12448.0,12958.0,4.1,
    TOTAL INFRACCIONES PENALES,2009690.0,2045785.0,1.8,
ANDALUCÍA,
    1.-Homicidios dolosos y asesinatos consumados,68.0,49.0,-27.9,
    2.-Homicidios dolosos y asesinatos en grado tentativa,227.0,207.0,-8.8,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,2911.0,2930.0,0.7,
    4.-Secuestro,16.0,15.0,-6.3,
    5.-Delitos contra la libertad e indemnidad sexual,1837.0,2064.0,12.4,
    5.1.-Agresión sexual con penetración,185.0,173.0,-6.5,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1652.0,1891.0,14.5,
    6.-Robos con violencia e intimidación,7431.0,7668.0,3.2,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,26332.0,24718.0,-6.1,
    7.1.-Robos con fuerza en domicilios,18367.0,17276.0,-5.9,
    8.-Hurtos,109491.0,103746.0,-5.2,
    9.-Sustracciones de vehículos,8835.0,8755.0,-0.9,
    10.-Tráfico de drogas,3143.0,3472.0,10.5,
    TOTAL INFRACCIONES PENALES,331836.0,334331.0,0.8,
ARAGÓN,
    1.-Homicidios dolosos y asesinatos consumados,8.0,8.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,17.0,15.0,-11.8,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,464.0,390.0,-15.9,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,287.0,274.0,-4.5,
    5.1.-Agresión sexual con penetración,20.0,27.0,35.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,267.0,247.0,-7.5,
    6.-Robos con violencia e intimidación,910.0,798.0,-12.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,2642.0,2555.0,-3.3,
    7.1.-Robos con fuerza en domicilios,1898.0,1787.0,-5.8,
    8.-Hurtos,11936.0,11004.0,-7.8,
    9.-Sustracciones de vehículos,388.0,392.0,1.0,
    10.-Tráfico de drogas,252.0,270.0,7.1,
    TOTAL INFRACCIONES PENALES,38146.0,37878.0,-0.7,
ASTURIAS (PRINCIPADO DE),
    1.-Homicidios dolosos y asesinatos consumados,6.0,5.0,-16.7,
    2.-Homicidios dolosos y asesinatos en grado tentativa,16.0,11.0,-31.3,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,350.0,328.0,-6.3,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,146.0,146.0,0.0,
    5.1.-Agresión sexual con penetración,16.0,20.0,25.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,130.0,126.0,-3.1,
    6.-Robos con violencia e intimidación,531.0,371.0,-30.1,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1966.0,1737.0,-11.6,
    7.1.-Robos con fuerza en domicilios,1101.0,956.0,-13.2,
    8.-Hurtos,7638.0,7261.0,-4.9,
    9.-Sustracciones de vehículos,371.0,394.0,6.2,
    10.-Tráfico de drogas,103.0,130.0,26.2,
    TOTAL INFRACCIONES PENALES,26093.0,25652.0,-1.7,
BALEARS (ILLES),
    1.-Homicidios dolosos y asesinatos consumados,9.0,4.0,-55.6,
    2.-Homicidios dolosos y asesinatos en grado tentativa,23.0,28.0,21.7,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,702.0,705.0,0.4,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,442.0,517.0,17.0,
    5.1.-Agresión sexual con penetración,51.0,50.0,-2.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,391.0,467.0,19.4,
    6.-Robos con violencia e intimidación,1186.0,1354.0,14.2,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,4258.0,4281.0,0.5,
    7.1.-Robos con fuerza en domicilios,3104.0,3125.0,0.7,
    8.-Hurtos,27962.0,29183.0,4.4,
    9.-Sustracciones de vehículos,1925.0,1717.0,-10.8,
    10.-Tráfico de drogas,500.0,483.0,-3.4,
    TOTAL INFRACCIONES PENALES,68160.0,72157.0,5.9,
CANARIAS,
    1.-Homicidios dolosos y asesinatos consumados,21.0,20.0,-4.8,
    2.-Homicidios dolosos y asesinatos en grado tentativa,44.0,36.0,-18.2,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,1073.0,1058.0,-1.4,
    4.-Secuestro,2.0,4.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,530.0,625.0,17.9,
    5.1.-Agresión sexual con penetración,45.0,80.0,77.8,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,485.0,545.0,12.4,
    6.-Robos con violencia e intimidación,1537.0,1436.0,-6.6,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,5678.0,5347.0,-5.8,
    7.1.-Robos con fuerza en domicilios,3572.0,3263.0,-8.7,
    8.-Hurtos,30971.0,30127.0,-2.7,
    9.-Sustracciones de vehículos,1606.0,1797.0,11.9,
    10.-Tráfico de drogas,601.0,597.0,-0.7,
    TOTAL INFRACCIONES PENALES,88782.0,91359.0,2.9,
CANTABRIA,
