
Balances trimestrales de criminalidad - 2019. 4º Trimestre
Indicadores de seguridad 2019 - 4º Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-diciembre 2018,Enero-diciembre 2019,Variación % 2019/2018,
TOTAL NACIONAL,
    1.-Homicidios dolosos y asesinatos consumados,289.0,332.0,14.9,
    2.-Homicidios dolosos y asesinatos en grado tentativa,799.0,837.0,4.8,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,18292.0,19974.0,9.2,
    4.-Secuestro,81.0,90.0,11.1,
    5.-Delitos contra la libertad e indemnidad sexual,13782.0,15338.0,11.3,
    5.1.-Agresión sexual con penetración,1700.0,1878.0,10.5,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,12082.0,13460.0,11.4,
    6.-Robos con violencia e intimidación,60295.0,66209.0,9.8,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,150872.0,142780.0,-5.4,
    7.1.-Robos con fuerza en domicilios,107166.0,98520.0,-8.1,
    8.-Hurtos,706072.0,700477.0,-0.8,
    9.-Sustracciones de vehículos,35897.0,35248.0,-1.8,
    10.-Tráfico de drogas,14133.0,16268.0,15.1,
    Resto de infracciones penales,1130606.0,1204306.0,6.5,
    TOTAL INFRACCIONES PENALES,2131118.0,2201859.0,3.3,
ANDALUCÍA,
    1.-Homicidios dolosos y asesinatos consumados,72.0,82.0,13.9,
    2.-Homicidios dolosos y asesinatos en grado tentativa,190.0,158.0,-16.8,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,2931.0,3459.0,18.0,
    4.-Secuestro,26.0,31.0,19.2,
    5.-Delitos contra la libertad e indemnidad sexual,2339.0,2516.0,7.6,
    5.1.-Agresión sexual con penetración,198.0,261.0,31.8,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,2141.0,2255.0,5.3,
    6.-Robos con violencia e intimidación,7093.0,7344.0,3.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,23157.0,22455.0,-3.0,
    7.1.-Robos con fuerza en domicilios,15779.0,15352.0,-2.7,
    8.-Hurtos,93459.0,91398.0,-2.2,
    9.-Sustracciones de vehículos,6872.0,6543.0,-4.8,
    10.-Tráfico de drogas,3663.0,4297.0,17.3,
    Resto de infracciones penales,195039.0,201671.0,3.4,
    TOTAL INFRACCIONES PENALES,334841.0,339954.0,1.5,
ARAGÓN,
    1.-Homicidios dolosos y asesinatos consumados,9.0,6.0,-33.3,
    2.-Homicidios dolosos y asesinatos en grado tentativa,8.0,10.0,25.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,485.0,551.0,13.6,
    4.-Secuestro,0.0,2.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,346.0,333.0,-3.8,
    5.1.-Agresión sexual con penetración,33.0,27.0,-18.2,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,313.0,306.0,-2.2,
    6.-Robos con violencia e intimidación,919.0,1064.0,15.8,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,2505.0,2348.0,-6.3,
    7.1.-Robos con fuerza en domicilios,1751.0,1569.0,-10.4,
    8.-Hurtos,10710.0,10514.0,-1.8,
    9.-Sustracciones de vehículos,279.0,245.0,-12.2,
    10.-Tráfico de drogas,336.0,348.0,3.6,
    Resto de infracciones penales,24770.0,27287.0,10.2,
    TOTAL INFRACCIONES PENALES,40367.0,42708.0,5.8,
ASTURIAS (PRINCIPADO DE),
    1.-Homicidios dolosos y asesinatos consumados,7.0,7.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,11.0,11.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,370.0,402.0,8.6,
    4.-Secuestro,3.0,0.0,-100.0,
    5.-Delitos contra la libertad e indemnidad sexual,207.0,193.0,-6.8,
    5.1.-Agresión sexual con penetración,17.0,12.0,-29.4,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,190.0,181.0,-4.7,
    6.-Robos con violencia e intimidación,355.0,368.0,3.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1493.0,1563.0,4.7,
    7.1.-Robos con fuerza en domicilios,871.0,909.0,4.4,
    8.-Hurtos,7223.0,6788.0,-6.0,
    9.-Sustracciones de vehículos,211.0,223.0,5.7,
    10.-Tráfico de drogas,140.0,204.0,45.7,
    Resto de infracciones penales,16413.0,17500.0,6.6,
    TOTAL INFRACCIONES PENALES,26433.0,27259.0,3.1,
BALEARS (ILLES),
    1.-Homicidios dolosos y asesinatos consumados,8.0,6.0,-25.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,36.0,42.0,16.7,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,801.0,853.0,6.5,
    4.-Secuestro,1.0,6.0,500.0,
    5.-Delitos contra la libertad e indemnidad sexual,584.0,743.0,27.2,
    5.1.-Agresión sexual con penetración,73.0,89.0,21.9,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,511.0,654.0,28.0,
    6.-Robos con violencia e intimidación,1230.0,1315.0,6.9,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,4110.0,3571.0,-13.1,
    7.1.-Robos con fuerza en domicilios,3067.0,2595.0,-15.4,
    8.-Hurtos,27629.0,26408.0,-4.4,
    9.-Sustracciones de vehículos,1432.0,1435.0,0.2,
    10.-Tráfico de drogas,514.0,646.0,25.7,
    Resto de infracciones penales,37316.0,42425.0,13.7,
    TOTAL INFRACCIONES PENALES,73661.0,77450.0,5.1,
CANARIAS,
    1.-Homicidios dolosos y asesinatos consumados,25.0,20.0,-20.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,41.0,45.0,9.8,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,1070.0,1148.0,7.3,
    4.-Secuestro,2.0,1.0,-50.0,
    5.-Delitos contra la libertad e indemnidad sexual,750.0,911.0,21.5,
    5.1.-Agresión sexual con penetración,88.0,74.0,-15.9,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,662.0,837.0,26.4,
    6.-Robos con violencia e intimidación,1490.0,1546.0,3.8,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,5012.0,4310.0,-14.0,
    7.1.-Robos con fuerza en domicilios,3229.0,2899.0,-10.2,
    8.-Hurtos,27229.0,26146.0,-4.0,
    9.-Sustracciones de vehículos,1354.0,1288.0,-4.9,
    10.-Tráfico de drogas,620.0,576.0,-7.1,
    Resto de infracciones penales,53056.0,59995.0,13.1,
    TOTAL INFRACCIONES PENALES,90649.0,95986.0,5.9,
CANTABRIA,
    1.-Homicidios dolosos y asesinatos consumados,2.0,6.0,200.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,3.0,9.0,200.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,275.0,285.0,3.6,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,102.0,107.0,4.9,
    5.1.-Agresión sexual con penetración,8.0,10.0,25.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,94.0,97.0,3.2,
    6.-Robos con violencia e intimidación,177.0,225.0,27.1,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1579.0,1628.0,3.1,
    7.1.-Robos con fuerza en domicilios,979.0,1069.0,9.2,
    8.-Hurtos,4669.0,4881.0,4.5,
    9.-Sustracciones de vehículos,123.0,134.0,8.9,
    10.-Tráfico de drogas,87.0,80.0,-8.0,
    Resto de infracciones penales,10657.0,10750.0,0.9,
    TOTAL INFRACCIONES PENALES,17674.0,18105.0,2.4,
CASTILLA Y LEÓN,
    1.-Homicidios dolosos y asesinatos consumados,11.0,8.0,-27.3,
    2.-Homicidios dolosos y asesinatos en grado tentativa,23.0,29.0,26.1,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,723.0,751.0,3.9,
    4.-Secuestro,2.0,2.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,439.0,508.0,15.7,
    5.1.-Agresión sexual con penetración,52.0,44.0,-15.4,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,387.0,464.0,19.9,
    6.-Robos con violencia e intimidación,708.0,712.0,0.6,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,5362.0,4765.0,-11.1,
    7.1.-Robos con fuerza en domicilios,3569.0,2964.0,-17.0,
    8.-Hurtos,19715.0,19241.0,-2.4,
    9.-Sustracciones de vehículos,572.0,578.0,1.0,
    10.-Tráfico de drogas,408.0,438.0,7.4,
    Resto de infracciones penales,46900.0,49614.0,5.8,
    TOTAL INFRACCIONES PENALES,74863.0,76646.0,2.4,
CASTILLA - LA MANCHA,
    1.-Homicidios dolosos y asesinatos consumados,8.0,11.0,37.5,
    2.-Homicidios dolosos y asesinatos en grado tentativa,29.0,30.0,3.4,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,585.0,672.0,14.9,
    4.-Secuestro,5.0,1.0,-80.0,
    5.-Delitos contra la libertad e indemnidad sexual,489.0,524.0,7.2,
    5.1.-Agresión sexual con penetración,52.0,39.0,-25.0,
