
Balances trimestrales de criminalidad - 2019. 4º Trimestre
Indicadores de seguridad 2019 - 4º Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-diciembre 2018,Enero-diciembre 2019,Variación % 2019/2018,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,437.0,485.0,11.0,
    6.-Robos con violencia e intimidación,968.0,981.0,1.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,7411.0,6525.0,-12.0,
    7.1.-Robos con fuerza en domicilios,5509.0,4748.0,-13.8,
    8.-Hurtos,14490.0,13857.0,-4.4,
    9.-Sustracciones de vehículos,668.0,629.0,-5.8,
    10.-Tráfico de drogas,439.0,460.0,4.8,
    Resto de infracciones penales,43240.0,46817.0,8.3,
    TOTAL INFRACCIONES PENALES,68332.0,70507.0,3.2,
CATALUÑA,
    1.-Homicidios dolosos y asesinatos consumados,45.0,60.0,33.3,
    2.-Homicidios dolosos y asesinatos en grado tentativa,168.0,188.0,11.9,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,3225.0,3359.0,4.2,
    4.-Secuestro,5.0,6.0,20.0,
    5.-Delitos contra la libertad e indemnidad sexual,2598.0,3031.0,16.7,
    5.1.-Agresión sexual con penetración,468.0,557.0,19.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,2130.0,2474.0,16.2,
    6.-Robos con violencia e intimidación,22506.0,26448.0,17.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,34491.0,33993.0,-1.4,
    7.1.-Robos con fuerza en domicilios,25792.0,23923.0,-7.2,
    8.-Hurtos,192054.0,192052.0,0.0,
    9.-Sustracciones de vehículos,9193.0,9713.0,5.7,
    10.-Tráfico de drogas,2452.0,2605.0,6.2,
    Resto de infracciones penales,204773.0,217661.0,6.3,
    TOTAL INFRACCIONES PENALES,471510.0,489116.0,3.7,
COMUNITAT VALENCIANA,
    1.-Homicidios dolosos y asesinatos consumados,25.0,39.0,56.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,93.0,109.0,17.2,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,1971.0,2190.0,11.1,
    4.-Secuestro,6.0,5.0,-16.7,
    5.-Delitos contra la libertad e indemnidad sexual,1580.0,1750.0,10.8,
    5.1.-Agresión sexual con penetración,168.0,177.0,5.4,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1412.0,1573.0,11.4,
    6.-Robos con violencia e intimidación,5065.0,4983.0,-1.6,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,21877.0,19823.0,-9.4,
    7.1.-Robos con fuerza en domicilios,17440.0,15269.0,-12.4,
    8.-Hurtos,70169.0,68038.0,-3.0,
    9.-Sustracciones de vehículos,3282.0,3228.0,-1.6,
    10.-Tráfico de drogas,1759.0,1965.0,11.7,
    Resto de infracciones penales,125800.0,130785.0,4.0,
    TOTAL INFRACCIONES PENALES,231627.0,232915.0,0.6,
EXTREMADURA,
    1.-Homicidios dolosos y asesinatos consumados,4.0,5.0,25.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,13.0,8.0,-38.5,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,351.0,314.0,-10.5,
    4.-Secuestro,0.0,1.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,209.0,214.0,2.4,
    5.1.-Agresión sexual con penetración,21.0,18.0,-14.3,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,188.0,196.0,4.3,
    6.-Robos con violencia e intimidación,252.0,320.0,27.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,2026.0,1661.0,-18.0,
    7.1.-Robos con fuerza en domicilios,1178.0,995.0,-15.5,
    8.-Hurtos,6616.0,6569.0,-0.7,
    9.-Sustracciones de vehículos,160.0,144.0,-10.0,
    10.-Tráfico de drogas,233.0,297.0,27.5,
    Resto de infracciones penales,16949.0,18125.0,6.9,
    TOTAL INFRACCIONES PENALES,26813.0,27658.0,3.2,
GALICIA,
    1.-Homicidios dolosos y asesinatos consumados,8.0,16.0,100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,25.0,25.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,944.0,954.0,1.1,
    4.-Secuestro,2.0,1.0,-50.0,
    5.-Delitos contra la libertad e indemnidad sexual,536.0,636.0,18.7,
    5.1.-Agresión sexual con penetración,57.0,93.0,63.2,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,479.0,543.0,13.4,
    6.-Robos con violencia e intimidación,951.0,946.0,-0.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,5379.0,5291.0,-1.6,
    7.1.-Robos con fuerza en domicilios,3395.0,3139.0,-7.5,
    8.-Hurtos,19903.0,18886.0,-5.1,
    9.-Sustracciones de vehículos,584.0,604.0,3.4,
    10.-Tráfico de drogas,433.0,509.0,17.6,
    Resto de infracciones penales,49761.0,52420.0,5.3,
    TOTAL INFRACCIONES PENALES,78526.0,80288.0,2.2,
MADRID (COMUNIDAD DE),
    1.-Homicidios dolosos y asesinatos consumados,36.0,32.0,-11.1,
    2.-Homicidios dolosos y asesinatos en grado tentativa,78.0,78.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,2172.0,2402.0,10.6,
    4.-Secuestro,12.0,16.0,33.3,
    5.-Delitos contra la libertad e indemnidad sexual,2014.0,2221.0,10.3,
    5.1.-Agresión sexual con penetración,252.0,243.0,-3.6,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1762.0,1978.0,12.3,
    6.-Robos con violencia e intimidación,14268.0,15586.0,9.2,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,19317.0,18255.0,-5.5,
    7.1.-Robos con fuerza en domicilios,12781.0,11484.0,-10.1,
    8.-Hurtos,152704.0,154217.0,1.0,
    9.-Sustracciones de vehículos,8620.0,8086.0,-6.2,
    10.-Tráfico de drogas,1955.0,2427.0,24.1,
    Resto de infracciones penales,188738.0,205312.0,8.8,
    TOTAL INFRACCIONES PENALES,389914.0,408632.0,4.8,
MURCIA (REGIÓN DE),
    1.-Homicidios dolosos y asesinatos consumados,11.0,13.0,18.2,
    2.-Homicidios dolosos y asesinatos en grado tentativa,25.0,25.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,621.0,736.0,18.5,
    4.-Secuestro,3.0,3.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,478.0,531.0,11.1,
    5.1.-Agresión sexual con penetración,46.0,49.0,6.5,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,432.0,482.0,11.6,
    6.-Robos con violencia e intimidación,1444.0,1528.0,5.8,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,6778.0,6184.0,-8.8,
    7.1.-Robos con fuerza en domicilios,5662.0,5014.0,-11.4,
    8.-Hurtos,14888.0,15149.0,1.8,
    9.-Sustracciones de vehículos,951.0,905.0,-4.8,
    10.-Tráfico de drogas,287.0,356.0,24.0,
    Resto de infracciones penales,29912.0,31679.0,5.9,
    TOTAL INFRACCIONES PENALES,55398.0,57109.0,3.1,
NAVARRA (COMUNIDAD FORAL DE),
    1.-Homicidios dolosos y asesinatos consumados,10.0,5.0,-50.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,15.0,13.0,-13.3,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,378.0,402.0,6.3,
    4.-Secuestro,3.0,1.0,-66.7,
    5.-Delitos contra la libertad e indemnidad sexual,271.0,232.0,-14.4,
    5.1.-Agresión sexual con penetración,36.0,28.0,-22.2,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,235.0,204.0,-13.2,
    6.-Robos con violencia e intimidación,255.0,331.0,29.8,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1510.0,1514.0,0.3,
    7.1.-Robos con fuerza en domicilios,987.0,1006.0,1.9,
    8.-Hurtos,7741.0,8541.0,10.3,
    9.-Sustracciones de vehículos,173.0,184.0,6.4,
    10.-Tráfico de drogas,140.0,159.0,13.6,
    Resto de infracciones penales,16773.0,17794.0,6.1,
    TOTAL INFRACCIONES PENALES,27269.0,29176.0,7.0,
PAÍS VASCO,
    1.-Homicidios dolosos y asesinatos consumados,6.0,10.0,66.7,
    2.-Homicidios dolosos y asesinatos en grado tentativa,37.0,27.0,-27.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,1051.0,1157.0,10.1,
    4.-Secuestro,5.0,7.0,40.0,
    5.-Delitos contra la libertad e indemnidad sexual,659.0,668.0,1.4,
    5.1.-Agresión sexual con penetración,111.0,123.0,10.8,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,548.0,545.0,-0.5,
    6.-Robos con violencia e intimidación,1791.0,1643.0,-8.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,8002.0,8162.0,2.0,
    7.1.-Robos con fuerza en domicilios,4534.0,5018.0,10.7,
    8.-Hurtos,29376.0,30254.0,3.0,
    9.-Sustracciones de vehículos,928.0,890.0,-4.1,
    10.-Tráfico de drogas,368.0,421.0,14.4,
    Resto de infracciones penales,48030.0,51245.0,6.7,
    TOTAL INFRACCIONES PENALES,90253.0,94484.0,4.7,
RIOJA (LA),
    1.-Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,2.0,5.0,150.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,144.0,144.0,0.0,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,61.0,92.0,50.8,
    5.1.-Agresión sexual con penetración,7.0,9.0,28.6,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,54.0,83.0,53.7,
    6.-Robos con violencia e intimidación,77.0,90.0,16.9,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,604.0,552.0,-8.6,
    7.1.-Robos con fuerza en domicilios,466.0,437.0,-6.2,
    8.-Hurtos,2366.0,2422.0,2.4,
    9.-Sustracciones de vehículos,78.0,68.0,-12.8,
    10.-Tráfico de drogas,73.0,104.0,42.5,
    Resto de infracciones penales,4868.0,5283.0,8.5,
    TOTAL INFRACCIONES PENALES,8274.0,8760.0,5.9,
CIUDAD AUTÓNOMA DE CEUTA,
    1.-Homicidios dolosos y asesinatos consumados,1.0,4.0,300.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,1.0,16.0,1500.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,51.0,44.0,-13.7,
    4.-Secuestro,0.0,2.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,50.0,23.0,-54.0,
    5.1.-Agresión sexual con penetración,5.0,1.0,-80.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,45.0,22.0,-51.1,
    6.-Robos con violencia e intimidación,150.0,145.0,-3.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,88.0,58.0,-34.1,
    7.1.-Robos con fuerza en domicilios,60.0,42.0,-30.0,
    8.-Hurtos,864.0,823.0,-4.7,
    9.-Sustracciones de vehículos,247.0,168.0,-32.0,
    10.-Tráfico de drogas,166.0,297.0,78.9,
    Resto de infracciones penales,3104.0,3179.0,2.4,
    TOTAL INFRACCIONES PENALES,4722.0,4759.0,0.8,
CIUDAD AUTÓNOMA DE MELILLA,
    1.-Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,1.0,8.0,700.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,141.0,146.0,3.5,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,27.0,33.0,22.2,
    5.1.-Agresión sexual con penetración,2.0,5.0,150.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,25.0,28.0,12.0,
    6.-Robos con violencia e intimidación,332.0,373.0,12.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,131.0,98.0,-25.2,
    7.1.-Robos con fuerza en domicilios,91.0,71.0,-22.0,
    8.-Hurtos,1237.0,1204.0,-2.7,
    9.-Sustracciones de vehículos,88.0,76.0,-13.6,
    10.-Tráfico de drogas,48.0,63.0,31.3,
    Resto de infracciones penales,3483.0,3577.0,2.7,
    TOTAL INFRACCIONES PENALES,5488.0,5579.0,1.7,
EN EL EXTRANJERO,
    1.-Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,1.0,100.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,3.0,5.0,66.7,
    4.-Secuestro,6.0,5.0,-16.7,
    5.-Delitos contra la libertad e indemnidad sexual,43.0,72.0,67.4,
    5.1.-Agresión sexual con penetración,6.0,19.0,216.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,37.0,53.0,43.2,
    6.-Robos con violencia e intimidación,264.0,261.0,-1.1,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,40.0,24.0,-40.0,
    7.1.-Robos con fuerza en domicilios,26.0,17.0,-34.6,
    8.-Hurtos,3030.0,3089.0,1.9,
    9.-Sustracciones de vehículos,82.0,107.0,30.5,
    10.-Tráfico de drogas,12.0,16.0,33.3,
    Resto de infracciones penales,11024.0,11187.0,1.5,
    TOTAL INFRACCIONES PENALES,14504.0,14768.0,1.8,
Notas:
(*) Se computan datos provenientes de las Fuerzas y Cuerpos de  Seguridad del Estado, policías autonómicas y policías locales que  proporcionan datos al Sistema Estadístico de Criminalidad.            
                                         
 (**) Indicadores estadísticos de criminalidad utilizados por la  Oficina Estadística Europea (EUROSTAT). 
  
 (***) Los datos del año 2019 están pendientes de consolidar.
Fuente: Ministerio del Interior
