
Balance de criminalidad. 2020 - 1er Trimestre - CCAA
Indicadores de seguridad 2020 - 1er Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-marzo 2019,Enero-marzo 2020,Variación % 2020/2019,
    10.-Tráfico de drogas,151.0,146.0,-3.3,
    Resto de infracciones penales,14124.0,14048.0,-0.5,
    TOTAL INFRACCIONES PENALES,23976.0,23125.0,-3.5,
CANTABRIA,
    1.-Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,2.0,2.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,60.0,70.0,16.7,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,26.0,18.0,-30.8,
    5.1.-Agresión sexual con penetración,1.0,2.0,100.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,25.0,16.0,-36.0,
    6.-Robos con violencia e intimidación,56.0,60.0,7.1,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,435.0,462.0,6.2,
    7.1.-Robos con fuerza en domicilios,286.0,295.0,3.1,
    8.-Hurtos,1102.0,911.0,-17.3,
    9.-Sustracciones de vehículos,31.0,26.0,-16.1,
    10.-Tráfico de drogas,24.0,31.0,29.2,
    Resto de infracciones penales,2540.0,2617.0,3.0,
    TOTAL INFRACCIONES PENALES,4277.0,4197.0,-1.9,
CASTILLA Y LEÓN,
    1.-Homicidios dolosos y asesinatos consumados,1.0,7.0,600.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,4.0,6.0,50.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,171.0,149.0,-12.9,
    4.-Secuestro,1.0,0.0,-100.0,
    5.-Delitos contra la libertad e indemnidad sexual,135.0,91.0,-32.6,
    5.1.-Agresión sexual con penetración,12.0,12.0,0.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,123.0,79.0,-35.8,
    6.-Robos con violencia e intimidación,151.0,153.0,1.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1293.0,1110.0,-14.2,
    7.1.-Robos con fuerza en domicilios,812.0,700.0,-13.8,
    8.-Hurtos,4538.0,3594.0,-20.8,
    9.-Sustracciones de vehículos,141.0,128.0,-9.2,
    10.-Tráfico de drogas,80.0,76.0,-5.0,
    Resto de infracciones penales,11511.0,11442.0,-0.6,
    TOTAL INFRACCIONES PENALES,18026.0,16756.0,-7.0,
CASTILLA - LA MANCHA,
    1.-Homicidios dolosos y asesinatos consumados,5.0,4.0,-20.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,5.0,6.0,20.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,149.0,132.0,-11.4,
    4.-Secuestro,0.0,1.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,125.0,95.0,-24.0,
    5.1.-Agresión sexual con penetración,10.0,7.0,-30.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,115.0,88.0,-23.5,
    6.-Robos con violencia e intimidación,233.0,217.0,-6.9,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1714.0,1490.0,-13.1,
    7.1.-Robos con fuerza en domicilios,1257.0,1033.0,-17.8,
    8.-Hurtos,3277.0,2932.0,-10.5,
    9.-Sustracciones de vehículos,167.0,166.0,-0.6,
    10.-Tráfico de drogas,91.0,86.0,-5.5,
    Resto de infracciones penales,11166.0,10649.0,-4.6,
    TOTAL INFRACCIONES PENALES,16932.0,15778.0,-6.8,
CATALUÑA,
    1.-Homicidios dolosos y asesinatos consumados,9.0,12.0,33.3,
    2.-Homicidios dolosos y asesinatos en grado tentativa,50.0,31.0,-38.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,753.0,599.0,-20.5,
    4.-Secuestro,4.0,3.0,-25.0,
    5.-Delitos contra la libertad e indemnidad sexual,726.0,696.0,-4.1,
    5.1.-Agresión sexual con penetración,122.0,135.0,10.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,604.0,561.0,-7.1,
    6.-Robos con violencia e intimidación,6164.0,6112.0,-0.8,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,8755.0,6809.0,-22.2,
    7.1.-Robos con fuerza en domicilios,6048.0,4835.0,-20.1,
    8.-Hurtos,45295.0,36011.0,-20.5,
    9.-Sustracciones de vehículos,2452.0,1865.0,-23.9,
    10.-Tráfico de drogas,662.0,663.0,0.2,
    Resto de infracciones penales,51642.0,49331.0,-4.5,
    TOTAL INFRACCIONES PENALES,116512.0,102132.0,-12.3,
COMUNITAT VALENCIANA,
    1.-Homicidios dolosos y asesinatos consumados,11.0,10.0,-9.1,
    2.-Homicidios dolosos y asesinatos en grado tentativa,27.0,19.0,-29.6,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,456.0,456.0,0.0,
    4.-Secuestro,0.0,4.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,406.0,363.0,-10.6,
    5.1.-Agresión sexual con penetración,38.0,40.0,5.3,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,368.0,323.0,-12.2,
    6.-Robos con violencia e intimidación,1208.0,1013.0,-16.1,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,5238.0,4554.0,-13.1,
    7.1.-Robos con fuerza en domicilios,4145.0,3368.0,-18.7,
    8.-Hurtos,16184.0,12654.0,-21.8,
    9.-Sustracciones de vehículos,819.0,637.0,-22.2,
    10.-Tráfico de drogas,437.0,440.0,0.7,
    Resto de infracciones penales,30997.0,29087.0,-6.2,
    TOTAL INFRACCIONES PENALES,55783.0,49237.0,-11.7,
EXTREMADURA,
    1.-Homicidios dolosos y asesinatos consumados,1.0,1.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,80.0,54.0,-32.5,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,35.0,52.0,48.6,
    5.1.-Agresión sexual con penetración,2.0,2.0,0.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,33.0,50.0,51.5,
    6.-Robos con violencia e intimidación,81.0,57.0,-29.6,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,464.0,506.0,9.1,
    7.1.-Robos con fuerza en domicilios,276.0,325.0,17.8,
    8.-Hurtos,1674.0,1380.0,-17.6,
    9.-Sustracciones de vehículos,45.0,61.0,35.6,
    10.-Tráfico de drogas,64.0,59.0,-7.8,
    Resto de infracciones penales,4335.0,4331.0,-0.1,
    TOTAL INFRACCIONES PENALES,6779.0,6501.0,-4.1,
GALICIA,
    1.-Homicidios dolosos y asesinatos consumados,4.0,4.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,7.0,8.0,14.3,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,225.0,192.0,-14.7,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,147.0,134.0,-8.8,
    5.1.-Agresión sexual con penetración,13.0,12.0,-7.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,134.0,122.0,-9.0,
    6.-Robos con violencia e intimidación,224.0,207.0,-7.6,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1269.0,1318.0,3.9,
    7.1.-Robos con fuerza en domicilios,741.0,742.0,0.1,
    8.-Hurtos,4449.0,3706.0,-16.7,
    9.-Sustracciones de vehículos,139.0,131.0,-5.8,
    10.-Tráfico de drogas,109.0,112.0,2.8,
    Resto de infracciones penales,12603.0,11916.0,-5.5,
    TOTAL INFRACCIONES PENALES,19176.0,17728.0,-7.6,
