,Enero-junio 2020,Enero-junio 2021,Variacion % 2021/2020
TOTAL NACIONAL
    1.-Homicidios dolosos y asesinatos consumados,145.0,140.0,-3.4
    2.-Homicidios dolosos y asesinatos en grado tentativa,392.0,467.0,19.1
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,7159.0,8332.0,16.4
    4.-Secuestro,32.0,43.0,34.4
    5.-Delitos contra la libertad e indemnidad sexual,5958.0,7898.0,32.6
    5.1.-Agresion sexual con penetracion,731.0,955.0,30.6
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,5227.0,6943.0,32.8
    6.-Robos con violencia e intimidacion,20621.0,23005.0,11.6
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,49893.0,47045.0,-5.7
    7.1.-Robos con fuerza en domicilios,33420.0,33293.0,-0.4
    8.-Hurtos,197885.0,211868.0,7.1
    9.-Sustracciones de vehiculos,11486.0,12106.0,5.4
    10.-Trafico de drogas,8030.0,9051.0,12.7
    Resto de infracciones penales,502562.0,578561.0,15.1
    TOTAL INFRACCIONES PENALES,804163.0,898516.0,11.7
ANDALUCIA
    1.-Homicidios dolosos y asesinatos consumados,30.0,29.0,-3.3
    2.-Homicidios dolosos y asesinatos en grado tentativa,115.0,94.0,-18.3
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,1354.0,1535.0,13.4
    4.-Secuestro,11.0,11.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,1004.0,1330.0,32.5
    5.1.-Agresion sexual con penetracion,101.0,141.0,39.6
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,903.0,1189.0,31.7
    6.-Robos con violencia e intimidacion,2368.0,2545.0,7.5
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,8289.0,7458.0,-10.0
    7.1.-Robos con fuerza en domicilios,5724.0,5113.0,-10.7
    8.-Hurtos,25936.0,29541.0,13.9
    9.-Sustracciones de vehiculos,2096.0,2277.0,8.6
    10.-Trafico de drogas,2138.0,2423.0,13.3
    Resto de infracciones penales,88458.0,99445.0,12.4
    TOTAL INFRACCIONES PENALES,131799.0,146688.0,11.3
ARAGON
    1.-Homicidios dolosos y asesinatos consumados,1.0,5.0,400.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,17.0,5.0,-70.6
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,177.0,181.0,2.3
    4.-Secuestro,0.0,1.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,144.0,200.0,38.9
    5.1.-Agresion sexual con penetracion,20.0,19.0,-5.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,124.0,181.0,46.0
    6.-Robos con violencia e intimidacion,309.0,333.0,7.8
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,809.0,876.0,8.3
    7.1.-Robos con fuerza en domicilios,527.0,614.0,16.5
    8.-Hurtos,3067.0,3849.0,25.5
    9.-Sustracciones de vehiculos,89.0,114.0,28.1
    10.-Trafico de drogas,139.0,199.0,43.2
    Resto de infracciones penales,11530.0,13266.0,15.1
    TOTAL INFRACCIONES PENALES,16282.0,19029.0,16.9
ASTURIAS (PRINCIPADO DE)
    1.-Homicidios dolosos y asesinatos consumados,2.0,1.0,-50.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,4.0,2.0,-50.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,135.0,137.0,1.5
    4.-Secuestro,1.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,88.0,117.0,33.0
    5.1.-Agresion sexual con penetracion,2.0,13.0,550.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,86.0,104.0,20.9
    6.-Robos con violencia e intimidacion,154.0,121.0,-21.4
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,531.0,518.0,-2.4
    7.1.-Robos con fuerza en domicilios,286.0,322.0,12.6
    8.-Hurtos,1929.0,1917.0,-0.6
    9.-Sustracciones de vehiculos,108.0,147.0,36.1
    10.-Trafico de drogas,87.0,79.0,-9.2
    Resto de infracciones penales,7786.0,9010.0,15.7
    TOTAL INFRACCIONES PENALES,10825.0,12049.0,11.3
BALEARS (ILLES)
    1.-Homicidios dolosos y asesinatos consumados,3.0,4.0,33.3
