,Enero-junio 2020,Enero-junio 2021,Variacion % 2021/2020
    2.-Homicidios dolosos y asesinatos en grado tentativa,13.0,24.0,84.6
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,272.0,274.0,0.7
    4.-Secuestro,1.0,4.0,300.0
    5.-Delitos contra la libertad e indemnidad sexual,240.0,340.0,41.7
    5.1.-Agresion sexual con penetracion,28.0,26.0,-7.1
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,212.0,314.0,48.1
    6.-Robos con violencia e intimidacion,314.0,323.0,2.9
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1145.0,1183.0,3.3
    7.1.-Robos con fuerza en domicilios,808.0,845.0,4.6
    8.-Hurtos,4551.0,5951.0,30.8
    9.-Sustracciones de vehiculos,407.0,444.0,9.1
    10.-Trafico de drogas,182.0,164.0,-9.9
    Resto de infracciones penales,18654.0,18174.0,-2.6
    TOTAL INFRACCIONES PENALES,25782.0,26885.0,4.3
CANARIAS
    1.-Homicidios dolosos y asesinatos consumados,6.0,9.0,50.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,18.0,13.0,-27.8
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,427.0,518.0,21.3
    4.-Secuestro,2.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,401.0,444.0,10.7
    5.1.-Agresion sexual con penetracion,56.0,46.0,-17.9
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,345.0,398.0,15.4
    6.-Robos con violencia e intimidacion,506.0,587.0,16.0
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1688.0,1658.0,-1.8
    7.1.-Robos con fuerza en domicilios,1090.0,1182.0,8.4
    8.-Hurtos,8624.0,7604.0,-11.8
    9.-Sustracciones de vehiculos,485.0,473.0,-2.5
    10.-Trafico de drogas,320.0,285.0,-10.9
    Resto de infracciones penales,26472.0,27228.0,2.9
    TOTAL INFRACCIONES PENALES,38949.0,38819.0,-0.3
CANTABRIA
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,3.0,8.0,166.7
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,110.0,119.0,8.2
    4.-Secuestro,0.0,1.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,33.0,65.0,97.0
    5.1.-Agresion sexual con penetracion,4.0,11.0,175.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,29.0,54.0,86.2
    6.-Robos con violencia e intimidacion,81.0,72.0,-11.1
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,621.0,607.0,-2.3
    7.1.-Robos con fuerza en domicilios,377.0,464.0,23.1
    8.-Hurtos,1343.0,1550.0,15.4
    9.-Sustracciones de vehiculos,43.0,57.0,32.6
    10.-Trafico de drogas,61.0,42.0,-31.1
    Resto de infracciones penales,5022.0,6021.0,19.9
    TOTAL INFRACCIONES PENALES,7317.0,8542.0,16.7
CASTILLA Y LEON
    1.-Homicidios dolosos y asesinatos consumados,12.0,10.0,-16.7
    2.-Homicidios dolosos y asesinatos en grado tentativa,12.0,10.0,-16.7
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,247.0,277.0,12.1
    4.-Secuestro,0.0,1.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,176.0,244.0,38.6
    5.1.-Agresion sexual con penetracion,20.0,25.0,25.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,156.0,219.0,40.4
    6.-Robos con violencia e intimidacion,222.0,278.0,25.2
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1638.0,1577.0,-3.7
    7.1.-Robos con fuerza en domicilios,1062.0,1022.0,-3.8
    8.-Hurtos,5070.0,5607.0,10.6
    9.-Sustracciones de vehiculos,176.0,207.0,17.6
    10.-Trafico de drogas,178.0,231.0,29.8
    Resto de infracciones penales,20474.0,24975.0,22.0
    TOTAL INFRACCIONES PENALES,28205.0,33417.0,18.5
CASTILLA - LA MANCHA
    1.-Homicidios dolosos y asesinatos consumados,7.0,4.0,-42.9
    2.-Homicidios dolosos y asesinatos en grado tentativa,12.0,25.0,108.3
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,246.0,329.0,33.7
    4.-Secuestro,2.0,1.0,-50.0
    5.-Delitos contra la libertad e indemnidad sexual,185.0,257.0,38.9
    5.1.-Agresion sexual con penetracion,11.0,30.0,172.7
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,174.0,227.0,30.5
    6.-Robos con violencia e intimidacion,304.0,394.0,29.6
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,2294.0,2108.0,-8.1
    7.1.-Robos con fuerza en domicilios,1664.0,1494.0,-10.2
    8.-Hurtos,4160.0,4736.0,13.8
    9.-Sustracciones de vehiculos,232.0,257.0,10.8
    10.-Trafico de drogas,221.0,269.0,21.7
    Resto de infracciones penales,19460.0,22896.0,17.7
    TOTAL INFRACCIONES PENALES,27123.0,31276.0,15.3
CATALUNA
    1.-Homicidios dolosos y asesinatos consumados,27.0,26.0,-3.7
    2.-Homicidios dolosos y asesinatos en grado tentativa,59.0,103.0,74.6
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,1002.0,1293.0,29.0
    4.-Secuestro,1.0,5.0,400.0
    5.-Delitos contra la libertad e indemnidad sexual,1053.0,1548.0,47.0
    5.1.-Agresion sexual con penetracion,194.0,265.0,36.6
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,859.0,1283.0,49.4
    6.-Robos con violencia e intimidacion,8459.0,8858.0,4.7
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,12012.0,10131.0,-15.7
    7.1.-Robos con fuerza en domicilios,8216.0,7181.0,-12.6
    8.-Hurtos,57040.0,50053.0,-12.2
    9.-Sustracciones de vehiculos,2992.0,2749.0,-8.1
    10.-Trafico de drogas,1401.0,1874.0,33.8
    Resto de infracciones penales,83423.0,100305.0,20.2
    TOTAL INFRACCIONES PENALES,167469.0,176945.0,5.7
COMUNITAT VALENCIANA
    1.-Homicidios dolosos y asesinatos consumados,16.0,16.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,43.0,55.0,27.9
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,773.0,978.0,26.5
    4.-Secuestro,9.0,3.0,-66.7
    5.-Delitos contra la libertad e indemnidad sexual,652.0,960.0,47.2
    5.1.-Agresion sexual con penetracion,76.0,93.0,22.4
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,576.0,867.0,50.5
    6.-Robos con violencia e intimidacion,1490.0,1909.0,28.1
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,6737.0,7174.0,6.5
    7.1.-Robos con fuerza en domicilios,5040.0,5799.0,15.1
    8.-Hurtos,17606.0,23868.0,35.6
    9.-Sustracciones de vehiculos,985.0,1122.0,13.9
    10.-Trafico de drogas,954.0,961.0,0.7
    Resto de infracciones penales,53781.0,63716.0,18.5
    TOTAL INFRACCIONES PENALES,83046.0,100762.0,21.3
EXTREMADURA
    1.-Homicidios dolosos y asesinatos consumados,3.0,2.0,-33.3
    2.-Homicidios dolosos y asesinatos en grado tentativa,3.0,12.0,300.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,104.0,122.0,17.3
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,83.0,97.0,16.9
    5.1.-Agresion sexual con penetracion,6.0,12.0,100.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,77.0,85.0,10.4
    6.-Robos con violencia e intimidacion,99.0,107.0,8.1
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,745.0,691.0,-7.2
    7.1.-Robos con fuerza en domicilios,519.0,496.0,-4.4
    8.-Hurtos,2012.0,1991.0,-1.0
    9.-Sustracciones de vehiculos,65.0,61.0,-6.2
    10.-Trafico de drogas,132.0,135.0,2.3
    Resto de infracciones penales,8104.0,9304.0,14.8
    TOTAL INFRACCIONES PENALES,11350.0,12522.0,10.3
GALICIA
    1.-Homicidios dolosos y asesinatos consumados,5.0,8.0,60.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,13.0,20.0,53.8
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,359.0,362.0,0.8
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,252.0,326.0,29.4
    5.1.-Agresion sexual con penetracion,27.0,43.0,59.3
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,225.0,283.0,25.8
    6.-Robos con violencia e intimidacion,342.0,379.0,10.8
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,2040.0,1430.0,-29.9
    7.1.-Robos con fuerza en domicilios,1189.0,978.0,-17.7
    8.-Hurtos,5531.0,6281.0,13.6
    9.-Sustracciones de vehiculos,205.0,174.0,-15.1
    10.-Trafico de drogas,247.0,233.0,-5.7
    Resto de infracciones penales,22898.0,29604.0,29.3
    TOTAL INFRACCIONES PENALES,31892.0,38817.0,21.7
MADRID (COMUNIDAD DE)
    1.-Homicidios dolosos y asesinatos consumados,19.0,14.0,-26.3
    2.-Homicidios dolosos y asesinatos en grado tentativa,39.0,39.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,1025.0,1199.0,17.0
    4.-Secuestro,3.0,8.0,166.7
    5.-Delitos contra la libertad e indemnidad sexual,911.0,1118.0,22.7
    5.1.-Agresion sexual con penetracion,101.0,123.0,21.8
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,810.0,995.0,22.8
    6.-Robos con violencia e intimidacion,4675.0,5620.0,20.2
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,5764.0,5798.0,0.6
    7.1.-Robos con fuerza en domicilios,3034.0,3611.0,19.0
    8.-Hurtos,44596.0,50270.0,12.7
    9.-Sustracciones de vehiculos,2763.0,3235.0,17.1
    10.-Trafico de drogas,1199.0,1229.0,2.5
    Resto de infracciones penales,80819.0,94575.0,17.0
    TOTAL INFRACCIONES PENALES,141813.0,163105.0,15.0
MURCIA (REGION DE)
    1.-Homicidios dolosos y asesinatos consumados,2.0,4.0,100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,15.0,19.0,26.7
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,264.0,361.0,36.7
    4.-Secuestro,0.0,1.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,233.0,313.0,34.3
    5.1.-Agresion sexual con penetracion,36.0,31.0,-13.9
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,197.0,282.0,43.1
    6.-Robos con violencia e intimidacion,525.0,563.0,7.2
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,2269.0,2225.0,-1.9
    7.1.-Robos con fuerza en domicilios,1802.0,1769.0,-1.8
    8.-Hurtos,4292.0,5206.0,21.3
    9.-Sustracciones de vehiculos,349.0,307.0,-12.0
    10.-Trafico de drogas,215.0,251.0,16.7
    Resto de infracciones penales,14991.0,17511.0,16.8
    TOTAL INFRACCIONES PENALES,23155.0,26761.0,15.6
NAVARRA (COMUNIDAD FORAL DE)
    1.-Homicidios dolosos y asesinatos consumados,1.0,1.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,11.0,11.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,88.0,116.0,31.8
    4.-Secuestro,1.0,3.0,200.0
    5.-Delitos contra la libertad e indemnidad sexual,114.0,111.0,-2.6
    5.1.-Agresion sexual con penetracion,6.0,18.0,200.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,108.0,93.0,-13.9
    6.-Robos con violencia e intimidacion,90.0,123.0,36.7
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,549.0,573.0,4.4
    7.1.-Robos con fuerza en domicilios,297.0,391.0,31.6
    8.-Hurtos,1912.0,2467.0,29.0
    9.-Sustracciones de vehiculos,61.0,60.0,-1.6
    10.-Trafico de drogas,75.0,79.0,5.3
    Resto de infracciones penales,7744.0,9170.0,18.4
    TOTAL INFRACCIONES PENALES,10646.0,12714.0,19.4
PAIS VASCO
    1.-Homicidios dolosos y asesinatos consumados,8.0,6.0,-25.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,10.0,17.0,70.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,406.0,395.0,-2.7
    4.-Secuestro,1.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,272.0,318.0,16.9
    5.1.-Agresion sexual con penetracion,30.0,51.0,70.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,242.0,267.0,10.3
    6.-Robos con violencia e intimidacion,414.0,516.0,24.6
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,2465.0,2742.0,11.2
    7.1.-Robos con fuerza en domicilios,1562.0,1785.0,14.3
    8.-Hurtos,8364.0,9549.0,14.2
    9.-Sustracciones de vehiculos,312.0,303.0,-2.9
    10.-Trafico de drogas,249.0,283.0,13.7
    Resto de infracciones penales,23295.0,25169.0,8.0
    TOTAL INFRACCIONES PENALES,35796.0,39298.0,9.8
RIOJA (LA)
    1.-Homicidios dolosos y asesinatos consumados,3.0,1.0,-66.7
    2.-Homicidios dolosos y asesinatos en grado tentativa,2.0,2.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,67.0,52.0,-22.4
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,49.0,48.0,-2.0
    5.1.-Agresion sexual con penetracion,5.0,2.0,-60.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,44.0,46.0,4.5
    6.-Robos con violencia e intimidacion,23.0,64.0,178.3
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,214.0,228.0,6.5
    7.1.-Robos con fuerza en domicilios,164.0,185.0,12.8
    8.-Hurtos,648.0,749.0,15.6
    9.-Sustracciones de vehiculos,9.0,31.0,244.4
    10.-Trafico de drogas,34.0,36.0,5.9
    Resto de infracciones penales,2561.0,2842.0,11.0
    TOTAL INFRACCIONES PENALES,3610.0,4053.0,12.3
CIUDAD AUTONOMA DE CEUTA
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,2.0,6.0,200.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,38.0,30.0,-21.1
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,24.0,17.0,-29.2
    5.1.-Agresion sexual con penetracion,1.0,0.0,-100.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,23.0,17.0,-26.1
    6.-Robos con violencia e intimidacion,41.0,94.0,129.3
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,39.0,34.0,-12.8
    7.1.-Robos con fuerza en domicilios,26.0,15.0,-42.3
    8.-Hurtos,231.0,189.0,-18.2
    9.-Sustracciones de vehiculos,49.0,49.0,0.0
    10.-Trafico de drogas,133.0,96.0,-27.8
    Resto de infracciones penales,1272.0,1308.0,2.8
    TOTAL INFRACCIONES PENALES,1829.0,1823.0,-0.3
CIUDAD AUTONOMA DE MELILLA
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,1.0,2.0,100.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,63.0,54.0,-14.3
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,17.0,16.0,-5.9
    5.1.-Agresion sexual con penetracion,1.0,0.0,-100.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,16.0,16.0,0.0
    6.-Robos con violencia e intimidacion,155.0,101.0,-34.8
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,36.0,28.0,-22.2
    7.1.-Robos con fuerza en domicilios,27.0,22.0,-18.5
    8.-Hurtos,342.0,306.0,-10.5
    9.-Sustracciones de vehiculos,22.0,14.0,-36.4
    10.-Trafico de drogas,59.0,170.0,188.1
    Resto de infracciones penales,1346.0,1335.0,-0.8
    TOTAL INFRACCIONES PENALES,2041.0,2026.0,-0.7
EN EL EXTRANJERO
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,2.0,0.0,-100.0
    4.-Secuestro,0.0,4.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,27.0,29.0,7.4
    5.1.-Agresion sexual con penetracion,6.0,6.0,0.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,21.0,23.0,9.5
    6.-Robos con violencia e intimidacion,50.0,18.0,-64.0
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,8.0,6.0,-25.0
    7.1.-Robos con fuerza en domicilios,6.0,5.0,-16.7
    8.-Hurtos,631.0,184.0,-70.8
    9.-Sustracciones de vehiculos,38.0,25.0,-34.2
    10.-Trafico de drogas,6.0,12.0,100.0
    Resto de infracciones penales,4472.0,2707.0,-39.5
    TOTAL INFRACCIONES PENALES,5234.0,2985.0,-43.0
