,Enero-septiembre 2020,Enero-septiembre 2021,Variacion % 2021/2020
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,10980.0,11490.0,4.6
    7.1.-Robos con fuerza en domicilios,8381.0,9239.0,10.2
    8.-Hurtos,31739.0,42044.0,32.5
    9.-Sustracciones de vehiculos,1749.0,1838.0,5.1
    10.-Trafico de drogas,1418.0,1497.0,5.6
    Resto de infracciones penales,90404.0,101724.0,12.5
    TOTAL INFRACCIONES PENALES,141632.0,165233.0,16.7
EXTREMADURA
    1.-Homicidios dolosos y asesinatos consumados,7.0,2.0,-71.4
    2.-Homicidios dolosos y asesinatos en grado tentativa,10.0,13.0,30.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,184.0,211.0,14.7
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,136.0,165.0,21.3
    5.1.-Agresion sexual con penetracion,12.0,21.0,75.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,124.0,144.0,16.1
    6.-Robos con violencia e intimidacion,156.0,150.0,-3.8
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1192.0,1067.0,-10.5
    7.1.-Robos con fuerza en domicilios,741.0,733.0,-1.1
    8.-Hurtos,3135.0,3265.0,4.1
    9.-Sustracciones de vehiculos,116.0,95.0,-18.1
    10.-Trafico de drogas,233.0,249.0,6.9
    Resto de infracciones penales,13325.0,14510.0,8.9
    TOTAL INFRACCIONES PENALES,18494.0,19727.0,6.7
GALICIA
    1.-Homicidios dolosos y asesinatos consumados,9.0,14.0,55.6
    2.-Homicidios dolosos y asesinatos en grado tentativa,24.0,24.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,608.0,652.0,7.2
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,406.0,521.0,28.3
    5.1.-Agresion sexual con penetracion,46.0,61.0,32.6
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,360.0,460.0,27.8
    6.-Robos con violencia e intimidacion,577.0,604.0,4.7
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,3108.0,2566.0,-17.4
    7.1.-Robos con fuerza en domicilios,1837.0,1795.0,-2.3
    8.-Hurtos,9335.0,10809.0,15.8
    9.-Sustracciones de vehiculos,341.0,273.0,-19.9
    10.-Trafico de drogas,416.0,353.0,-15.1
    Resto de infracciones penales,38648.0,46674.0,20.8
    TOTAL INFRACCIONES PENALES,53472.0,62490.0,16.9
MADRID (COMUNIDAD DE)
    1.-Homicidios dolosos y asesinatos consumados,29.0,23.0,-20.7
    2.-Homicidios dolosos y asesinatos en grado tentativa,71.0,61.0,-14.1
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,1700.0,1957.0,15.1
    4.-Secuestro,6.0,12.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,1480.0,1796.0,21.4
    5.1.-Agresion sexual con penetracion,170.0,204.0,20.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1310.0,1592.0,21.5
    6.-Robos con violencia e intimidacion,7615.0,8726.0,14.6
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,9117.0,9208.0,1.0
    7.1.-Robos con fuerza en domicilios,5228.0,6114.0,16.9
    8.-Hurtos,67722.0,75929.0,12.1
    9.-Sustracciones de vehiculos,4599.0,4949.0,7.6
    10.-Trafico de drogas,1779.0,1851.0,4.0
    Resto de infracciones penales,130933.0,144655.0,10.5
    TOTAL INFRACCIONES PENALES,225051.0,249167.0,10.7
MURCIA (REGION DE)
    1.-Homicidios dolosos y asesinatos consumados,6.0,9.0,50.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,34.0,33.0,-2.9
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,480.0,615.0,28.1
    4.-Secuestro,1.0,2.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,391.0,483.0,23.5
    5.1.-Agresion sexual con penetracion,51.0,48.0,-5.9
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,340.0,435.0,27.9
    6.-Robos con violencia e intimidacion,915.0,933.0,2.0
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,3604.0,3483.0,-3.4
    7.1.-Robos con fuerza en domicilios,2906.0,2772.0,-4.6
    8.-Hurtos,7406.0,8519.0,15.0
    9.-Sustracciones de vehiculos,561.0,482.0,-14.1
    10.-Trafico de drogas,295.0,362.0,22.7
    Resto de infracciones penales,24215.0,27181.0,12.2
    TOTAL INFRACCIONES PENALES,37908.0,42102.0,11.1
NAVARRA (COMUNIDAD FORAL DE)
    1.-Homicidios dolosos y asesinatos consumados,1.0,1.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,15.0,17.0,13.3
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,145.0,171.0,17.9
    4.-Secuestro,3.0,4.0,33.3
    5.-Delitos contra la libertad e indemnidad sexual,180.0,171.0,-5.0
    5.1.-Agresion sexual con penetracion,14.0,25.0,78.6
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,166.0,146.0,-12.0
    6.-Robos con violencia e intimidacion,159.0,208.0,30.8
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,842.0,843.0,0.1
    7.1.-Robos con fuerza en domicilios,493.0,539.0,9.3
    8.-Hurtos,3396.0,3857.0,13.6
    9.-Sustracciones de vehiculos,96.0,93.0,-3.1
    10.-Trafico de drogas,109.0,112.0,2.8
    Resto de infracciones penales,12450.0,13778.0,10.7
    TOTAL INFRACCIONES PENALES,17396.0,19255.0,10.7
PAIS VASCO
    1.-Homicidios dolosos y asesinatos consumados,10.0,8.0,-20.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,21.0,32.0,52.4
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,687.0,741.0,7.9
    4.-Secuestro,2.0,3.0,50.0
    5.-Delitos contra la libertad e indemnidad sexual,420.0,506.0,20.5
    5.1.-Agresion sexual con penetracion,53.0,72.0,35.8
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,367.0,434.0,18.3
    6.-Robos con violencia e intimidacion,776.0,900.0,16.0
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,3977.0,4544.0,14.3
    7.1.-Robos con fuerza en domicilios,2614.0,3029.0,15.9
    8.-Hurtos,13274.0,15416.0,16.1
    9.-Sustracciones de vehiculos,477.0,489.0,2.5
    10.-Trafico de drogas,390.0,421.0,7.9
    Resto de infracciones penales,36540.0,37807.0,3.5
    TOTAL INFRACCIONES PENALES,56574.0,60867.0,7.6
RIOJA (LA)
    1.-Homicidios dolosos y asesinatos consumados,4.0,2.0,-50.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,2.0,2.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,100.0,98.0,-2.0
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,81.0,75.0,-7.4
    5.1.-Agresion sexual con penetracion,7.0,7.0,0.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,74.0,68.0,-8.1
    6.-Robos con violencia e intimidacion,58.0,90.0,55.2
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,330.0,359.0,8.8
    7.1.-Robos con fuerza en domicilios,252.0,290.0,15.1
    8.-Hurtos,1086.0,1239.0,14.1
    9.-Sustracciones de vehiculos,20.0,40.0,100.0
    10.-Trafico de drogas,55.0,59.0,7.3
    Resto de infracciones penales,4030.0,4608.0,14.3
    TOTAL INFRACCIONES PENALES,5766.0,6572.0,14.0
CIUDAD AUTONOMA DE CEUTA
    1.-Homicidios dolosos y asesinatos consumados,1.0,1.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,3.0,9.0,200.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,66.0,54.0,-18.2
    4.-Secuestro,0.0,2.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,30.0,35.0,16.7
    5.1.-Agresion sexual con penetracion,1.0,3.0,200.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,29.0,32.0,10.3
    6.-Robos con violencia e intimidacion,95.0,150.0,57.9
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,56.0,46.0,-17.9
    7.1.-Robos con fuerza en domicilios,31.0,22.0,-29.0
    8.-Hurtos,370.0,313.0,-15.4
    9.-Sustracciones de vehiculos,69.0,74.0,7.2
    10.-Trafico de drogas,184.0,160.0,-13.0
    Resto de infracciones penales,1990.0,2074.0,4.2
    TOTAL INFRACCIONES PENALES,2864.0,2918.0,1.9
CIUDAD AUTONOMA DE MELILLA
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,2.0,3.0,50.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,120.0,96.0,-20.0
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,27.0,34.0,25.9
    5.1.-Agresion sexual con penetracion,2.0,2.0,0.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,25.0,32.0,28.0
    6.-Robos con violencia e intimidacion,239.0,147.0,-38.5
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,53.0,45.0,-15.1
    7.1.-Robos con fuerza en domicilios,35.0,37.0,5.7
    8.-Hurtos,576.0,433.0,-24.8
    9.-Sustracciones de vehiculos,28.0,22.0,-21.4
    10.-Trafico de drogas,126.0,201.0,59.5
    Resto de infracciones penales,2148.0,2068.0,-3.7
    TOTAL INFRACCIONES PENALES,3319.0,3049.0,-8.1
EN EL EXTRANJERO
    1.-Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,6.0,2.0,-66.7
    4.-Secuestro,1.0,8.0,700.0
    5.-Delitos contra la libertad e indemnidad sexual,35.0,43.0,22.9
    5.1.-Agresion sexual con penetracion,7.0,7.0,0.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,28.0,36.0,28.6
    6.-Robos con violencia e intimidacion,66.0,41.0,-37.9
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,12.0,10.0,-16.7
    7.1.-Robos con fuerza en domicilios,10.0,9.0,-10.0
    8.-Hurtos,804.0,464.0,-42.3
    9.-Sustracciones de vehiculos,68.0,44.0,-35.3
    10.-Trafico de drogas,15.0,16.0,6.7
    Resto de infracciones penales,6353.0,4308.0,-32.2
    TOTAL INFRACCIONES PENALES,7361.0,4936.0,-32.9
