,Enero-marzo 2018,Enero-marzo 2019,Variacion % 2019/2018
    7.1.-Robos con fuerza en domicilios,707.0,663.0,-6.2
    8.-Hurtos,3632.0,3848.0,5.9
    9.-Sustracciones de vehiculos,304.0,231.0,-24.0
    10.-Trafico de drogas,59.0,62.0,5.1
    Resto de infracciones penales,7489.0,8992.0,20.1
    TOTAL INFRACCIONES PENALES,13021.0,14580.0,12.0
CANARIAS
    1.-Homicidios dolosos y asesinatos consumados,9.0,3.0,-66.7
    2.-Homicidios dolosos y asesinatos en grado tentativa,7.0,7.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,226.0,300.0,32.7
    4.-Secuestro,2.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,186.0,230.0,23.7
    5.1.-Agresion sexual con penetracion,24.0,9.0,-62.5
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,162.0,221.0,36.4
    6.-Robos con violencia e intimidacion,388.0,404.0,4.1
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1496.0,1009.0,-32.6
    7.1.-Robos con fuerza en domicilios,955.0,642.0,-32.8
    8.-Hurtos,8440.0,7438.0,-11.9
    9.-Sustracciones de vehiculos,326.0,328.0,0.6
    10.-Trafico de drogas,162.0,140.0,-13.6
    Resto de infracciones penales,12339.0,14226.0,15.3
    TOTAL INFRACCIONES PENALES,23581.0,24085.0,2.1
CANTABRIA
    1.-Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,2.0,2.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,51.0,60.0,17.6
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,24.0,26.0,8.3
    5.1.-Agresion sexual con penetracion,1.0,1.0,0.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,23.0,25.0,8.7
    6.-Robos con violencia e intimidacion,44.0,56.0,27.3
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,449.0,435.0,-3.1
    7.1.-Robos con fuerza en domicilios,294.0,286.0,-2.7
    8.-Hurtos,1089.0,1105.0,1.5
    9.-Sustracciones de vehiculos,37.0,32.0,-13.5
    10.-Trafico de drogas,17.0,20.0,17.6
    Resto de infracciones penales,2324.0,2545.0,9.5
    TOTAL INFRACCIONES PENALES,4037.0,4282.0,6.1
CASTILLA Y LEON
    1.-Homicidios dolosos y asesinatos consumados,2.0,1.0,-50.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,5.0,4.0,-20.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,181.0,169.0,-6.6
    4.-Secuestro,0.0,1.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,77.0,136.0,76.6
    5.1.-Agresion sexual con penetracion,10.0,12.0,20.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,67.0,124.0,85.1
    6.-Robos con violencia e intimidacion,168.0,151.0,-10.1
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1340.0,1293.0,-3.5
    7.1.-Robos con fuerza en domicilios,897.0,812.0,-9.5
    8.-Hurtos,4560.0,4552.0,-0.2
    9.-Sustracciones de vehiculos,134.0,141.0,5.2
    10.-Trafico de drogas,73.0,81.0,11.0
    Resto de infracciones penales,10870.0,11607.0,6.8
    TOTAL INFRACCIONES PENALES,17410.0,18136.0,4.2
CASTILLA - LA MANCHA
    1.-Homicidios dolosos y asesinatos consumados,3.0,5.0,66.7
    2.-Homicidios dolosos y asesinatos en grado tentativa,6.0,5.0,-16.7
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,111.0,151.0,36.0
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,107.0,126.0,17.8
    5.1.-Agresion sexual con penetracion,10.0,10.0,0.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,97.0,116.0,19.6
    6.-Robos con violencia e intimidacion,202.0,232.0,14.9
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,2117.0,1714.0,-19.0
    7.1.-Robos con fuerza en domicilios,1605.0,1257.0,-21.7
    8.-Hurtos,3508.0,3290.0,-6.2
    9.-Sustracciones de vehiculos,159.0,166.0,4.4
    10.-Trafico de drogas,86.0,90.0,4.7
    Resto de infracciones penales,9988.0,11208.0,12.2
    TOTAL INFRACCIONES PENALES,16287.0,16987.0,4.3
CATALUNA
    1.-Homicidios dolosos y asesinatos consumados,9.0,9.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,35.0,50.0,42.9
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,727.0,753.0,3.6
    4.-Secuestro,3.0,4.0,33.3
    5.-Delitos contra la libertad e indemnidad sexual,612.0,725.0,18.5
    5.1.-Agresion sexual con penetracion,110.0,122.0,10.9
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,502.0,603.0,20.1
    6.-Robos con violencia e intimidacion,5209.0,6164.0,18.3
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,8905.0,8800.0,-1.2
    7.1.-Robos con fuerza en domicilios,6934.0,6082.0,-12.3
    8.-Hurtos,43265.0,45295.0,4.7
    9.-Sustracciones de vehiculos,2040.0,2450.0,20.1
    10.-Trafico de drogas,610.0,658.0,7.9
    Resto de infracciones penales,47916.0,51544.0,7.6
    TOTAL INFRACCIONES PENALES,109331.0,116452.0,6.5
COMUNITAT VALENCIANA
    1.-Homicidios dolosos y asesinatos consumados,5.0,11.0,120.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,26.0,27.0,3.8
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,395.0,456.0,15.4
    4.-Secuestro,1.0,1.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,315.0,407.0,29.2
    5.1.-Agresion sexual con penetracion,31.0,38.0,22.6
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,284.0,369.0,29.9
    6.-Robos con violencia e intimidacion,1293.0,1213.0,-6.2
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,5829.0,5233.0,-10.2
    7.1.-Robos con fuerza en domicilios,4628.0,4143.0,-10.5
    8.-Hurtos,16357.0,16181.0,-1.1
    9.-Sustracciones de vehiculos,755.0,829.0,9.8
    10.-Trafico de drogas,385.0,433.0,12.5
    Resto de infracciones penales,29581.0,31111.0,5.2
    TOTAL INFRACCIONES PENALES,54942.0,55902.0,1.7
EXTREMADURA
    1.-Homicidios dolosos y asesinatos consumados,1.0,1.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,3.0,0.0,-100.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,78.0,79.0,1.3
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,58.0,35.0,-39.7
    5.1.-Agresion sexual con penetracion,6.0,2.0,-66.7
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,52.0,33.0,-36.5
    6.-Robos con violencia e intimidacion,67.0,81.0,20.9
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,639.0,465.0,-27.2
    7.1.-Robos con fuerza en domicilios,376.0,277.0,-26.3
    8.-Hurtos,1601.0,1673.0,4.5
    9.-Sustracciones de vehiculos,37.0,45.0,21.6
    10.-Trafico de drogas,37.0,50.0,35.1
    Resto de infracciones penales,3976.0,4367.0,9.8
    TOTAL INFRACCIONES PENALES,6497.0,6796.0,4.6
GALICIA
    1.-Homicidios dolosos y asesinatos consumados,4.0,4.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,5.0,7.0,40.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,179.0,224.0,25.1
    4.-Secuestro,1.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,111.0,147.0,32.4
    5.1.-Agresion sexual con penetracion,13.0,13.0,0.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,98.0,134.0,36.7
    6.-Robos con violencia e intimidacion,230.0,225.0,-2.2
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1458.0,1269.0,-13.0
    7.1.-Robos con fuerza en domicilios,898.0,741.0,-17.5
    8.-Hurtos,4403.0,4466.0,1.4
    9.-Sustracciones de vehiculos,121.0,138.0,14.0
    10.-Trafico de drogas,107.0,106.0,-0.9
    Resto de infracciones penales,11115.0,12690.0,14.2
    TOTAL INFRACCIONES PENALES,17734.0,19276.0,8.7
MADRID (COMUNIDAD DE)
    1.-Homicidios dolosos y asesinatos consumados,13.0,10.0,-23.1
    2.-Homicidios dolosos y asesinatos en grado tentativa,21.0,15.0,-28.6
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,478.0,590.0,23.4
    4.-Secuestro,3.0,3.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,458.0,540.0,17.9
    5.1.-Agresion sexual con penetracion,62.0,56.0,-9.7
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,396.0,484.0,22.2
    6.-Robos con violencia e intimidacion,3399.0,3542.0,4.2
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,5039.0,4768.0,-5.4
    7.1.-Robos con fuerza en domicilios,3372.0,2866.0,-15.0
    8.-Hurtos,38880.0,40524.0,4.2
    9.-Sustracciones de vehiculos,2235.0,2145.0,-4.0
    10.-Trafico de drogas,452.0,587.0,29.9
    Resto de infracciones penales,46800.0,50545.0,8.0
    TOTAL INFRACCIONES PENALES,97778.0,103269.0,5.6
MURCIA (REGION DE)
    1.-Homicidios dolosos y asesinatos consumados,4.0,3.0,-25.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,6.0,9.0,50.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,129.0,186.0,44.2
    4.-Secuestro,2.0,2.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,95.0,129.0,35.8
    5.1.-Agresion sexual con penetracion,7.0,8.0,14.3
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,88.0,121.0,37.5
    6.-Robos con violencia e intimidacion,381.0,376.0,-1.3
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1817.0,1679.0,-7.6
    7.1.-Robos con fuerza en domicilios,1532.0,1359.0,-11.3
    8.-Hurtos,3697.0,3832.0,3.7
    9.-Sustracciones de vehiculos,273.0,223.0,-18.3
    10.-Trafico de drogas,60.0,87.0,45.0
    Resto de infracciones penales,6975.0,7765.0,11.3
    TOTAL INFRACCIONES PENALES,13439.0,14291.0,6.3
NAVARRA (COMUNIDAD FORAL DE)
    1.-Homicidios dolosos y asesinatos consumados,1.0,3.0,200.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,3.0,0.0,-100.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,94.0,87.0,-7.4
    4.-Secuestro,1.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,48.0,52.0,8.3
    5.1.-Agresion sexual con penetracion,12.0,5.0,-58.3
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,36.0,47.0,30.6
    6.-Robos con violencia e intimidacion,62.0,46.0,-25.8
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,369.0,381.0,3.3
    7.1.-Robos con fuerza en domicilios,227.0,217.0,-4.4
    8.-Hurtos,1485.0,1577.0,6.2
    9.-Sustracciones de vehiculos,40.0,51.0,27.5
    10.-Trafico de drogas,26.0,46.0,76.9
    Resto de infracciones penales,3937.0,4053.0,2.9
    TOTAL INFRACCIONES PENALES,6066.0,6296.0,3.8
PAIS VASCO
    1.-Homicidios dolosos y asesinatos consumados,3.0,3.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,10.0,11.0,10.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,256.0,266.0,3.9
    4.-Secuestro,0.0,2.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,161.0,116.0,-28.0
    5.1.-Agresion sexual con penetracion,28.0,24.0,-14.3
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,133.0,92.0,-30.8
    6.-Robos con violencia e intimidacion,443.0,457.0,3.2
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,2235.0,2244.0,0.4
    7.1.-Robos con fuerza en domicilios,1261.0,1405.0,11.4
    8.-Hurtos,6301.0,7306.0,15.9
    9.-Sustracciones de vehiculos,217.0,248.0,14.3
    10.-Trafico de drogas,86.0,98.0,14.0
    Resto de infracciones penales,11584.0,12207.0,5.4
    TOTAL INFRACCIONES PENALES,21296.0,22958.0,7.8
RIOJA (LA)
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,1.0,100.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,22.0,24.0,9.1
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,12.0,18.0,50.0
    5.1.-Agresion sexual con penetracion,2.0,3.0,50.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,10.0,15.0,50.0
    6.-Robos con violencia e intimidacion,22.0,26.0,18.2
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,194.0,155.0,-20.1
    7.1.-Robos con fuerza en domicilios,149.0,116.0,-22.1
    8.-Hurtos,548.0,551.0,0.5
    9.-Sustracciones de vehiculos,13.0,14.0,7.7
    10.-Trafico de drogas,20.0,31.0,55.0
    Resto de infracciones penales,1165.0,1306.0,12.1
    TOTAL INFRACCIONES PENALES,1996.0,2126.0,6.5
CIUDAD AUTONOMA DE CEUTA
    1.-Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,12.0,100.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,15.0,8.0,-46.7
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,22.0,6.0,-72.7
    5.1.-Agresion sexual con penetracion,2.0,0.0,-100.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,20.0,6.0,-70.0
    6.-Robos con violencia e intimidacion,30.0,42.0,40.0
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,21.0,16.0,-23.8
    7.1.-Robos con fuerza en domicilios,16.0,7.0,-56.3
    8.-Hurtos,187.0,210.0,12.3
    9.-Sustracciones de vehiculos,66.0,52.0,-21.2
    10.-Trafico de drogas,52.0,63.0,21.2
    Resto de infracciones penales,706.0,723.0,2.4
    TOTAL INFRACCIONES PENALES,1099.0,1133.0,3.1
CIUDAD AUTONOMA DE MELILLA
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,1.0,100.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,23.0,34.0,47.8
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,10.0,9.0,-10.0
    5.1.-Agresion sexual con penetracion,0.0,2.0,100.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,10.0,7.0,-30.0
    6.-Robos con violencia e intimidacion,81.0,82.0,1.2
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,30.0,45.0,50.0
    7.1.-Robos con fuerza en domicilios,17.0,30.0,76.5
    8.-Hurtos,277.0,289.0,4.3
    9.-Sustracciones de vehiculos,23.0,17.0,-26.1
    10.-Trafico de drogas,16.0,16.0,0.0
    Resto de infracciones penales,709.0,832.0,17.3
    TOTAL INFRACCIONES PENALES,1169.0,1325.0,13.3
EN EL EXTRANJERO
    1.-Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,1.0,100.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,0.0,2.0,100.0
    4.-Secuestro,1.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,10.0,19.0,90.0
    5.1.-Agresion sexual con penetracion,1.0,2.0,100.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,9.0,17.0,88.9
    6.-Robos con violencia e intimidacion,59.0,66.0,11.9
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,8.0,6.0,-25.0
    7.1.-Robos con fuerza en domicilios,7.0,4.0,-42.9
    8.-Hurtos,670.0,679.0,1.3
    9.-Sustracciones de vehiculos,24.0,18.0,-25.0
    10.-Trafico de drogas,3.0,1.0,-66.7
    Resto de infracciones penales,2981.0,2641.0,-11.4
    TOTAL INFRACCIONES PENALES,3756.0,3434.0,-8.6
