,Enero-marzo 2018,Enero-marzo 2019,Variacion % 2019/2018
TOTAL NACIONAL
    1.-Homicidios dolosos y asesinatos consumados,75.0,75.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,171.0,196.0,14.6
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,3935.0,4476.0,13.7
    4.-Secuestro,22.0,26.0,18.2
    5.-Delitos contra la libertad e indemnidad sexual,3011.0,3576.0,18.8
    5.1.-Agresion sexual con penetracion,378.0,377.0,-0.3
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,2633.0,3199.0,21.5
    6.-Robos con violencia e intimidacion,14264.0,15482.0,8.5
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,40391.0,37157.0,-8.0
    7.1.-Robos con fuerza en domicilios,28800.0,25289.0,-12.2
    8.-Hurtos,165528.0,168862.0,2.0
    9.-Sustracciones de vehiculos,8694.0,8879.0,2.1
    10.-Trafico de drogas,3157.0,3663.0,16.0
    Resto de infracciones penales,264560.0,287365.0,8.6
    TOTAL INFRACCIONES PENALES,503808.0,529757.0,5.2
ANDALUCIA
    1.-Homicidios dolosos y asesinatos consumados,16.0,15.0,-6.3
    2.-Homicidios dolosos y asesinatos en grado tentativa,32.0,31.0,-3.1
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,651.0,725.0,11.4
    4.-Secuestro,7.0,13.0,85.7
    5.-Delitos contra la libertad e indemnidad sexual,493.0,599.0,21.5
    5.1.-Agresion sexual con penetracion,40.0,54.0,35.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,453.0,545.0,20.3
    6.-Robos con violencia e intimidacion,1687.0,1740.0,3.1
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,6330.0,5729.0,-9.5
    7.1.-Robos con fuerza en domicilios,4260.0,3755.0,-11.9
    8.-Hurtos,22540.0,21638.0,-4.0
    9.-Sustracciones de vehiculos,1759.0,1654.0,-6.0
    10.-Trafico de drogas,835.0,965.0,15.6
    Resto de infracciones penales,44894.0,48351.0,7.7
    TOTAL INFRACCIONES PENALES,79244.0,81460.0,2.8
ARAGON
    1.-Homicidios dolosos y asesinatos consumados,0.0,3.0,100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,1.0,1.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,112.0,107.0,-4.5
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,71.0,70.0,-1.4
    5.1.-Agresion sexual con penetracion,7.0,6.0,-14.3
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,64.0,64.0,0.0
    6.-Robos con violencia e intimidacion,192.0,256.0,33.3
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,625.0,598.0,-4.3
    7.1.-Robos con fuerza en domicilios,440.0,394.0,-10.5
    8.-Hurtos,2450.0,2682.0,9.5
    9.-Sustracciones de vehiculos,74.0,59.0,-20.3
    10.-Trafico de drogas,51.0,81.0,58.8
    Resto de infracciones penales,5461.0,6548.0,19.9
    TOTAL INFRACCIONES PENALES,9037.0,10405.0,15.1
ASTURIAS (PRINCIPADO DE)
    1.-Homicidios dolosos y asesinatos consumados,2.0,0.0,-100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,2.0,2.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,81.0,96.0,18.5
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,36.0,39.0,8.3
    5.1.-Agresion sexual con penetracion,5.0,0.0,-100.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,31.0,39.0,25.8
    6.-Robos con violencia e intimidacion,68.0,94.0,38.2
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,434.0,417.0,-3.9
    7.1.-Robos con fuerza en domicilios,225.0,233.0,3.6
    8.-Hurtos,1638.0,1726.0,5.4
    9.-Sustracciones de vehiculos,57.0,38.0,-33.3
    10.-Trafico de drogas,20.0,48.0,140.0
    Resto de infracciones penales,3750.0,4104.0,9.4
    TOTAL INFRACCIONES PENALES,6088.0,6564.0,7.8
BALEARS (ILLES)
    1.-Homicidios dolosos y asesinatos consumados,3.0,1.0,-66.7
    2.-Homicidios dolosos y asesinatos en grado tentativa,7.0,10.0,42.9
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,126.0,159.0,26.2
    4.-Secuestro,1.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,105.0,147.0,40.0
    5.1.-Agresion sexual con penetracion,7.0,10.0,42.9
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,98.0,137.0,39.8
    6.-Robos con violencia e intimidacion,239.0,229.0,-4.2
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1056.0,901.0,-14.7
