,Enero-marzo 2020,Enero-marzo 2021,Variacion % 2021/2020
TOTAL NACIONAL
    1.-Homicidios dolosos y asesinatos consumados,85.0,60.0,-29.4
    2.-Homicidios dolosos y asesinatos en grado tentativa,173.0,190.0,9.8
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,3967.0,3404.0,-14.2
    4.-Secuestro,16.0,19.0,18.8
    5.-Delitos contra la libertad e indemnidad sexual,3223.0,3448.0,7.0
    5.1.-Agresion sexual con penetracion,383.0,426.0,11.2
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,2840.0,3022.0,6.4
    6.-Robos con violencia e intimidacion,13554.0,11073.0,-18.3
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,32530.0,23359.0,-28.2
    7.1.-Robos con fuerza en domicilios,21508.0,16465.0,-23.4
    8.-Hurtos,137635.0,96112.0,-30.2
    9.-Sustracciones de vehiculos,7243.0,5393.0,-25.5
    10.-Trafico de drogas,3813.0,4276.0,12.1
    Resto de infracciones penales,273037.0,283731.0,3.9
    TOTAL INFRACCIONES PENALES,475276.0,431065.0,-9.3
ANDALUCIA
    1.-Homicidios dolosos y asesinatos consumados,18.0,16.0,-11.1
    2.-Homicidios dolosos y asesinatos en grado tentativa,49.0,43.0,-12.2
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,769.0,658.0,-14.4
    4.-Secuestro,6.0,2.0,-66.7
    5.-Delitos contra la libertad e indemnidad sexual,529.0,581.0,9.8
    5.1.-Agresion sexual con penetracion,57.0,56.0,-1.8
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,472.0,525.0,11.2
    6.-Robos con violencia e intimidacion,1579.0,1186.0,-24.9
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,5202.0,3658.0,-29.7
    7.1.-Robos con fuerza en domicilios,3471.0,2486.0,-28.4
    8.-Hurtos,18071.0,13180.0,-27.1
    9.-Sustracciones de vehiculos,1340.0,984.0,-26.6
    10.-Trafico de drogas,1040.0,1126.0,8.3
    Resto de infracciones penales,47519.0,48493.0,2.0
    TOTAL INFRACCIONES PENALES,76122.0,69927.0,-8.1
ARAGON
    1.-Homicidios dolosos y asesinatos consumados,1.0,1.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,6.0,4.0,-33.3
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,91.0,78.0,-14.3
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,83.0,80.0,-3.6
    5.1.-Agresion sexual con penetracion,10.0,7.0,-30.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,73.0,73.0,0.0
    6.-Robos con violencia e intimidacion,213.0,159.0,-25.4
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,498.0,413.0,-17.1
    7.1.-Robos con fuerza en domicilios,320.0,285.0,-10.9
    8.-Hurtos,2108.0,1770.0,-16.0
    9.-Sustracciones de vehiculos,51.0,49.0,-3.9
    10.-Trafico de drogas,61.0,102.0,67.2
    Resto de infracciones penales,5976.0,6550.0,9.6
    TOTAL INFRACCIONES PENALES,9088.0,9206.0,1.3
ASTURIAS (PRINCIPADO DE)
    1.-Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,2.0,2.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,86.0,55.0,-36.0
    4.-Secuestro,1.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,44.0,54.0,22.7
    5.1.-Agresion sexual con penetracion,2.0,6.0,200.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,42.0,48.0,14.3
    6.-Robos con violencia e intimidacion,100.0,57.0,-43.0
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,377.0,229.0,-39.3
    7.1.-Robos con fuerza en domicilios,186.0,162.0,-12.9
    8.-Hurtos,1363.0,888.0,-34.8
