,Enero-marzo 2020,Enero-marzo 2021,Variacion % 2021/2020
    9.-Sustracciones de vehiculos,62.0,63.0,1.6
    10.-Trafico de drogas,35.0,31.0,-11.4
    Resto de infracciones penales,4112.0,4592.0,11.7
    TOTAL INFRACCIONES PENALES,6183.0,5971.0,-3.4
BALEARS (ILLES)
    1.-Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,5.0,6.0,20.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,148.0,89.0,-39.9
    4.-Secuestro,1.0,4.0,300.0
    5.-Delitos contra la libertad e indemnidad sexual,119.0,154.0,29.4
    5.1.-Agresion sexual con penetracion,17.0,19.0,11.8
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,102.0,135.0,32.4
    6.-Robos con violencia e intimidacion,206.0,113.0,-45.1
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,696.0,589.0,-15.4
    7.1.-Robos con fuerza en domicilios,488.0,409.0,-16.2
    8.-Hurtos,3025.0,2224.0,-26.5
    9.-Sustracciones de vehiculos,267.0,196.0,-26.6
    10.-Trafico de drogas,75.0,70.0,-6.7
    Resto de infracciones penales,9713.0,9098.0,-6.3
    TOTAL INFRACCIONES PENALES,14255.0,12544.0,-12.0
CANARIAS
    1.-Homicidios dolosos y asesinatos consumados,5.0,3.0,-40.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,11.0,4.0,-63.6
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,239.0,226.0,-5.4
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,231.0,207.0,-10.4
    5.1.-Agresion sexual con penetracion,27.0,22.0,-18.5
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,204.0,185.0,-9.3
    6.-Robos con violencia e intimidacion,378.0,298.0,-21.2
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1041.0,919.0,-11.7
    7.1.-Robos con fuerza en domicilios,659.0,688.0,4.4
    8.-Hurtos,6688.0,3730.0,-44.2
    9.-Sustracciones de vehiculos,332.0,203.0,-38.9
    10.-Trafico de drogas,147.0,114.0,-22.4
    Resto de infracciones penales,13953.0,13699.0,-1.8
    TOTAL INFRACCIONES PENALES,23025.0,19403.0,-15.7
CANTABRIA
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,2.0,7.0,250.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,70.0,46.0,-34.3
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,18.0,34.0,88.9
    5.1.-Agresion sexual con penetracion,2.0,5.0,150.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,16.0,29.0,81.3
    6.-Robos con violencia e intimidacion,60.0,36.0,-40.0
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,462.0,281.0,-39.2
    7.1.-Robos con fuerza en domicilios,295.0,218.0,-26.1
    8.-Hurtos,911.0,694.0,-23.8
    9.-Sustracciones de vehiculos,24.0,18.0,-25.0
    10.-Trafico de drogas,31.0,27.0,-12.9
    Resto de infracciones penales,2612.0,2974.0,13.9
    TOTAL INFRACCIONES PENALES,4190.0,4117.0,-1.7
CASTILLA Y LEON
    1.-Homicidios dolosos y asesinatos consumados,7.0,3.0,-57.1
    2.-Homicidios dolosos y asesinatos en grado tentativa,6.0,5.0,-16.7
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,150.0,119.0,-20.7
    4.-Secuestro,0.0,1.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,90.0,96.0,6.7
    5.1.-Agresion sexual con penetracion,12.0,8.0,-33.3
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,78.0,88.0,12.8
    6.-Robos con violencia e intimidacion,159.0,136.0,-14.5
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1112.0,720.0,-35.3
    7.1.-Robos con fuerza en domicilios,702.0,440.0,-37.3
    8.-Hurtos,3613.0,2428.0,-32.8
    9.-Sustracciones de vehiculos,117.0,108.0,-7.7
    10.-Trafico de drogas,77.0,117.0,51.9
    Resto de infracciones penales,11332.0,12545.0,10.7
    TOTAL INFRACCIONES PENALES,16663.0,16278.0,-2.3
CASTILLA - LA MANCHA
    1.-Homicidios dolosos y asesinatos consumados,4.0,1.0,-75.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,6.0,3.0,-50.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,132.0,125.0,-5.3
    4.-Secuestro,1.0,1.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,94.0,113.0,20.2
    5.1.-Agresion sexual con penetracion,6.0,13.0,116.7
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,88.0,100.0,13.6
    6.-Robos con violencia e intimidacion,218.0,192.0,-11.9
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1493.0,1043.0,-30.1
    7.1.-Robos con fuerza en domicilios,1035.0,758.0,-26.8
    8.-Hurtos,2936.0,2194.0,-25.3
    9.-Sustracciones de vehiculos,161.0,125.0,-22.4
    10.-Trafico de drogas,86.0,107.0,24.4
    Resto de infracciones penales,10600.0,11152.0,5.2
    TOTAL INFRACCIONES PENALES,15731.0,15056.0,-4.3
CATALUNA
    1.-Homicidios dolosos y asesinatos consumados,13.0,14.0,7.7
    2.-Homicidios dolosos y asesinatos en grado tentativa,20.0,39.0,95.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,482.0,497.0,3.1
    4.-Secuestro,0.0,2.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,576.0,696.0,20.8
    5.1.-Agresion sexual con penetracion,90.0,119.0,32.2
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,486.0,577.0,18.7
    6.-Robos con violencia e intimidacion,5073.0,4233.0,-16.6
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,7342.0,5164.0,-29.7
    7.1.-Robos con fuerza en domicilios,5212.0,3661.0,-29.8
    8.-Hurtos,34910.0,22364.0,-35.9
    9.-Sustracciones de vehiculos,1795.0,1198.0,-33.3
    10.-Trafico de drogas,582.0,903.0,55.2
    Resto de infracciones penales,45315.0,48925.0,8.0
    TOTAL INFRACCIONES PENALES,96108.0,84035.0,-12.6
COMUNITAT VALENCIANA
    1.-Homicidios dolosos y asesinatos consumados,10.0,4.0,-60.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,20.0,23.0,15.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,458.0,376.0,-17.9
    4.-Secuestro,4.0,1.0,-75.0
    5.-Delitos contra la libertad e indemnidad sexual,361.0,431.0,19.4
    5.1.-Agresion sexual con penetracion,40.0,41.0,2.5
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,321.0,390.0,21.5
    6.-Robos con violencia e intimidacion,1018.0,818.0,-19.6
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,4563.0,3614.0,-20.8
    7.1.-Robos con fuerza en domicilios,3374.0,2934.0,-13.0
    8.-Hurtos,12676.0,10110.0,-20.2
    9.-Sustracciones de vehiculos,619.0,532.0,-14.1
    10.-Trafico de drogas,456.0,427.0,-6.4
    Resto de infracciones penales,28962.0,30166.0,4.2
    TOTAL INFRACCIONES PENALES,49147.0,46502.0,-5.4
EXTREMADURA
    1.-Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,3.0,100.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,54.0,51.0,-5.6
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,52.0,40.0,-23.1
    5.1.-Agresion sexual con penetracion,3.0,9.0,200.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,49.0,31.0,-36.7
    6.-Robos con violencia e intimidacion,56.0,38.0,-32.1
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,506.0,306.0,-39.5
    7.1.-Robos con fuerza en domicilios,325.0,200.0,-38.5
    8.-Hurtos,1390.0,863.0,-37.9
    9.-Sustracciones de vehiculos,50.0,26.0,-48.0
    10.-Trafico de drogas,63.0,69.0,9.5
    Resto de infracciones penales,4321.0,4693.0,8.6
    TOTAL INFRACCIONES PENALES,6493.0,6089.0,-6.2
GALICIA
    1.-Homicidios dolosos y asesinatos consumados,4.0,5.0,25.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,8.0,7.0,-12.5
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,194.0,141.0,-27.3
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,134.0,133.0,-0.7
    5.1.-Agresion sexual con penetracion,12.0,16.0,33.3
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,122.0,117.0,-4.1
    6.-Robos con violencia e intimidacion,205.0,194.0,-5.4
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1319.0,633.0,-52.0
    7.1.-Robos con fuerza en domicilios,743.0,449.0,-39.6
    8.-Hurtos,3717.0,2668.0,-28.2
    9.-Sustracciones de vehiculos,126.0,79.0,-37.3
    10.-Trafico de drogas,113.0,110.0,-2.7
    Resto de infracciones penales,11886.0,14576.0,22.6
    TOTAL INFRACCIONES PENALES,17706.0,18546.0,4.7
MADRID (COMUNIDAD DE)
    1.-Homicidios dolosos y asesinatos consumados,12.0,6.0,-50.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,19.0,20.0,5.3
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,571.0,546.0,-4.4
    4.-Secuestro,2.0,5.0,150.0
    5.-Delitos contra la libertad e indemnidad sexual,499.0,460.0,-7.8
    5.1.-Agresion sexual con penetracion,58.0,47.0,-19.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,441.0,413.0,-6.3
    6.-Robos con violencia e intimidacion,3371.0,2908.0,-13.7
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,4188.0,2923.0,-30.2
    7.1.-Robos con fuerza en domicilios,2152.0,1703.0,-20.9
    8.-Hurtos,34364.0,24449.0,-28.9
    9.-Sustracciones de vehiculos,1781.0,1446.0,-18.8
    10.-Trafico de drogas,626.0,604.0,-3.5
    Resto de infracciones penales,45986.0,46101.0,0.3
    TOTAL INFRACCIONES PENALES,91419.0,79468.0,-13.1
MURCIA (REGION DE)
    1.-Homicidios dolosos y asesinatos consumados,1.0,2.0,100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,7.0,7.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,129.0,140.0,8.5
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,124.0,140.0,12.9
    5.1.-Agresion sexual con penetracion,21.0,16.0,-23.8
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,103.0,124.0,20.4
    6.-Robos con violencia e intimidacion,348.0,280.0,-19.5
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1416.0,1098.0,-22.5
    7.1.-Robos con fuerza en domicilios,1148.0,878.0,-23.5
    8.-Hurtos,2908.0,2358.0,-18.9
    9.-Sustracciones de vehiculos,223.0,127.0,-43.0
    10.-Trafico de drogas,93.0,109.0,17.2
    Resto de infracciones penales,8084.0,8699.0,7.6
    TOTAL INFRACCIONES PENALES,13333.0,12960.0,-2.8
NAVARRA (COMUNIDAD FORAL DE)
    1.-Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,3.0,5.0,66.7
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,52.0,52.0,0.0
    4.-Secuestro,0.0,1.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,62.0,39.0,-37.1
    5.1.-Agresion sexual con penetracion,5.0,10.0,100.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,57.0,29.0,-49.1
    6.-Robos con violencia e intimidacion,74.0,58.0,-21.6
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,386.0,285.0,-26.2
    7.1.-Robos con fuerza en domicilios,202.0,198.0,-2.0
    8.-Hurtos,1400.0,1091.0,-22.1
    9.-Sustracciones de vehiculos,39.0,34.0,-12.8
    10.-Trafico de drogas,40.0,36.0,-10.0
    Resto de infracciones penales,4300.0,4437.0,3.2
    TOTAL INFRACCIONES PENALES,6357.0,6038.0,-5.0
PAIS VASCO
    1.-Homicidios dolosos y asesinatos consumados,5.0,4.0,-20.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,6.0,7.0,16.7
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,250.0,149.0,-40.4
    4.-Secuestro,1.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,158.0,136.0,-13.9
    5.1.-Agresion sexual con penetracion,16.0,26.0,62.5
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,142.0,110.0,-22.5
    6.-Robos con violencia e intimidacion,307.0,248.0,-19.2
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1739.0,1358.0,-21.9
    7.1.-Robos con fuerza en domicilios,1054.0,901.0,-14.5
    8.-Hurtos,6101.0,4471.0,-26.7
    9.-Sustracciones de vehiculos,176.0,138.0,-21.6
    10.-Trafico de drogas,118.0,143.0,21.2
    Resto de infracciones penales,12844.0,12823.0,-0.2
    TOTAL INFRACCIONES PENALES,21705.0,19477.0,-10.3
RIOJA (LA)
    1.-Homicidios dolosos y asesinatos consumados,2.0,0.0,-100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,2.0,1.0,-50.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,41.0,19.0,-53.7
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,29.0,21.0,-27.6
    5.1.-Agresion sexual con penetracion,4.0,1.0,-75.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,25.0,20.0,-20.0
    6.-Robos con violencia e intimidacion,16.0,21.0,31.3
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,136.0,91.0,-33.1
    7.1.-Robos con fuerza en domicilios,103.0,74.0,-28.2
    8.-Hurtos,446.0,320.0,-28.3
    9.-Sustracciones de vehiculos,6.0,17.0,183.3
    10.-Trafico de drogas,13.0,15.0,15.4
    Resto de infracciones penales,1162.0,1393.0,19.9
    TOTAL INFRACCIONES PENALES,1853.0,1898.0,2.4
CIUDAD AUTONOMA DE CEUTA
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,3.0,100.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,21.0,11.0,-47.6
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,7.0,11.0,57.1
    5.1.-Agresion sexual con penetracion,0.0,0.0,0.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,7.0,11.0,57.1
    6.-Robos con violencia e intimidacion,22.0,37.0,68.2
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,24.0,18.0,-25.0
    7.1.-Robos con fuerza en domicilios,16.0,9.0,-43.8
    8.-Hurtos,188.0,70.0,-62.8
    9.-Sustracciones de vehiculos,36.0,29.0,-19.4
    10.-Trafico de drogas,115.0,44.0,-61.7
    Resto de infracciones penales,723.0,623.0,-13.8
    TOTAL INFRACCIONES PENALES,1136.0,846.0,-25.5
CIUDAD AUTONOMA DE MELILLA
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,1.0,1.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,30.0,26.0,-13.3
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,5.0,5.0,0.0
    5.1.-Agresion sexual con penetracion,0.0,0.0,0.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,5.0,5.0,0.0
    6.-Robos con violencia e intimidacion,109.0,55.0,-49.5
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,22.0,15.0,-31.8
    7.1.-Robos con fuerza en domicilios,17.0,10.0,-41.2
    8.-Hurtos,246.0,173.0,-29.7
    9.-Sustracciones de vehiculos,15.0,8.0,-46.7
    10.-Trafico de drogas,39.0,118.0,202.6
    Resto de infracciones penales,813.0,691.0,-15.0
    TOTAL INFRACCIONES PENALES,1280.0,1092.0,-14.7
EN EL EXTRANJERO
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,0.0,0.0,0.0
    4.-Secuestro,0.0,2.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,8.0,17.0,112.5
    5.1.-Agresion sexual con penetracion,1.0,5.0,400.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,7.0,12.0,71.4
    6.-Robos con violencia e intimidacion,42.0,6.0,-85.7
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,8.0,2.0,-75.0
    7.1.-Robos con fuerza en domicilios,6.0,2.0,-66.7
    8.-Hurtos,574.0,67.0,-88.3
    9.-Sustracciones de vehiculos,23.0,13.0,-43.5
    10.-Trafico de drogas,3.0,4.0,33.3
    Resto de infracciones penales,2824.0,1501.0,-46.8
    TOTAL INFRACCIONES PENALES,3482.0,1612.0,-53.7
