,Enero-junio 2019,Enero-junio 2020,Variacion % 2020/2019
    2.-Homicidios dolosos y asesinatos en grado tentativa,1.0,0.0,-100.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,3.0,2.0,-33.3
    4.-Secuestro,1.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,34.0,25.0,-26.5
    5.1.-Agresion sexual con penetracion,6.0,6.0,0.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,28.0,19.0,-32.1
    6.-Robos con violencia e intimidacion,122.0,52.0,-57.4
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,12.0,8.0,-33.3
    7.1.-Robos con fuerza en domicilios,10.0,6.0,-40.0
    8.-Hurtos,1431.0,630.0,-56.0
    9.-Sustracciones de vehiculos,52.0,37.0,-28.8
    10.-Trafico de drogas,3.0,6.0,100.0
    Resto de infracciones penales,5709.0,4214.0,-26.2
    TOTAL INFRACCIONES PENALES,7369.0,4974.0,-32.5
