,Enero-junio 2019,Enero-junio 2020,Variacion % 2020/2019
TOTAL NACIONAL
    1.-Homicidios dolosos y asesinatos consumados,147.0,143.0,-2.7
    2.-Homicidios dolosos y asesinatos en grado tentativa,403.0,411.0,2.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,9176.0,7258.0,-20.9
    4.-Secuestro,50.0,36.0,-28.0
    5.-Delitos contra la libertad e indemnidad sexual,7247.0,6139.0,-15.3
    5.1.-Agresion sexual con penetracion,825.0,783.0,-5.1
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,6422.0,5356.0,-16.6
    6.-Robos con violencia e intimidacion,31026.0,21276.0,-31.4
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,69991.0,48200.0,-31.1
    7.1.-Robos con fuerza en domicilios,47336.0,32251.0,-31.9
    8.-Hurtos,343556.0,190059.0,-44.7
    9.-Sustracciones de vehiculos,17425.0,11550.0,-33.7
    10.-Trafico de drogas,7998.0,8071.0,0.9
    Resto de infracciones penales,582086.0,510446.0,-12.3
    TOTAL INFRACCIONES PENALES,1069105.0,803609.0,-24.8
ANDALUCIA
    1.-Homicidios dolosos y asesinatos consumados,34.0,29.0,-14.7
    2.-Homicidios dolosos y asesinatos en grado tentativa,71.0,116.0,63.4
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,1499.0,1355.0,-9.6
    4.-Secuestro,24.0,12.0,-50.0
    5.-Delitos contra la libertad e indemnidad sexual,1214.0,1009.0,-16.9
    5.1.-Agresion sexual con penetracion,111.0,101.0,-9.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1103.0,908.0,-17.7
    6.-Robos con violencia e intimidacion,3528.0,2377.0,-32.6
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,11037.0,8286.0,-24.9
    7.1.-Robos con fuerza en domicilios,7333.0,5728.0,-21.9
    8.-Hurtos,44712.0,26014.0,-41.8
    9.-Sustracciones de vehiculos,3324.0,2144.0,-35.5
    10.-Trafico de drogas,2088.0,2142.0,2.6
    Resto de infracciones penales,97789.0,88785.0,-9.2
    TOTAL INFRACCIONES PENALES,165320.0,132269.0,-20.0
ARAGON
    1.-Homicidios dolosos y asesinatos consumados,4.0,1.0,-75.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,4.0,17.0,325.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,233.0,180.0,-22.7
    4.-Secuestro,1.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,143.0,145.0,1.4
    5.1.-Agresion sexual con penetracion,14.0,19.0,35.7
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,129.0,126.0,-2.3
    6.-Robos con violencia e intimidacion,510.0,322.0,-36.9
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1232.0,804.0,-34.7
    7.1.-Robos con fuerza en domicilios,808.0,524.0,-35.1
    8.-Hurtos,5232.0,3069.0,-41.3
    9.-Sustracciones de vehiculos,98.0,98.0,0.0
    10.-Trafico de drogas,177.0,139.0,-21.5
    Resto de infracciones penales,13267.0,11815.0,-10.9
    TOTAL INFRACCIONES PENALES,20901.0,16590.0,-20.6
ASTURIAS (PRINCIPADO DE)
    1.-Homicidios dolosos y asesinatos consumados,1.0,2.0,100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,6.0,4.0,-33.3
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,192.0,133.0,-30.7
    4.-Secuestro,0.0,1.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,79.0,88.0,11.4
    5.1.-Agresion sexual con penetracion,2.0,2.0,0.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,77.0,86.0,11.7
    6.-Robos con violencia e intimidacion,177.0,155.0,-12.4
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,751.0,528.0,-29.7
    7.1.-Robos con fuerza en domicilios,428.0,285.0,-33.4
    8.-Hurtos,3422.0,1923.0,-43.8
    9.-Sustracciones de vehiculos,87.0,109.0,25.3
    10.-Trafico de drogas,104.0,86.0,-17.3
    Resto de infracciones penales,8411.0,7831.0,-6.9
    TOTAL INFRACCIONES PENALES,13230.0,10860.0,-17.9
BALEARS (ILLES)
    1.-Homicidios dolosos y asesinatos consumados,2.0,3.0,50.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,22.0,15.0,-31.8
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,349.0,279.0,-20.1
    4.-Secuestro,3.0,1.0,-66.7
    5.-Delitos contra la libertad e indemnidad sexual,349.0,240.0,-31.2
    5.1.-Agresion sexual con penetracion,35.0,28.0,-20.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,314.0,212.0,-32.5
    6.-Robos con violencia e intimidacion,598.0,321.0,-46.3
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1769.0,1130.0,-36.1
    7.1.-Robos con fuerza en domicilios,1308.0,802.0,-38.7
    8.-Hurtos,11286.0,4543.0,-59.7
    9.-Sustracciones de vehiculos,573.0,419.0,-26.9
    10.-Trafico de drogas,236.0,184.0,-22.0
    Resto de infracciones penales,19890.0,18886.0,-5.0
    TOTAL INFRACCIONES PENALES,35077.0,26021.0,-25.8
CANARIAS
    1.-Homicidios dolosos y asesinatos consumados,10.0,6.0,-40.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,18.0,18.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,561.0,427.0,-23.9
    4.-Secuestro,0.0,2.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,456.0,402.0,-11.8
    5.1.-Agresion sexual con penetracion,33.0,56.0,69.7
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,423.0,346.0,-18.2
    6.-Robos con violencia e intimidacion,705.0,502.0,-28.8
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,2073.0,1683.0,-18.8
    7.1.-Robos con fuerza en domicilios,1371.0,1086.0,-20.8
    8.-Hurtos,13043.0,8641.0,-33.7
    9.-Sustracciones de vehiculos,611.0,498.0,-18.5
    10.-Trafico de drogas,336.0,322.0,-4.2
    Resto de infracciones penales,29123.0,26787.0,-8.0
    TOTAL INFRACCIONES PENALES,46936.0,39288.0,-16.3
CANTABRIA
    1.-Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,3.0,3.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,130.0,110.0,-15.4
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,46.0,33.0,-28.3
    5.1.-Agresion sexual con penetracion,2.0,4.0,100.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,44.0,29.0,-34.1
    6.-Robos con violencia e intimidacion,91.0,81.0,-11.0
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,809.0,621.0,-23.2
    7.1.-Robos con fuerza en domicilios,505.0,377.0,-25.3
    8.-Hurtos,2283.0,1343.0,-41.2
    9.-Sustracciones de vehiculos,53.0,46.0,-13.2
    10.-Trafico de drogas,48.0,61.0,27.1
    Resto de infracciones penales,5149.0,5020.0,-2.5
    TOTAL INFRACCIONES PENALES,8613.0,7318.0,-15.0
CASTILLA Y LEON
    1.-Homicidios dolosos y asesinatos consumados,3.0,12.0,300.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,13.0,13.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,361.0,246.0,-31.9
    4.-Secuestro,2.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,243.0,177.0,-27.2
    5.1.-Agresion sexual con penetracion,21.0,20.0,-4.8
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,222.0,157.0,-29.3
    6.-Robos con violencia e intimidacion,316.0,219.0,-30.7
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,2408.0,1636.0,-32.1
    7.1.-Robos con fuerza en domicilios,1506.0,1061.0,-29.5
    8.-Hurtos,9151.0,5062.0,-44.7
    9.-Sustracciones de vehiculos,268.0,188.0,-29.9
    10.-Trafico de drogas,195.0,176.0,-9.7
    Resto de infracciones penales,23551.0,20667.0,-12.2
    TOTAL INFRACCIONES PENALES,36511.0,28396.0,-22.2
CASTILLA - LA MANCHA
    1.-Homicidios dolosos y asesinatos consumados,6.0,7.0,16.7
    2.-Homicidios dolosos y asesinatos en grado tentativa,14.0,12.0,-14.3
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,292.0,246.0,-15.8
    4.-Secuestro,0.0,2.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,247.0,183.0,-25.9
    5.1.-Agresion sexual con penetracion,21.0,12.0,-42.9
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,226.0,171.0,-24.3
    6.-Robos con violencia e intimidacion,511.0,304.0,-40.5
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,3259.0,2292.0,-29.7
    7.1.-Robos con fuerza en domicilios,2341.0,1662.0,-29.0
    8.-Hurtos,6719.0,4166.0,-38.0
    9.-Sustracciones de vehiculos,323.0,239.0,-26.0
    10.-Trafico de drogas,204.0,222.0,8.8
    Resto de infracciones penales,22618.0,19646.0,-13.1
    TOTAL INFRACCIONES PENALES,34193.0,27319.0,-20.1
CATALUNA
    1.-Homicidios dolosos y asesinatos consumados,20.0,26.0,30.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,89.0,74.0,-16.9
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,1582.0,1083.0,-31.5
    4.-Secuestro,5.0,4.0,-20.0
    5.-Delitos contra la libertad e indemnidad sexual,1427.0,1203.0,-15.7
    5.1.-Agresion sexual con penetracion,249.0,244.0,-2.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1178.0,959.0,-18.6
    6.-Robos con violencia e intimidacion,12367.0,9026.0,-27.0
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,16097.0,10343.0,-35.7
    7.1.-Robos con fuerza en domicilios,10861.0,7051.0,-35.1
    8.-Hurtos,95028.0,49113.0,-48.3
    9.-Sustracciones de vehiculos,4860.0,2827.0,-41.8
    10.-Trafico de drogas,1298.0,1489.0,14.7
    Resto de infracciones penales,104095.0,88274.0,-15.2
    TOTAL INFRACCIONES PENALES,236868.0,163462.0,-31.0
COMUNITAT VALENCIANA
    1.-Homicidios dolosos y asesinatos consumados,18.0,15.0,-16.7
    2.-Homicidios dolosos y asesinatos en grado tentativa,49.0,43.0,-12.2
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,968.0,778.0,-19.6
    4.-Secuestro,0.0,9.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,832.0,660.0,-20.7
    5.1.-Agresion sexual con penetracion,86.0,77.0,-10.5
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,746.0,583.0,-21.8
    6.-Robos con violencia e intimidacion,2336.0,1504.0,-35.6
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,10000.0,6752.0,-32.5
    7.1.-Robos con fuerza en domicilios,7756.0,5055.0,-34.8
    8.-Hurtos,32378.0,17619.0,-45.6
    9.-Sustracciones de vehiculos,1564.0,1018.0,-34.9
    10.-Trafico de drogas,922.0,952.0,3.3
    Resto de infracciones penales,62743.0,54436.0,-13.2
    TOTAL INFRACCIONES PENALES,111810.0,83786.0,-25.1
EXTREMADURA
    1.-Homicidios dolosos y asesinatos consumados,3.0,3.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,2.0,3.0,50.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,143.0,104.0,-27.3
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,99.0,85.0,-14.1
    5.1.-Agresion sexual con penetracion,7.0,6.0,-14.3
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,92.0,79.0,-14.1
    6.-Robos con violencia e intimidacion,157.0,103.0,-34.4
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,770.0,747.0,-3.0
    7.1.-Robos con fuerza en domicilios,460.0,519.0,12.8
    8.-Hurtos,3239.0,2003.0,-38.2
    9.-Sustracciones de vehiculos,80.0,76.0,-5.0
    10.-Trafico de drogas,150.0,128.0,-14.7
    Resto de infracciones penales,8632.0,8142.0,-5.7
    TOTAL INFRACCIONES PENALES,13275.0,11394.0,-14.2
GALICIA
    1.-Homicidios dolosos y asesinatos consumados,8.0,5.0,-37.5
    2.-Homicidios dolosos y asesinatos en grado tentativa,12.0,13.0,8.3
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,456.0,357.0,-21.7
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,313.0,252.0,-19.5
    5.1.-Agresion sexual con penetracion,40.0,27.0,-32.5
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,273.0,225.0,-17.6
    6.-Robos con violencia e intimidacion,448.0,345.0,-23.0
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,2354.0,2036.0,-13.5
    7.1.-Robos con fuerza en domicilios,1390.0,1185.0,-14.7
    8.-Hurtos,9118.0,5530.0,-39.4
    9.-Sustracciones de vehiculos,289.0,213.0,-26.3
    10.-Trafico de drogas,242.0,243.0,0.4
    Resto de infracciones penales,25657.0,23061.0,-10.1
    TOTAL INFRACCIONES PENALES,38897.0,32055.0,-17.6
MADRID (COMUNIDAD DE)
    1.-Homicidios dolosos y asesinatos consumados,17.0,18.0,5.9
    2.-Homicidios dolosos y asesinatos en grado tentativa,42.0,39.0,-7.1
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,1169.0,1031.0,-11.8
    4.-Secuestro,8.0,3.0,-62.5
    5.-Delitos contra la libertad e indemnidad sexual,1063.0,917.0,-13.7
    5.1.-Agresion sexual con penetracion,118.0,101.0,-14.4
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,945.0,816.0,-13.7
    6.-Robos con violencia e intimidacion,7262.0,4719.0,-35.0
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,8992.0,5764.0,-35.9
    7.1.-Robos con fuerza en domicilios,5441.0,3033.0,-44.3
    8.-Hurtos,78900.0,44614.0,-43.5
    9.-Sustracciones de vehiculos,4076.0,2819.0,-30.8
    10.-Trafico de drogas,1298.0,1159.0,-10.7
    Resto de infracciones penales,100896.0,81624.0,-19.1
    TOTAL INFRACCIONES PENALES,203723.0,142707.0,-30.0
MURCIA (REGION DE)
    1.-Homicidios dolosos y asesinatos consumados,7.0,2.0,-71.4
    2.-Homicidios dolosos y asesinatos en grado tentativa,14.0,15.0,7.1
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,346.0,265.0,-23.4
    4.-Secuestro,2.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,263.0,238.0,-9.5
    5.1.-Agresion sexual con penetracion,16.0,36.0,125.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,247.0,202.0,-18.2
    6.-Robos con violencia e intimidacion,719.0,524.0,-27.1
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,3149.0,2267.0,-28.0
    7.1.-Robos con fuerza en domicilios,2508.0,1801.0,-28.2
    8.-Hurtos,7475.0,4289.0,-42.6
    9.-Sustracciones de vehiculos,448.0,360.0,-19.6
    10.-Trafico de drogas,175.0,215.0,22.9
    Resto de infracciones penales,15693.0,15033.0,-4.2
    TOTAL INFRACCIONES PENALES,28291.0,23208.0,-18.0
NAVARRA (COMUNIDAD FORAL DE)
    1.-Homicidios dolosos y asesinatos consumados,3.0,1.0,-66.7
    2.-Homicidios dolosos y asesinatos en grado tentativa,4.0,11.0,175.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,198.0,88.0,-55.6
    4.-Secuestro,0.0,1.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,118.0,114.0,-3.4
    5.1.-Agresion sexual con penetracion,14.0,6.0,-57.1
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,104.0,108.0,3.8
    6.-Robos con violencia e intimidacion,113.0,90.0,-20.4
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,807.0,549.0,-32.0
    7.1.-Robos con fuerza en domicilios,497.0,297.0,-40.2
    8.-Hurtos,3385.0,1913.0,-43.5
    9.-Sustracciones de vehiculos,86.0,62.0,-27.9
    10.-Trafico de drogas,82.0,74.0,-9.8
    Resto de infracciones penales,8397.0,7749.0,-7.7
    TOTAL INFRACCIONES PENALES,13193.0,10652.0,-19.3
PAIS VASCO
    1.-Homicidios dolosos y asesinatos consumados,7.0,10.0,42.9
    2.-Homicidios dolosos y asesinatos en grado tentativa,18.0,10.0,-44.4
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,553.0,406.0,-26.6
    4.-Secuestro,4.0,1.0,-75.0
    5.-Delitos contra la libertad e indemnidad sexual,260.0,273.0,5.0
    5.1.-Agresion sexual con penetracion,44.0,31.0,-29.5
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,216.0,242.0,12.0
    6.-Robos con violencia e intimidacion,784.0,414.0,-47.2
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,4082.0,2465.0,-39.6
    7.1.-Robos con fuerza en domicilios,2516.0,1562.0,-37.9
    8.-Hurtos,14643.0,8364.0,-42.9
    9.-Sustracciones de vehiculos,488.0,317.0,-35.0
    10.-Trafico de drogas,217.0,248.0,14.3
    Resto de infracciones penales,24679.0,23277.0,-5.7
    TOTAL INFRACCIONES PENALES,45735.0,35785.0,-21.8
RIOJA (LA)
    1.-Homicidios dolosos y asesinatos consumados,0.0,3.0,100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,3.0,2.0,-33.3
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,66.0,67.0,1.5
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,37.0,53.0,43.2
    5.1.-Agresion sexual con penetracion,3.0,5.0,66.7
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,34.0,48.0,41.2
    6.-Robos con violencia e intimidacion,44.0,23.0,-47.7
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,297.0,214.0,-27.9
    7.1.-Robos con fuerza en domicilios,234.0,164.0,-29.9
    8.-Hurtos,1100.0,649.0,-41.0
    9.-Sustracciones de vehiculos,26.0,9.0,-65.4
    10.-Trafico de drogas,55.0,34.0,-38.2
    Resto de infracciones penales,2661.0,2573.0,-3.3
    TOTAL INFRACCIONES PENALES,4289.0,3627.0,-15.4
CIUDAD AUTONOMA DE CEUTA
    1.-Homicidios dolosos y asesinatos consumados,2.0,0.0,-100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,15.0,2.0,-86.7
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,14.0,40.0,185.7
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,8.0,25.0,212.5
    5.1.-Agresion sexual con penetracion,1.0,1.0,0.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,7.0,24.0,242.9
    6.-Robos con violencia e intimidacion,72.0,40.0,-44.4
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,28.0,39.0,39.3
    7.1.-Robos con fuerza en domicilios,18.0,26.0,44.4
    8.-Hurtos,407.0,232.0,-43.0
    9.-Sustracciones de vehiculos,80.0,49.0,-38.8
    10.-Trafico de drogas,126.0,133.0,5.6
    Resto de infracciones penales,1415.0,1283.0,-9.3
    TOTAL INFRACCIONES PENALES,2167.0,1843.0,-15.0
CIUDAD AUTONOMA DE MELILLA
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,3.0,1.0,-66.7
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,61.0,61.0,0.0
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,16.0,17.0,6.3
    5.1.-Agresion sexual con penetracion,2.0,1.0,-50.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,14.0,16.0,14.3
    6.-Robos con violencia e intimidacion,166.0,155.0,-6.6
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,65.0,36.0,-44.6
    7.1.-Robos con fuerza en domicilios,45.0,27.0,-40.0
    8.-Hurtos,604.0,342.0,-43.4
    9.-Sustracciones de vehiculos,39.0,22.0,-43.6
    10.-Trafico de drogas,42.0,58.0,38.1
    Resto de infracciones penales,1711.0,1363.0,-20.3
    TOTAL INFRACCIONES PENALES,2707.0,2055.0,-24.1
EN EL EXTRANJERO
    1.-Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0
