,Enero-marzo 2016,Enero-marzo 2017,Variacion % 2017/2016
TOTAL NACIONAL
    1.-Homicidios dolosos y asesinatos consumados,73.0,78.0,6.8
    2.-Homicidios dolosos y asesinatos en grado tentativa,159.0,217.0,36.5
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,3934.0,3955.0,0.5
    4.-Secuestro,29.0,15.0,-48.3
    5.-Delitos contra la libertad e indemnidad sexual,2469.0,2667.0,8.0
    5.1.-Agresion sexual con penetracion,254.0,287.0,13.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,2215.0,2380.0,7.4
    6.-Robos con violencia e intimidacion,15482.0,15622.0,0.9
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,44119.0,39651.0,-10.1
    7.1.-Robos con fuerza en domicilios,31329.0,27393.0,-12.6
    8.-Hurtos,169575.0,168642.0,-0.6
    9.-Sustracciones de vehiculos,10125.0,10963.0,8.3
    10.-Trafico de drogas,2707.0,3011.0,11.2
    TOTAL INFRACCIONES PENALES,488109.0,496307.0,1.7
ANDALUCIA
    1.-Homicidios dolosos y asesinatos consumados,16.0,12.0,-25.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,45.0,59.0,31.1
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,644.0,681.0,5.7
    4.-Secuestro,3.0,1.0,-66.7
    5.-Delitos contra la libertad e indemnidad sexual,416.0,516.0,24.0
    5.1.-Agresion sexual con penetracion,36.0,33.0,-8.3
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,380.0,483.0,27.1
    6.-Robos con violencia e intimidacion,1835.0,1952.0,6.4
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,7075.0,6918.0,-2.2
    7.1.-Robos con fuerza en domicilios,4873.0,4717.0,-3.2
    8.-Hurtos,26458.0,25203.0,-4.7
    9.-Sustracciones de vehiculos,2076.0,2278.0,9.7
    10.-Trafico de drogas,683.0,833.0,22.0
    TOTAL INFRACCIONES PENALES,80542.0,83227.0,3.3
ARAGON
    1.-Homicidios dolosos y asesinatos consumados,3.0,1.0,-66.7
    2.-Homicidios dolosos y asesinatos en grado tentativa,3.0,1.0,-66.7
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,103.0,91.0,-11.7
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,60.0,56.0,-6.7
    5.1.-Agresion sexual con penetracion,5.0,2.0,-60.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,55.0,54.0,-1.8
    6.-Robos con violencia e intimidacion,242.0,222.0,-8.3
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,664.0,682.0,2.7
    7.1.-Robos con fuerza en domicilios,459.0,514.0,12.0
    8.-Hurtos,2950.0,2965.0,0.5
    9.-Sustracciones de vehiculos,78.0,100.0,28.2
    10.-Trafico de drogas,48.0,63.0,31.3
    TOTAL INFRACCIONES PENALES,9414.0,9493.0,0.8
ASTURIAS (PRINCIPADO DE)
    1.-Homicidios dolosos y asesinatos consumados,3.0,0.0,-100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,2.0,4.0,100.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,87.0,97.0,11.5
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,37.0,39.0,5.4
    5.1.-Agresion sexual con penetracion,4.0,5.0,25.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,33.0,34.0,3.0
    6.-Robos con violencia e intimidacion,151.0,110.0,-27.2
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,556.0,453.0,-18.5
    7.1.-Robos con fuerza en domicilios,325.0,286.0,-12.0
    8.-Hurtos,1822.0,1774.0,-2.6
    9.-Sustracciones de vehiculos,84.0,113.0,34.5
    10.-Trafico de drogas,14.0,28.0,100.0
    TOTAL INFRACCIONES PENALES,6276.0,6384.0,1.7
BALEARS (ILLES)
    1.-Homicidios dolosos y asesinatos consumados,2.0,1.0,-50.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,3.0,7.0,133.3
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,125.0,108.0,-13.6
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,93.0,86.0,-7.5
    5.1.-Agresion sexual con penetracion,8.0,8.0,0.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,85.0,78.0,-8.2
    6.-Robos con violencia e intimidacion,151.0,236.0,56.3
