,Enero-marzo 2016,Enero-marzo 2017,Variacion % 2017/2016
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,974.0,811.0,-16.7
    7.1.-Robos con fuerza en domicilios,650.0,539.0,-17.1
    8.-Hurtos,3571.0,3620.0,1.4
    9.-Sustracciones de vehiculos,332.0,302.0,-9.0
    10.-Trafico de drogas,64.0,39.0,-39.1
    TOTAL INFRACCIONES PENALES,11488.0,12175.0,6.0
CANARIAS
    1.-Homicidios dolosos y asesinatos consumados,3.0,4.0,33.3
    2.-Homicidios dolosos y asesinatos en grado tentativa,7.0,10.0,42.9
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,259.0,293.0,13.1
    4.-Secuestro,0.0,1.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,97.0,140.0,44.3
    5.1.-Agresion sexual con penetracion,10.0,12.0,20.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,87.0,128.0,47.1
    6.-Robos con violencia e intimidacion,410.0,407.0,-0.7
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1447.0,1461.0,1.0
    7.1.-Robos con fuerza en domicilios,905.0,872.0,-3.6
    8.-Hurtos,8975.0,9331.0,4.0
    9.-Sustracciones de vehiculos,424.0,465.0,9.7
    10.-Trafico de drogas,138.0,163.0,18.1
    TOTAL INFRACCIONES PENALES,22878.0,24829.0,8.5
CANTABRIA
    1.-Homicidios dolosos y asesinatos consumados,0.0,2.0,100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,2.0,1.0,-50.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,49.0,54.0,10.2
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,19.0,19.0,0.0
    5.1.-Agresion sexual con penetracion,2.0,1.0,-50.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,17.0,18.0,5.9
    6.-Robos con violencia e intimidacion,47.0,43.0,-8.5
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,482.0,398.0,-17.4
    7.1.-Robos con fuerza en domicilios,280.0,214.0,-23.6
    8.-Hurtos,1147.0,1078.0,-6.0
    9.-Sustracciones de vehiculos,49.0,59.0,20.4
    10.-Trafico de drogas,15.0,13.0,-13.3
    TOTAL INFRACCIONES PENALES,4074.0,4115.0,1.0
CASTILLA Y LEON
    1.-Homicidios dolosos y asesinatos consumados,0.0,3.0,100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,4.0,4.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,145.0,137.0,-5.5
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,58.0,88.0,51.7
    5.1.-Agresion sexual con penetracion,3.0,6.0,100.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,55.0,82.0,49.1
    6.-Robos con violencia e intimidacion,220.0,195.0,-11.4
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1648.0,1478.0,-10.3
    7.1.-Robos con fuerza en domicilios,1043.0,811.0,-22.2
    8.-Hurtos,5677.0,5018.0,-11.6
    9.-Sustracciones de vehiculos,215.0,208.0,-3.3
    10.-Trafico de drogas,64.0,57.0,-10.9
    TOTAL INFRACCIONES PENALES,17870.0,17676.0,-1.1
CASTILLA - LA MANCHA
    1.-Homicidios dolosos y asesinatos consumados,6.0,8.0,33.3
    2.-Homicidios dolosos y asesinatos en grado tentativa,3.0,7.0,133.3
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,130.0,120.0,-7.7
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,91.0,76.0,-16.5
    5.1.-Agresion sexual con penetracion,6.0,9.0,50.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,85.0,67.0,-21.2
    6.-Robos con violencia e intimidacion,262.0,243.0,-7.3
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,2540.0,2293.0,-9.7
    7.1.-Robos con fuerza en domicilios,1926.0,1597.0,-17.1
    8.-Hurtos,3849.0,3696.0,-4.0
    9.-Sustracciones de vehiculos,365.0,388.0,6.3
    10.-Trafico de drogas,62.0,75.0,21.0
    TOTAL INFRACCIONES PENALES,16069.0,16107.0,0.2
CATALUNA
    1.-Homicidios dolosos y asesinatos consumados,11.0,8.0,-27.3
    2.-Homicidios dolosos y asesinatos en grado tentativa,33.0,41.0,24.2
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,677.0,652.0,-3.7
    4.-Secuestro,0.0,2.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,561.0,521.0,-7.1
    5.1.-Agresion sexual con penetracion,76.0,81.0,6.6
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,485.0,440.0,-9.3
    6.-Robos con violencia e intimidacion,4911.0,5142.0,4.7
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,8434.0,7827.0,-7.2
    7.1.-Robos con fuerza en domicilios,6415.0,5936.0,-7.5
    8.-Hurtos,36591.0,37364.0,2.1
    9.-Sustracciones de vehiculos,1825.0,2046.0,12.1
    10.-Trafico de drogas,470.0,564.0,20.0
    TOTAL INFRACCIONES PENALES,95736.0,97002.0,1.3
COMUNITAT VALENCIANA
    1.-Homicidios dolosos y asesinatos consumados,11.0,13.0,18.2
    2.-Homicidios dolosos y asesinatos en grado tentativa,17.0,11.0,-35.3
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,405.0,391.0,-3.5
    4.-Secuestro,4.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,324.0,295.0,-9.0
    5.1.-Agresion sexual con penetracion,25.0,29.0,16.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,299.0,266.0,-11.0
    6.-Robos con violencia e intimidacion,1464.0,1440.0,-1.6
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,6690.0,5943.0,-11.2
    7.1.-Robos con fuerza en domicilios,5375.0,4581.0,-14.8
    8.-Hurtos,18780.0,17688.0,-5.8
    9.-Sustracciones de vehiculos,1022.0,1027.0,0.5
    10.-Trafico de drogas,363.0,349.0,-3.9
    TOTAL INFRACCIONES PENALES,56073.0,55315.0,-1.4
EXTREMADURA
    1.-Homicidios dolosos y asesinatos consumados,3.0,2.0,-33.3
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,3.0,100.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,78.0,80.0,2.6
    4.-Secuestro,1.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,38.0,29.0,-23.7
    5.1.-Agresion sexual con penetracion,4.0,2.0,-50.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,34.0,27.0,-20.6
    6.-Robos con violencia e intimidacion,73.0,78.0,6.8
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,620.0,631.0,1.8
    7.1.-Robos con fuerza en domicilios,362.0,362.0,0.0
    8.-Hurtos,1939.0,1839.0,-5.2
    9.-Sustracciones de vehiculos,93.0,100.0,7.5
    10.-Trafico de drogas,31.0,38.0,22.6
    TOTAL INFRACCIONES PENALES,6640.0,6763.0,1.9
GALICIA
    1.-Homicidios dolosos y asesinatos consumados,2.0,5.0,150.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,5.0,9.0,80.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,186.0,221.0,18.8
    4.-Secuestro,0.0,2.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,81.0,96.0,18.5
    5.1.-Agresion sexual con penetracion,4.0,13.0,225.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,77.0,83.0,7.8
    6.-Robos con violencia e intimidacion,284.0,225.0,-20.8
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1717.0,1487.0,-13.4
    7.1.-Robos con fuerza en domicilios,1082.0,892.0,-17.6
    8.-Hurtos,4930.0,4586.0,-7.0
    9.-Sustracciones de vehiculos,234.0,234.0,0.0
    10.-Trafico de drogas,77.0,81.0,5.2
    TOTAL INFRACCIONES PENALES,17540.0,17506.0,-0.2
MADRID (COMUNIDAD DE)
    1.-Homicidios dolosos y asesinatos consumados,11.0,11.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,18.0,31.0,72.2
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,485.0,488.0,0.6
    4.-Secuestro,5.0,1.0,-80.0
    5.-Delitos contra la libertad e indemnidad sexual,347.0,393.0,13.3
    5.1.-Agresion sexual con penetracion,47.0,44.0,-6.4
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,300.0,349.0,16.3
    6.-Robos con violencia e intimidacion,4251.0,4288.0,0.9
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,6652.0,4957.0,-25.5
    7.1.-Robos con fuerza en domicilios,4576.0,3187.0,-30.4
    8.-Hurtos,38596.0,40803.0,5.7
    9.-Sustracciones de vehiculos,2529.0,2938.0,16.2
    10.-Trafico de drogas,354.0,382.0,7.9
    TOTAL INFRACCIONES PENALES,95604.0,97596.0,2.1
MURCIA (REGION DE)
    1.-Homicidios dolosos y asesinatos consumados,0.0,4.0,100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,5.0,11.0,120.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,148.0,134.0,-9.5
    4.-Secuestro,1.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,77.0,85.0,10.4
    5.1.-Agresion sexual con penetracion,4.0,9.0,125.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,73.0,76.0,4.1
    6.-Robos con violencia e intimidacion,399.0,356.0,-10.8
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1817.0,1853.0,2.0
    7.1.-Robos con fuerza en domicilios,1464.0,1482.0,1.2
    8.-Hurtos,4043.0,3748.0,-7.3
    9.-Sustracciones de vehiculos,308.0,330.0,7.1
    10.-Trafico de drogas,74.0,76.0,2.7
    TOTAL INFRACCIONES PENALES,12901.0,13217.0,2.4
NAVARRA (COMUNIDAD FORAL DE)
    1.-Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,1.0,3.0,200.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,80.0,104.0,30.0
    4.-Secuestro,1.0,1.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,48.0,62.0,29.2
    5.1.-Agresion sexual con penetracion,7.0,9.0,28.6
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,41.0,53.0,29.3
    6.-Robos con violencia e intimidacion,84.0,98.0,16.7
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,383.0,398.0,3.9
    7.1.-Robos con fuerza en domicilios,254.0,245.0,-3.5
    8.-Hurtos,1676.0,1530.0,-8.7
    9.-Sustracciones de vehiculos,49.0,46.0,-6.1
    10.-Trafico de drogas,37.0,26.0,-29.7
    TOTAL INFRACCIONES PENALES,5679.0,5788.0,1.9
PAIS VASCO
    1.-Homicidios dolosos y asesinatos consumados,2.0,2.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,8.0,10.0,25.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,264.0,240.0,-9.1
    4.-Secuestro,12.0,4.0,-66.7
    5.-Delitos contra la libertad e indemnidad sexual,93.0,121.0,30.1
    5.1.-Agresion sexual con penetracion,10.0,17.0,70.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,83.0,104.0,25.3
    6.-Robos con violencia e intimidacion,471.0,376.0,-20.2
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,2159.0,1783.0,-17.4
    7.1.-Robos con fuerza en domicilios,1151.0,945.0,-17.9
    8.-Hurtos,6701.0,6582.0,-1.8
    9.-Sustracciones de vehiculos,245.0,188.0,-23.3
    10.-Trafico de drogas,83.0,76.0,-8.4
    TOTAL INFRACCIONES PENALES,20079.0,20354.0,1.4
RIOJA (LA)
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,1.0,3.0,200.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,29.0,25.0,-13.8
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,13.0,11.0,-15.4
    5.1.-Agresion sexual con penetracion,2.0,2.0,0.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,11.0,9.0,-18.2
    6.-Robos con violencia e intimidacion,33.0,19.0,-42.4
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,179.0,195.0,8.9
    7.1.-Robos con fuerza en domicilios,132.0,159.0,20.5
    8.-Hurtos,689.0,648.0,-6.0
    9.-Sustracciones de vehiculos,25.0,25.0,0.0
    10.-Trafico de drogas,13.0,24.0,84.6
    TOTAL INFRACCIONES PENALES,1937.0,1996.0,3.0
CIUDAD AUTONOMA DE CEUTA
    1.-Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,11.0,19.0,72.7
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,6.0,5.0,-16.7
    5.1.-Agresion sexual con penetracion,0.0,0.0,0.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,6.0,5.0,-16.7
    6.-Robos con violencia e intimidacion,52.0,36.0,-30.8
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,33.0,34.0,3.0
    7.1.-Robos con fuerza en domicilios,20.0,21.0,5.0
    8.-Hurtos,215.0,217.0,0.9
    9.-Sustracciones de vehiculos,123.0,68.0,-44.7
    10.-Trafico de drogas,80.0,107.0,33.8
    TOTAL INFRACCIONES PENALES,1136.0,1287.0,13.3
CIUDAD AUTONOMA DE MELILLA
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,2.0,2.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,29.0,20.0,-31.0
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,4.0,9.0,125.0
    5.1.-Agresion sexual con penetracion,0.0,0.0,0.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,4.0,9.0,125.0
    6.-Robos con violencia e intimidacion,87.0,95.0,9.2
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,42.0,45.0,7.1
    7.1.-Robos con fuerza en domicilios,32.0,30.0,-6.3
    8.-Hurtos,364.0,292.0,-19.8
    9.-Sustracciones de vehiculos,26.0,28.0,7.7
    10.-Trafico de drogas,34.0,15.0,-55.9
    TOTAL INFRACCIONES PENALES,1203.0,1169.0,-2.8
FUERA DE ESPANA
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,0.0,0.0,0.0
    4.-Secuestro,2.0,3.0,50.0
    5.-Delitos contra la libertad e indemnidad sexual,6.0,20.0,233.3
    5.1.-Agresion sexual con penetracion,1.0,5.0,400.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,5.0,15.0,200.0
    6.-Robos con violencia e intimidacion,55.0,61.0,10.9
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,7.0,4.0,-42.9
    7.1.-Robos con fuerza en domicilios,5.0,3.0,-40.0
    8.-Hurtos,602.0,660.0,9.6
    9.-Sustracciones de vehiculos,23.0,20.0,-13.0
    10.-Trafico de drogas,3.0,2.0,-33.3
    TOTAL INFRACCIONES PENALES,4970.0,4308.0,-13.3
