,Enero-diciembre 2019,Enero-diciembre 2020,Variacion % 2020/2019
    1.-Homicidios dolosos y asesinatos consumados,6.0,1.0,-83.3
    2.-Homicidios dolosos y asesinatos en grado tentativa,9.0,3.0,-66.7
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,285.0,233.0,-18.2
    4.-Secuestro,0.0,2.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,107.0,89.0,-16.8
    5.1.-Agresion sexual con penetracion,10.0,11.0,10.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,97.0,78.0,-19.6
    6.-Robos con violencia e intimidacion,223.0,179.0,-19.7
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1625.0,1375.0,-15.4
    7.1.-Robos con fuerza en domicilios,1068.0,859.0,-19.6
    8.-Hurtos,4868.0,3238.0,-33.5
    9.-Sustracciones de vehiculos,132.0,107.0,-18.9
    10.-Trafico de drogas,86.0,96.0,11.6
    Resto de infracciones penales,10732.0,11275.0,5.1
    TOTAL INFRACCIONES PENALES,18073.0,16598.0,-8.2
CASTILLA Y LEON
    1.-Homicidios dolosos y asesinatos consumados,8.0,16.0,100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,30.0,29.0,-3.3
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,757.0,568.0,-25.0
    4.-Secuestro,2.0,2.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,507.0,419.0,-17.4
    5.1.-Agresion sexual con penetracion,44.0,43.0,-2.3
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,463.0,376.0,-18.8
    6.-Robos con violencia e intimidacion,706.0,541.0,-23.4
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,4765.0,3362.0,-29.4
    7.1.-Robos con fuerza en domicilios,2965.0,2125.0,-28.3
    8.-Hurtos,19206.0,11413.0,-40.6
    9.-Sustracciones de vehiculos,573.0,422.0,-26.4
    10.-Trafico de drogas,447.0,498.0,11.4
    Resto de infracciones penales,49362.0,48094.0,-2.6
    TOTAL INFRACCIONES PENALES,76363.0,65364.0,-14.4
CASTILLA - LA MANCHA
    1.-Homicidios dolosos y asesinatos consumados,11.0,17.0,54.5
    2.-Homicidios dolosos y asesinatos en grado tentativa,30.0,35.0,16.7
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,671.0,592.0,-11.8
    4.-Secuestro,1.0,5.0,400.0
    5.-Delitos contra la libertad e indemnidad sexual,520.0,451.0,-13.3
    5.1.-Agresion sexual con penetracion,39.0,42.0,7.7
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,481.0,409.0,-15.0
    6.-Robos con violencia e intimidacion,978.0,756.0,-22.7
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,6530.0,4736.0,-27.5
    7.1.-Robos con fuerza en domicilios,4754.0,3474.0,-26.9
    8.-Hurtos,13831.0,9626.0,-30.4
    9.-Sustracciones de vehiculos,615.0,515.0,-16.3
    10.-Trafico de drogas,465.0,547.0,17.6
    Resto de infracciones penales,46656.0,45028.0,-3.5
    TOTAL INFRACCIONES PENALES,70308.0,62308.0,-11.4
CATALUNA
    1.-Homicidios dolosos y asesinatos consumados,58.0,48.0,-17.2
    2.-Homicidios dolosos y asesinatos en grado tentativa,190.0,149.0,-21.6
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,3359.0,2216.0,-34.0
    4.-Secuestro,6.0,3.0,-50.0
    5.-Delitos contra la libertad e indemnidad sexual,3034.0,2309.0,-23.9
    5.1.-Agresion sexual con penetracion,557.0,387.0,-30.5
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,2477.0,1922.0,-22.4
    6.-Robos con violencia e intimidacion,26448.0,17082.0,-35.4
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,33763.0,22098.0,-34.5
    7.1.-Robos con fuerza en domicilios,23753.0,15198.0,-36.0
    8.-Hurtos,192053.0,110685.0,-42.4
    9.-Sustracciones de vehiculos,9711.0,6225.0,-35.9
    10.-Trafico de drogas,2615.0,2946.0,12.7
    Resto de infracciones penales,218028.0,188969.0,-13.3
    TOTAL INFRACCIONES PENALES,489265.0,352730.0,-27.9
COMUNITAT VALENCIANA
    1.-Homicidios dolosos y asesinatos consumados,40.0,38.0,-5.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,108.0,91.0,-15.7
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,2198.0,1739.0,-20.9
    4.-Secuestro,4.0,14.0,250.0
    5.-Delitos contra la libertad e indemnidad sexual,1749.0,1534.0,-12.3
    5.1.-Agresion sexual con penetracion,177.0,187.0,5.6
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1572.0,1347.0,-14.3
    6.-Robos con violencia e intimidacion,4950.0,3804.0,-23.2
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,19832.0,15224.0,-23.2
    7.1.-Robos con fuerza en domicilios,15271.0,11715.0,-23.3
    8.-Hurtos,68122.0,43859.0,-35.6
    9.-Sustracciones de vehiculos,3190.0,2459.0,-22.9
    10.-Trafico de drogas,1979.0,1853.0,-6.4
    Resto de infracciones penales,130377.0,124420.0,-4.6
    TOTAL INFRACCIONES PENALES,232549.0,195035.0,-16.1
EXTREMADURA
    1.-Homicidios dolosos y asesinatos consumados,5.0,9.0,80.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,8.0,12.0,50.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,315.0,251.0,-20.3
    4.-Secuestro,1.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,214.0,186.0,-13.1
    5.1.-Agresion sexual con penetracion,18.0,14.0,-22.2
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,196.0,172.0,-12.2
    6.-Robos con violencia e intimidacion,320.0,215.0,-32.8
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1660.0,1574.0,-5.2
    7.1.-Robos con fuerza en domicilios,994.0,988.0,-0.6
    8.-Hurtos,6566.0,4215.0,-35.8
    9.-Sustracciones de vehiculos,144.0,167.0,16.0
    10.-Trafico de drogas,323.0,292.0,-9.6
    Resto de infracciones penales,18035.0,18185.0,0.8
    TOTAL INFRACCIONES PENALES,27591.0,25106.0,-9.0
GALICIA
    1.-Homicidios dolosos y asesinatos consumados,16.0,11.0,-31.3
    2.-Homicidios dolosos y asesinatos en grado tentativa,25.0,33.0,32.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,954.0,801.0,-16.0
    4.-Secuestro,1.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,634.0,554.0,-12.6
    5.1.-Agresion sexual con penetracion,93.0,61.0,-34.4
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,541.0,493.0,-8.9
    6.-Robos con violencia e intimidacion,945.0,772.0,-18.3
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,5287.0,4046.0,-23.5
    7.1.-Robos con fuerza en domicilios,3135.0,2399.0,-23.5
    8.-Hurtos,18846.0,12372.0,-34.4
    9.-Sustracciones de vehiculos,604.0,464.0,-23.2
    10.-Trafico de drogas,517.0,548.0,6.0
    Resto de infracciones penales,52195.0,54109.0,3.7
    TOTAL INFRACCIONES PENALES,80024.0,73710.0,-7.9
MADRID (COMUNIDAD DE)
    1.-Homicidios dolosos y asesinatos consumados,32.0,37.0,15.6
    2.-Homicidios dolosos y asesinatos en grado tentativa,78.0,99.0,26.9
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,2442.0,2291.0,-6.2
    4.-Secuestro,16.0,10.0,-37.5
    5.-Delitos contra la libertad e indemnidad sexual,2215.0,1990.0,-10.2
    5.1.-Agresion sexual con penetracion,243.0,217.0,-10.7
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1972.0,1773.0,-10.1
    6.-Robos con violencia e intimidacion,15372.0,10804.0,-29.7
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,18239.0,12265.0,-32.8
    7.1.-Robos con fuerza en domicilios,11469.0,7056.0,-38.5
    8.-Hurtos,154169.0,92225.0,-40.2
    9.-Sustracciones de vehiculos,8030.0,6348.0,-20.9
    10.-Trafico de drogas,2577.0,2384.0,-7.5
    Resto de infracciones penales,204566.0,183607.0,-10.2
    TOTAL INFRACCIONES PENALES,407736.0,312060.0,-23.5
MURCIA (REGION DE)
    1.-Homicidios dolosos y asesinatos consumados,13.0,12.0,-7.7
    2.-Homicidios dolosos y asesinatos en grado tentativa,26.0,41.0,57.7
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,737.0,646.0,-12.3
    4.-Secuestro,3.0,1.0,-66.7
    5.-Delitos contra la libertad e indemnidad sexual,535.0,510.0,-4.7
    5.1.-Agresion sexual con penetracion,48.0,64.0,33.3
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,487.0,446.0,-8.4
    6.-Robos con violencia e intimidacion,1536.0,1207.0,-21.4
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,6187.0,4693.0,-24.1
    7.1.-Robos con fuerza en domicilios,5017.0,3791.0,-24.4
    8.-Hurtos,15138.0,9920.0,-34.5
    9.-Sustracciones de vehiculos,909.0,747.0,-17.8
    10.-Trafico de drogas,360.0,387.0,7.5
    Resto de infracciones penales,31655.0,32886.0,3.9
    TOTAL INFRACCIONES PENALES,57099.0,51050.0,-10.6
NAVARRA (COMUNIDAD FORAL DE)
    1.-Homicidios dolosos y asesinatos consumados,5.0,1.0,-80.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,13.0,22.0,69.2
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,402.0,199.0,-50.5
    4.-Secuestro,1.0,4.0,300.0
    5.-Delitos contra la libertad e indemnidad sexual,232.0,241.0,3.9
    5.1.-Agresion sexual con penetracion,28.0,18.0,-35.7
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,204.0,223.0,9.3
    6.-Robos con violencia e intimidacion,331.0,226.0,-31.7
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1514.0,1096.0,-27.6
    7.1.-Robos con fuerza en domicilios,1006.0,666.0,-33.8
    8.-Hurtos,8538.0,4471.0,-47.6
    9.-Sustracciones de vehiculos,183.0,133.0,-27.3
    10.-Trafico de drogas,159.0,146.0,-8.2
    Resto de infracciones penales,17792.0,17059.0,-4.1
    TOTAL INFRACCIONES PENALES,29170.0,23598.0,-19.1
PAIS VASCO
    1.-Homicidios dolosos y asesinatos consumados,10.0,13.0,30.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,27.0,29.0,7.4
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,1157.0,878.0,-24.1
    4.-Secuestro,7.0,4.0,-42.9
    5.-Delitos contra la libertad e indemnidad sexual,668.0,603.0,-9.7
    5.1.-Agresion sexual con penetracion,123.0,80.0,-35.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,545.0,523.0,-4.0
    6.-Robos con violencia e intimidacion,1643.0,1054.0,-35.8
