,Enero-septiembre 2016,Enero-septiembre 2017,Variacion % 2017/2016
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,50.0,61.0,22.0
    6.-Robos con violencia e intimidacion,160.0,163.0,1.9
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1185.0,1159.0,-2.2
    7.1.-Robos con fuerza en domicilios,716.0,641.0,-10.5
    8.-Hurtos,3855.0,3803.0,-1.3
    9.-Sustracciones de vehiculos,173.0,176.0,1.7
    10.-Trafico de drogas,71.0,45.0,-36.6
    TOTAL INFRACCIONES PENALES,12708.0,13281.0,4.5
CASTILLA Y LEON
    1.-Homicidios dolosos y asesinatos consumados,6.0,12.0,100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,14.0,16.0,14.3
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,484.0,499.0,3.1
    4.-Secuestro,1.0,1.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,217.0,278.0,28.1
    5.1.-Agresion sexual con penetracion,23.0,25.0,8.7
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,194.0,253.0,30.4
    6.-Robos con violencia e intimidacion,669.0,557.0,-16.7
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,4234.0,3735.0,-11.8
    7.1.-Robos con fuerza en domicilios,2623.0,2216.0,-15.5
    8.-Hurtos,16916.0,15631.0,-7.6
    9.-Sustracciones de vehiculos,657.0,520.0,-20.9
    10.-Trafico de drogas,259.0,258.0,-0.4
    TOTAL INFRACCIONES PENALES,54147.0,53529.0,-1.1
CASTILLA - LA MANCHA
    1.-Homicidios dolosos y asesinatos consumados,10.0,11.0,10.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,22.0,27.0,22.7
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,456.0,428.0,-6.1
    4.-Secuestro,2.0,1.0,-50.0
    5.-Delitos contra la libertad e indemnidad sexual,286.0,288.0,0.7
    5.1.-Agresion sexual con penetracion,30.0,26.0,-13.3
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,256.0,262.0,2.3
    6.-Robos con violencia e intimidacion,780.0,783.0,0.4
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,6158.0,5685.0,-7.7
    7.1.-Robos con fuerza en domicilios,4411.0,4013.0,-9.0
    8.-Hurtos,12066.0,11501.0,-4.7
    9.-Sustracciones de vehiculos,1106.0,939.0,-15.1
    10.-Trafico de drogas,273.0,307.0,12.5
    TOTAL INFRACCIONES PENALES,48201.0,47875.0,-0.7
CATALUNA
    1.-Homicidios dolosos y asesinatos consumados,43.0,53.0,23.3
    2.-Homicidios dolosos y asesinatos en grado tentativa,96.0,113.0,17.7
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,2303.0,2369.0,2.9
    4.-Secuestro,4.0,9.0,125.0
    5.-Delitos contra la libertad e indemnidad sexual,1727.0,1728.0,0.1
    5.1.-Agresion sexual con penetracion,254.0,300.0,18.1
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1473.0,1428.0,-3.1
    6.-Robos con violencia e intimidacion,14942.0,15117.0,1.2
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,23859.0,22356.0,-6.3
    7.1.-Robos con fuerza en domicilios,17692.0,16608.0,-6.1
    8.-Hurtos,124428.0,129104.0,3.8
    9.-Sustracciones de vehiculos,5915.0,6550.0,10.7
    10.-Trafico de drogas,1667.0,1836.0,10.1
    TOTAL INFRACCIONES PENALES,306597.0,310717.0,1.3
COMUNITAT VALENCIANA
    1.-Homicidios dolosos y asesinatos consumados,24.0,25.0,4.2
    2.-Homicidios dolosos y asesinatos en grado tentativa,72.0,60.0,-16.7
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,1397.0,1393.0,-0.3
    4.-Secuestro,6.0,4.0,-33.3
    5.-Delitos contra la libertad e indemnidad sexual,1054.0,1027.0,-2.6
    5.1.-Agresion sexual con penetracion,100.0,91.0,-9.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,954.0,936.0,-1.9
    6.-Robos con violencia e intimidacion,4554.0,4130.0,-9.3
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,18516.0,16101.0,-13.0
    7.1.-Robos con fuerza en domicilios,14717.0,12564.0,-14.6
    8.-Hurtos,59563.0,56824.0,-4.6
    9.-Sustracciones de vehiculos,3292.0,3026.0,-8.1
    10.-Trafico de drogas,1292.0,1261.0,-2.4
    TOTAL INFRACCIONES PENALES,176262.0,171862.0,-2.5
EXTREMADURA
    1.-Homicidios dolosos y asesinatos consumados,4.0,7.0,75.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,4.0,10.0,150.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,268.0,273.0,1.9
    4.-Secuestro,1.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,119.0,121.0,1.7
    5.1.-Agresion sexual con penetracion,13.0,6.0,-53.8
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,106.0,115.0,8.5
    6.-Robos con violencia e intimidacion,220.0,209.0,-5.0
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1681.0,1544.0,-8.1
    7.1.-Robos con fuerza en domicilios,975.0,917.0,-5.9
    8.-Hurtos,5547.0,5366.0,-3.3
    9.-Sustracciones de vehiculos,309.0,256.0,-17.2
    10.-Trafico de drogas,162.0,147.0,-9.3
    TOTAL INFRACCIONES PENALES,19718.0,19729.0,0.1
GALICIA
    1.-Homicidios dolosos y asesinatos consumados,10.0,10.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,22.0,22.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,673.0,666.0,-1.0
    4.-Secuestro,3.0,3.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,327.0,363.0,11.0
    5.1.-Agresion sexual con penetracion,26.0,36.0,38.5
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,301.0,327.0,8.6
    6.-Robos con violencia e intimidacion,835.0,806.0,-3.5
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,4577.0,4054.0,-11.4
    7.1.-Robos con fuerza en domicilios,2780.0,2519.0,-9.4
    8.-Hurtos,16377.0,15439.0,-5.7
    9.-Sustracciones de vehiculos,798.0,635.0,-20.4
    10.-Trafico de drogas,253.0,294.0,16.2
    TOTAL INFRACCIONES PENALES,56298.0,55478.0,-1.5
MADRID (COMUNIDAD DE)
    1.-Homicidios dolosos y asesinatos consumados,29.0,36.0,24.1
    2.-Homicidios dolosos y asesinatos en grado tentativa,66.0,72.0,9.1
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,1523.0,1548.0,1.6
    4.-Secuestro,10.0,3.0,-70.0
    5.-Delitos contra la libertad e indemnidad sexual,1174.0,1380.0,17.5
    5.1.-Agresion sexual con penetracion,161.0,178.0,10.6
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1013.0,1202.0,18.7
    6.-Robos con violencia e intimidacion,12439.0,12270.0,-1.4
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,17906.0,14205.0,-20.7
    7.1.-Robos con fuerza en domicilios,12194.0,9270.0,-24.0
    8.-Hurtos,110289.0,115149.0,4.4
    9.-Sustracciones de vehiculos,7634.0,8160.0,6.9
    10.-Trafico de drogas,1083.0,1161.0,7.2
    TOTAL INFRACCIONES PENALES,277086.0,281483.0,1.6
MURCIA (REGION DE)
    1.-Homicidios dolosos y asesinatos consumados,10.0,11.0,10.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,16.0,26.0,62.5
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,434.0,469.0,8.1
    4.-Secuestro,1.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,288.0,298.0,3.5
    5.1.-Agresion sexual con penetracion,23.0,27.0,17.4
