,Enero-junio 2018,Enero-junio 2019,Variacion % 2019/2018
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,124.0,130.0,4.8
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,43.0,46.0,7.0
    5.1.-Agresion sexual con penetracion,2.0,2.0,0.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,41.0,44.0,7.3
    6.-Robos con violencia e intimidacion,76.0,91.0,19.7
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,786.0,811.0,3.2
    7.1.-Robos con fuerza en domicilios,493.0,505.0,2.4
    8.-Hurtos,2227.0,2287.0,2.7
    9.-Sustracciones de vehiculos,73.0,55.0,-24.7
    10.-Trafico de drogas,40.0,42.0,5.0
    Resto de infracciones penales,4947.0,5154.0,4.2
    TOTAL INFRACCIONES PENALES,8319.0,8620.0,3.6
CASTILLA Y LEON
    1.-Homicidios dolosos y asesinatos consumados,5.0,3.0,-40.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,11.0,13.0,18.2
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,349.0,356.0,2.0
    4.-Secuestro,0.0,2.0,100.0
    5.-Delitos contra la libertad e indemnidad sexual,185.0,244.0,31.9
    5.1.-Agresion sexual con penetracion,20.0,21.0,5.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,165.0,223.0,35.2
    6.-Robos con violencia e intimidacion,348.0,316.0,-9.2
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,2635.0,2409.0,-8.6
    7.1.-Robos con fuerza en domicilios,1801.0,1506.0,-16.4
    8.-Hurtos,9468.0,9168.0,-3.2
    9.-Sustracciones de vehiculos,263.0,270.0,2.7
    10.-Trafico de drogas,179.0,189.0,5.6
    Resto de infracciones penales,22089.0,23709.0,7.3
    TOTAL INFRACCIONES PENALES,35532.0,36679.0,3.2
CASTILLA - LA MANCHA
    1.-Homicidios dolosos y asesinatos consumados,5.0,6.0,20.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,14.0,14.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,272.0,294.0,8.1
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,233.0,249.0,6.9
    5.1.-Agresion sexual con penetracion,23.0,21.0,-8.7
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,210.0,228.0,8.6
    6.-Robos con violencia e intimidacion,435.0,512.0,17.7
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,3983.0,3260.0,-18.2
    7.1.-Robos con fuerza en domicilios,2984.0,2342.0,-21.5
    8.-Hurtos,7305.0,6738.0,-7.8
    9.-Sustracciones de vehiculos,314.0,324.0,3.2
    10.-Trafico de drogas,196.0,200.0,2.0
    Resto de infracciones penales,20505.0,22702.0,10.7
    TOTAL INFRACCIONES PENALES,33262.0,34299.0,3.1
CATALUNA
    1.-Homicidios dolosos y asesinatos consumados,23.0,20.0,-13.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,80.0,89.0,11.3
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,1523.0,1582.0,3.9
