,Enero-marzo 2021,Enero-marzo 2022,Variacion % 2022/2021
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,34.0,42.0,23.5
    5.1.-Agresion sexual con penetracion,5.0,5.0,0.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,29.0,37.0,27.6
    6.-Robos con violencia e intimidacion,36.0,53.0,47.2
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,282.0,525.0,86.2
    7.1.-Robos con fuerza en domicilios,219.0,400.0,82.6
    8.-Hurtos,693.0,1063.0,53.4
    9.-Sustracciones de vehiculos,18.0,23.0,27.8
    10.-Trafico de drogas,27.0,25.0,-7.4
    Resto de infracciones penales,2975.0,3878.0,30.4
    TOTAL INFRACCIONES PENALES,4118.0,5690.0,38.2
CASTILLA Y LEON
    1.-Homicidios dolosos y asesinatos consumados,4.0,2.0,-50.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,5.0,10.0,100.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,119.0,210.0,76.5
    4.-Secuestro,1.0,1.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,96.0,155.0,61.5
    5.1.-Agresion sexual con penetracion,8.0,10.0,25.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,88.0,145.0,64.8
    6.-Robos con violencia e intimidacion,132.0,173.0,31.1
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,718.0,1288.0,79.4
    7.1.-Robos con fuerza en domicilios,440.0,831.0,88.9
    8.-Hurtos,2428.0,4117.0,69.6
    9.-Sustracciones de vehiculos,104.0,143.0,37.5
    10.-Trafico de drogas,118.0,107.0,-9.3
    Resto de infracciones penales,12456.0,15261.0,22.5
    TOTAL INFRACCIONES PENALES,16181.0,21467.0,32.7
CASTILLA - LA MANCHA
    1.-Homicidios dolosos y asesinatos consumados,1.0,4.0,300.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,3.0,9.0,200.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,125.0,206.0,64.8
    4.-Secuestro,1.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,112.0,120.0,7.1
    5.1.-Agresion sexual con penetracion,13.0,15.0,15.4
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,99.0,105.0,6.1
    6.-Robos con violencia e intimidacion,191.0,192.0,0.5
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1043.0,1374.0,31.7
    7.1.-Robos con fuerza en domicilios,758.0,955.0,26.0
    8.-Hurtos,2191.0,3323.0,51.7
    9.-Sustracciones de vehiculos,124.0,156.0,25.8
    10.-Trafico de drogas,107.0,138.0,29.0
    Resto de infracciones penales,11091.0,13944.0,25.7
    TOTAL INFRACCIONES PENALES,14989.0,19466.0,29.9
CATALUNA
    1.-Homicidios dolosos y asesinatos consumados,14.0,10.0,-28.6
    2.-Homicidios dolosos y asesinatos en grado tentativa,39.0,46.0,17.9
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,497.0,792.0,59.4
    4.-Secuestro,2.0,1.0,-50.0
    5.-Delitos contra la libertad e indemnidad sexual,696.0,804.0,15.5
    5.1.-Agresion sexual con penetracion,119.0,167.0,40.3
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,577.0,637.0,10.4
    6.-Robos con violencia e intimidacion,4233.0,5689.0,34.4
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,5165.0,6855.0,32.7
    7.1.-Robos con fuerza en domicilios,3662.0,4766.0,30.1
    8.-Hurtos,22363.0,34391.0,53.8
    9.-Sustracciones de vehiculos,1198.0,1653.0,38.0
    10.-Trafico de drogas,902.0,1022.0,13.3
    Resto de infracciones penales,49015.0,57297.0,16.9
    TOTAL INFRACCIONES PENALES,84124.0,108560.0,29.0
COMUNITAT VALENCIANA
    1.-Homicidios dolosos y asesinatos consumados,4.0,14.0,250.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,23.0,27.0,17.4
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,376.0,656.0,74.5
    4.-Secuestro,1.0,1.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,431.0,509.0,18.1
    5.1.-Agresion sexual con penetracion,41.0,69.0,68.3
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,390.0,440.0,12.8
    6.-Robos con violencia e intimidacion,815.0,1366.0,67.6
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,3611.0,4379.0,21.3
    7.1.-Robos con fuerza en domicilios,2936.0,3520.0,19.9
    8.-Hurtos,10113.0,15585.0,54.1
    9.-Sustracciones de vehiculos,526.0,726.0,38.0
    10.-Trafico de drogas,430.0,419.0,-2.6
    Resto de infracciones penales,30044.0,36781.0,22.4
    TOTAL INFRACCIONES PENALES,46374.0,60463.0,30.4
EXTREMADURA
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,3.0,0.0,-100.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,50.0,66.0,32.0
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,40.0,73.0,82.5
    5.1.-Agresion sexual con penetracion,9.0,8.0,-11.1
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,31.0,65.0,109.7
    6.-Robos con violencia e intimidacion,38.0,91.0,139.5
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,306.0,461.0,50.7
    7.1.-Robos con fuerza en domicilios,200.0,303.0,51.5
    8.-Hurtos,863.0,1644.0,90.5
    9.-Sustracciones de vehiculos,26.0,28.0,7.7
    10.-Trafico de drogas,69.0,48.0,-30.4
    Resto de infracciones penales,4671.0,5357.0,14.7
    TOTAL INFRACCIONES PENALES,6066.0,7768.0,28.1
GALICIA
    1.-Homicidios dolosos y asesinatos consumados,5.0,3.0,-40.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,7.0,16.0,128.6
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,141.0,281.0,99.3
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,132.0,166.0,25.8
    5.1.-Agresion sexual con penetracion,16.0,17.0,6.3
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,116.0,149.0,28.4
    6.-Robos con violencia e intimidacion,196.0,219.0,11.7
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,631.0,1046.0,65.8
    7.1.-Robos con fuerza en domicilios,449.0,673.0,49.9
    8.-Hurtos,2658.0,4201.0,58.1
    9.-Sustracciones de vehiculos,80.0,130.0,62.5
    10.-Trafico de drogas,110.0,93.0,-15.5
    Resto de infracciones penales,14518.0,18320.0,26.2
    TOTAL INFRACCIONES PENALES,18478.0,24475.0,32.5
MADRID (COMUNIDAD DE)
    1.-Homicidios dolosos y asesinatos consumados,6.0,13.0,116.7
    2.-Homicidios dolosos y asesinatos en grado tentativa,20.0,23.0,15.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,551.0,692.0,25.6
    4.-Secuestro,5.0,3.0,-40.0
    5.-Delitos contra la libertad e indemnidad sexual,460.0,559.0,21.5
    5.1.-Agresion sexual con penetracion,47.0,51.0,8.5
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,413.0,508.0,23.0
    6.-Robos con violencia e intimidacion,2859.0,3097.0,8.3
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,2923.0,3370.0,15.3
    7.1.-Robos con fuerza en domicilios,1703.0,2289.0,34.4
    8.-Hurtos,24453.0,34079.0,39.4
    9.-Sustracciones de vehiculos,1427.0,2028.0,42.1
